"EPA Registration Number","Active Ingredient(s)","Product Name","Company","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following virus(es)","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Emerging Viral Pathogen Claim?","Date Added to List N"
"1677-202","Quaternary ammonium","66 Heavy Duty Alkaline Bathroom Cleaner and Disinfectant","Ecolab Inc","Norovirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","06/04/2020"
"10324-81","Quaternary ammonium","Maquat 7.5-M","Mason Chemical Company","Norovirus; Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Yes","06/04/2020"
"4822-548","Triethylene glycol; Quaternary ammonium","Scrubbing Bubbles® Multi-Purpose Disinfectant","S.C. Johnson & Son Inc","Rotavirus","5","Pressurized liquid","Hard Nonporous (HN)","Residential","Yes","06/04/2020"
"1839-167","Quaternary ammonium","BTC 885 Neutral Disinfectant Cleaner-256","Stepan Company","Rotavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/28/2020"
"93908-1","Hypochlorous acid","Envirolyte O & G","Aqua Engineered Solution Inc","Norovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/28/2020"
"1677-193","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","AdvaCare 120 Sanitizer/Sour","Ecolab Inc","Clostridioides difficile","6","Dilutable","Porous (P) (laundry)","Healthcare; Institutional","Yes","05/28/2020"
"12120-4","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","SSS Synersys Sporicidal Disinfectant","Standardized Sanitation Systems Inc","Norovirus","2","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","05/28/2020"
"71355-1","Quaternary ammonium; Glutaraldehyde","Virocid","CID Lines NV","Porcine circovirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","05/28/2020"
"1839-168","Quaternary ammonium","BTC 885 NDC-32","Stepan Company","Rotavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/28/2020"
"39967-137","Potassium peroxymonosulfate; Sodium chloride","Virkon S","Lanxess Corporation","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","05/21/2020"
"91861-2","Hydrogen peroxide","Bona STL Disinfecting Cleaner","Bonakemi USA Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/21/2020"
"5813-124","Sodium hypochlorite","Clorox Bleach Blanqueador","The Clorox Company","Canine parvovirus; Feline parvovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/21/2020"
"1672-65","Sodium hypochlorite","Austin A-1 Ultra Disinfecting Bleach","James Austin Company","Hepatitis A virus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/21/2020"
"6836-336","Quaternary ammonium","Lonza Disinfectant Wipes Plus","Lonza LLC","Rotavirus","10","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/21/2020"
"70627-62","Hydrogen peroxide","Phato 1:64 Disinfectant Cleaner","Diversey Inc","Feline calicivirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/21/2020"
"70627-75","Sodium hypochlorite","Avert Sporicidal Disinfectant Cleaner Wipes","Diversey Inc","Feline calicivirus","1","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/21/2020"
"74986-4","Sodium chlorite","Selectrocide 2L500","Selective Micro Technologies LLC","Poliovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/21/2020"
"1677-21","Quaternary ammonium","Mikro-Quat","Ecolab Inc","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare","Yes","05/14/2020"
"5813-121","Sodium hypochlorite","CRB I","The Clorox Company","Canine parvovirus; Feline parvovirus; Feline panleukopenia virus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/14/2020"
"9150-3","Chlorine dioxide","Carnebon 200","International Dioxcide Inc","Canine parvovirus","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/14/2020"
"34810-37","Citric acid","Wexford Disinfectant Wipes","Wexford Labs Inc","Rhinovirus","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/14/2020"
"5813-76","Sodium hypochlorite","Clorox MTOC","The Clorox Company","Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/14/2020"
"10772-21","Hydrogen peroxide","Hydra","Church & Dwight Company Inc","Rotavirus; Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/14/2020"
"75277-2","Citric acid","Freak","Method Products Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","05/14/2020"
"1043-119","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","SPOR-KLENZ Ready To Use","Steris Corporation","Murine norovirus","10","Ready-to-use","Hard Nonporous (HN)","Institutional","Yes","05/14/2020"
