"","M032166","M032721","M032757","M032760A","M032760B","M032760C","M032761","M032692","M032626","M032595","M032673"
"1",1,0,2,0,1,0,2,2,0,1,1
"2",1,0,1,2,0,0,2,0,0,1,1
"3",1,1,2,2,0,1,0,0,0,1,1
"4",1,1,2,2,1,0,2,2,1,1,1
"5",1,0,2,2,1,0,0,2,1,1,1
"6",1,0,0,0,0,0,0,0,0,0,1
"7",1,0,0,0,0,0,0,0,0,0,1
"8",1,1,2,2,1,1,2,2,1,1,1
"9",1,0,2,2,1,1,1,1,1,1,1
"10",1,0,2,2,1,0,0,0,1,0,1
"11",0,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0,0,0,1,0,0
"13",1,0,2,2,1,0,0,0,1,1,1
"14",1,0,2,2,1,0,2,0,0,1,1
"15",1,0,2,2,1,0,1,0,1,1,1
"16",0,1,2,0,0,0,0,0,1,1,1
"17",0,0,2,0,0,0,0,0,0,1,1
"18",1,1,2,0,0,0,0,0,1,1,1
"19",1,0,1,0,0,0,0,0,0,1,1
"20",1,1,0,0,0,0,0,0,0,0,1
"21",1,1,2,2,1,1,1,2,0,1,1
"22",1,0,2,2,0,0,0,0,1,1,1
"23",0,0,0,0,0,0,0,0,1,0,1
"24",1,1,2,0,0,0,0,0,0,1,0
"25",0,0,0,0,0,0,0,0,0,0,0
"26",1,1,2,0,0,0,1,0,0,1,1
"27",1,1,2,2,1,1,1,1,0,1,1
"28",1,1,0,0,0,0,0,0,0,1,0
"29",0,1,2,1,1,0,0,0,1,1,0
"30",1,1,2,2,1,0,2,2,0,1,1
"31",1,1,2,2,1,0,1,0,0,1,1
"32",1,1,2,2,1,1,1,2,1,1,1
"33",1,0,1,2,1,1,0,0,1,1,1
"34",0,0,2,0,0,0,0,0,1,0,0
"35",1,0,2,2,0,0,1,1,1,1,1
"36",1,1,2,2,1,1,2,1,1,1,1
"37",1,1,2,2,0,1,1,0,1,1,1
"38",1,0,2,2,0,0,0,0,1,1,0
"39",1,1,2,0,1,0,0,0,0,0,1
"40",0,1,2,0,0,0,0,0,0,1,0
"41",1,0,1,0,0,0,0,0,1,1,0
"42",1,1,2,2,1,0,0,0,0,1,1
"43",1,0,1,1,0,0,0,0,0,1,0
"44",1,1,2,0,0,0,0,0,0,0,1
"45",1,1,2,2,1,1,1,1,1,1,1
"46",1,0,2,0,0,0,0,0,1,0,0
"47",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"48",1,0,0,0,0,0,0,0,0,0,0
"49",1,0,2,0,0,0,0,0,1,1,1
"50",0,0,0,0,0,0,0,0,1,1,1
"51",1,1,0,0,0,0,0,0,0,0,0
"52",1,1,2,0,0,0,0,0,0,0,0
"53",1,0,2,0,0,0,0,0,0,0,1
"54",1,0,0,0,0,0,0,0,0,0,1
"55",1,1,2,2,1,1,1,2,1,1,1
"56",1,0,2,2,1,1,1,0,1,1,1
"57",1,0,0,0,0,0,0,0,0,0,1
"58",1,1,2,1,1,0,1,2,1,1,1
"59",1,0,2,2,0,1,2,0,1,1,1
