Comun_Director,Comun_ATP,Comun_Super,ATP_Esp,ATP_Pens_PRE,ATP_Pens_Sec,Copr_Sec,Jefe_Pre,Jefe_Tele,Sub_Prim,Sub_Pre,Super_Adul,Jefe_Sec_Art,Jefe_Sec_Bio,Jefe_Sec_Esp,Jefe-Sec-FCE,Jefe_Sec_Fis,Jefe Sec Geo,Jefe_Sec_His,Jefe_Sec_Ing,Jefe_Sec_Mat,Jefe_Sec_Quim,Jefe_Sec_Tec
23634,51723,51655,51705,24326,24379,24434,24522,24614,24092,24055,24851,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875
23634,51723,51655,51705,24326,24379,24434,24522,24614,24092,24055,24851,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875
51916,51723,51655,51705,24326,24379,24434,24523,24614,24092,24055,24851,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875,23875
51916,51654,51801,51708,24327,24380,24434,24523,24615,51744,24056,24851,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876
51916,51654,51801,51708,24327,24380,24435,24523,24615,51744,24056,24852,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876
51916,51654,51805,51710,24327,24380,24435,24524,24616,51744,24056,24852,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876,23876
23636,51732,51805,51710,24328,24381,24436,24524,24616,24094,24057,24853,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877
23636,51732,51805,51710,24328,24381,24436,24525,24616,24094,24057,24853,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877
23636,51732,51809,51710,24328,24382,24436,24525,24617,24094,24057,24853,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877,23877
23637,51664,51809,51713,24329,24382,24436,24525,24617,24095,24058,24854,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878
23637,51664,51809,51713,24329,51972,24437,24526,24617,24095,24058,24854,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878
23637,51743,51812,51718,24329,51972,24437,24526,24618,24095,24058,24854,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878,23878
23638,51743,51812,51718,24330,51978,24437,24527,24618,24096,24058,24855,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879
23639,51749,51812,51718,24330,51978,24438,24527,24618,24096,24059,24855,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879
23639,51749,51815,51721,24330,51978,24438,24527,24619,24096,24059,24855,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879,23879
23640,51754,51815,51721,24331,51984,24438,51790,24619,24097,24059,24855,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985
23640,51754,51817,51724,24331,51984,24439,51790,24619,24097,24059,24856,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985
23641,51754,51817,51724,24331,51984,24439,24529,24620,24097,24059,24856,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985,51985
23641,51757,51820,51724,24332,51990,24439,24529,24620,24098,24060,24856,23881,23881,23881,23881,23881,23881,23881,23881,23881,23881,23881
51920,51757,51820,51733,24332,51990,24440,24529,24621,24098,24060,24857,23881,23881,23881,23881,23881,23881,23881,23881,23881,23881,23881
23643,51667,51820,51733,24333,24387,24440,24530,24621,24098,24060,24857,23882,23882,23882,23882,23882,23882,23882,23882,23882,23882,23882
23643,51667,51658,51733,24333,24387,24440,24530,24622,24099,24061,24857,23882,23882,23882,23882,23882,23882,23882,23882,23882,23882,23882
51921,51667,51658,51739,24334,24388,24440,24530,24622,24099,24061,24857,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992
51921,51656,51661,51739,24334,24388,24441,24531,24622,24099,24061,24858,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992
51921,51656,51661,51742,24335,24389,24441,24531,24623,24099,24062,24858,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992,51992
51923,51656,51663,51742,24335,24389,24441,24531,24623,24100,24062,24858,23884,23884,23884,23884,23884,23884,23884,23884,23884,23884,23884
51923,51762,51663,51742,24336,24390,24441,24531,24623,24100,24062,24858,23884,23884,23884,23884,23884,23884,23884,23884,23884,23884,23884
23646,51762,51825,24287,24336,24390,24442,24532,51720,24100,24063,24859,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995
23646,51762,51825,24287,24337,24390,24442,24532,51720,24100,24063,24859,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995
23647,51657,51829,51746,24337,51997,24442,24532,51720,24101,24063,24860,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995,51995
23647,51657,51829,51746,24338,51997,24443,24532,51720,24101,24063,24860,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
23648,51659,51829,51746,24338,52002,24443,51798,24625,24101,24064,24861,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
23648,51659,51665,24289,24338,52002,24443,51798,24625,24101,24064,24861,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
23648,51769,51665,24289,24339,52002,24443,51807,24626,24102,24064,24862,23887,23887,23887,23887,23887,23887,23887,23887,23887,23887,23887
23648,51769,51834,24289,24339,24393,24444,51807,24626,24102,24065,24862,23887,23887,23887,23887,23887,23887,23887,23887,23887,23887,23887
23649,51769,51834,24290,24340,24393,24444,24535,24627,24102,24065,24862,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003
23649,51773,51834,24290,24340,24393,24444,24535,24627,24102,24065,51919,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003
23649,51773,51834,24291,51940,24394,24445,24536,24627,24103,24065,51919,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003,52003
23650,51775,51842,24291,51940,24394,24445,24536,24628,24103,24066,51919,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008
23651,51777,51842,24291,51940,24395,24445,24537,24628,24103,24066,51925,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008
23651,51777,51842,24292,24342,24395,24446,24537,24629,24103,24066,51925,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008,52008
23652,51777,51842,24292,24342,52007,24446,24537,24629,24103,24066,51925,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010
23652,51669,51666,24292,24343,52007,24446,24538,24629,24104,24067,24865,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010
23653,51669,51666,51748,24343,52007,24446,24538,24630,24104,24067,24865,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010,52010
