id_exam,id_reactiv,num_reac_a,num_reac_b,num_reac_c,num_reac_d,rc,i_ancla,i_elim,id_area,area,id_subarea,subarea,id_especf,especf,id_estimul,nr_especf,id_taxo,nvl_taxo,p_rc,rpbis_rc,rpbis_op1,rpbis_op2,rpbis_op3,rpbis_op4,p_rce,rpbis_rce,rpbis_op1e,rpbis_op2e,rpbis_op3e,rpbis_op4e
O_441018a,O_44108,1,1,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24229,"A PARTIR DE LAS CARACTERÕSTICAS DEL DESARROLLO DE LOS ALUMNOS, IDENTIFICAR LAS QUE CORRESPONDEN AL NIVEL DE PRIMARIA.",,2,1,CONOCIMIENTO,41.46,0.179,-0.013,0.179,-0.177,-0.175,41.46,0.142,-0.002,0.142,-0.182,-0.165
O_441018a,O_4410468,2,2,0,0,1,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24229,"A PARTIR DE LAS CARACTERÕSTICAS DEL DESARROLLO DE LOS ALUMNOS, IDENTIFICAR LAS QUE CORRESPONDEN AL NIVEL DE PRIMARIA.",,2,1,CONOCIMIENTO,19.11,0.041,0.041,-0.146,-0.02,-0.047,0,0,0,0,0,0
O_441018a,O_4410100,3,4,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24230,"A PARTIR DE LA PLANIFICACI”N DE LAS ESTRATEGIAS DE LA CLASE DE EDUCACI”N FÕSICA, IDENTIFICAR EL APRENDIZAJE ESPERADO LATITUDINAL AL QUE FAVORECE.",,3,3,APLICACI”N,30.49,0.167,0.167,-0.051,-0.205,-0.11,30.49,0.152,0.152,-0.042,-0.216,-0.126
O_441018a,O_44102,4,5,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24230,"A PARTIR DE LA PLANIFICACI”N DE LAS ESTRATEGIAS DE LA CLASE DE EDUCACI”N FÕSICA, IDENTIFICAR EL APRENDIZAJE ESPERADO LATITUDINAL AL QUE FAVORECE.",,3,3,APLICACI”N,78.46,0.251,-0.207,-0.249,0.251,-0.002,78.46,0.258,-0.207,-0.273,0.258,-0.005
O_441018a,O_4410192,5,6,0,0,3,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24230,"A PARTIR DE LA PLANIFICACI”N DE LAS ESTRATEGIAS DE LA CLASE DE EDUCACI”N FÕSICA, IDENTIFICAR EL APRENDIZAJE ESPERADO LATITUDINAL AL QUE FAVORECE.",,3,3,APLICACI”N,94.31,0.196,-0.231,-0.118,0.196,-0.016,0,0,0,0,0,0
O_441018a,O_441012,6,7,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24231,"A PARTIR DE ACTIVIDADES DE UNA SESI”N DE EDUCACI”N FÕSICA, IDENTIFICAR LAS QUE FAVORECEN LA INTEGRACI”N DE LA CORPOREIDAD DE LOS ALUMNOS",,2,2,COMPRENSI”N,63.01,0.219,-0.276,-0.107,0.219,-0.107,63.01,0.207,-0.282,-0.079,0.207,-0.119
O_441018a,O_4410222,7,8,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24231,"A PARTIR DE ACTIVIDADES DE UNA SESI”N DE EDUCACI”N FÕSICA, IDENTIFICAR LAS QUE FAVORECEN LA INTEGRACI”N DE LA CORPOREIDAD DE LOS ALUMNOS",,2,2,COMPRENSI”N,57.32,0.351,-0.245,-0.268,-0.116,0.351,57.32,0.339,-0.256,-0.255,-0.127,0.339
O_441018a,O_4410382,8,10,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24232,"A PARTIR DEL CASO DE UN ALUMNO, ORDENAR JER¡RQUICAMENTE LOS ELEMENTOS DEL ENTORNO CULTURAL QUE INFLUYEN EN SU DESARROLLO AFECTIVO",,3,2,COMPRENSI”N,72.76,0.18,0.18,-0.161,-0.116,-0.155,72.76,0.173,0.173,-0.156,-0.106,-0.18
O_441018a,O_4410267,9,11,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24232,"A PARTIR DEL CASO DE UN ALUMNO, ORDENAR JER¡RQUICAMENTE LOS ELEMENTOS DEL ENTORNO CULTURAL QUE INFLUYEN EN SU DESARROLLO AFECTIVO",,3,2,COMPRENSI”N,50.81,0.157,0.157,-0.031,-0.17,-0.174,50.81,0.168,0.168,-0.065,-0.163,-0.19
O_441018a,O_4410718,10,12,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_001,PROCESOS DE APRENDIZAJE,24232,"A PARTIR DEL CASO DE UN ALUMNO, ORDENAR JER¡RQUICAMENTE LOS ELEMENTOS DEL ENTORNO CULTURAL QUE INFLUYEN EN SU DESARROLLO AFECTIVO",,3,2,COMPRENSI”N,41.46,0.153,-0.082,0.153,-0.152,-0.085,41.46,0.208,-0.077,0.208,-0.209,-0.119
