#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,161,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23480,ATP-LENGUA-SEC.01,"A partir de una situación comunicativa en la escuela, identificar aspectos del proceso de aprendizaje de la expresión oral",Conocimiento,78.330,0.418,-0.335,0.418,-0.209,-0.201,2017,Ancla
2,421,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23480,ATP-LENGUA-SEC.01,"A partir de una situación comunicativa en la escuela, identificar aspectos del proceso de aprendizaje de la expresión oral",Conocimiento,68.720,0.347,-0.208,0.347,-0.278,-0.23,2017,Ancla
3,7,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23481,ATP-LENGUA-SEC.02,"A partir de una situación didáctica apoyada en el uso de diferentes tipos de texto, identificar las características del proceso para el aprendizaje de la lectura o la producción de textos",Comprensión,85.710,0.22,-0.135,-0.162,0.22,-0.176,2017,Ancla
4,281,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23481,ATP-LENGUA-SEC.02,"A partir de una situación didáctica apoyada en el uso de diferentes tipos de texto, identificar las características del proceso para el aprendizaje de la lectura o la producción de textos",Comprensión,45.320,0.2,-0.064,-0.193,-0.255,0.2,2017,Ancla
5,75,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23482,ATP-LENGUA-SEC.03,"A partir de situaciones didácticas en el uso del lenguaje oral, identificar las que favorecen el desarrollo del lenguaje escrito",Comprensión,72.170,0.271,-0.216,-0.221,-0.084,0.271,2017,Ancla
6,169,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23482,ATP-LENGUA-SEC.03,"A partir de situaciones didácticas en el uso del lenguaje oral, identificar las que favorecen el desarrollo del lenguaje escrito",Comprensión,33.000,0.224,-0.264,0.224,-0.183,-0.035,2017,Ancla
7,574,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23483,ATP-LENGUA-SEC.04,"A partir de actividades de aprendizaje, identificar las que promueven la reflexión sobre la lengua",Comprensión,,,,,,,Nuevo ,Nuevo 
8,78,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23483,ATP-LENGUA-SEC.04,"A partir de actividades de aprendizaje, identificar las que promueven la reflexión sobre la lengua",Comprensión,40.150,0.186,-0.145,-0.142,0.186,-0.102,2017,Ancla
9,624,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23483,ATP-LENGUA-SEC.04,"A partir de actividades de aprendizaje, identificar las que promueven la reflexión sobre la lengua",Comprensión,,,,,,,Piloto Variable,Piloto Variable
10,193,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23484,ATP-LENGUA-SEC.05,"A partir de situaciones para el aprendizaje del lenguaje oral o escrito, identificar las que toman en cuenta la influencia del entorno familiar, social o cultural",Comprensión,62.320,0.194,-0.146,-0.158,0.194,-0.145,2017,Ancla
11,302,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23484,ATP-LENGUA-SEC.05,"A partir de situaciones para el aprendizaje del lenguaje oral o escrito, identificar las que toman en cuenta la influencia del entorno familiar, social o cultural",Comprensión,62.987,0.212,-0.134,-0.192,0.212,-0.169,2016,Específico
12,484,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23485,ATP-LENGUA-SEC.06,"A partir de propósitos de la educación secundaria, identificar los que corresponden a la cultura escrita",Conocimiento,,,,,,,Nuevo ,Nuevo 
13,1,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23485,ATP-LENGUA-SEC.06,"A partir de propósitos de la educación secundaria, identificar los que corresponden a la cultura escrita",Conocimiento,74.380,0.168,-0.129,-0.169,0.168,-0.09,2017,Ancla
14,487,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23485,ATP-LENGUA-SEC.06,"A partir de propósitos de la educación secundaria, identificar los que corresponden a la cultura escrita",Conocimiento,,,,,,,Piloto Variable,Piloto Variable
15,579,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23486,ATP-LENGUA-SEC.07,"A partir de una situación didáctica, identificar las características de las prácticas sociales del lenguaje",Comprensión,,,,,,,Nuevo ,Nuevo 
16,206,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23486,ATP-LENGUA-SEC.07,"A partir de una situación didáctica, identificar las características de las prácticas sociales del lenguaje",Comprensión,67.240,0.233,-0.126,-0.085,-0.315,0.233,2017,Ancla
17,175,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23486,ATP-LENGUA-SEC.07,"A partir de una situación didáctica, identificar las características de las prácticas sociales del lenguaje",Comprensión,87.229,0.194,-0.186,-0.215,0.194,-0.117,2016,Específico
18,269,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23486,ATP-LENGUA-SEC.07,"A partir de una situación didáctica, identificar las características de las prácticas sociales del lenguaje",Comprensión,29.437,0.112,0.112,-0.050,-0.227,-0.107,2016,Específico
19,485,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.3 Transversalidad del lenguaje,23487,ATP-LENGUA-SEC.08,"A partir de actividades didácticas del lenguaje oral, identificar la que fortalece el logro de propósitos de distintas asignaturas.",Comprensión,,,,,,,Nuevo ,Nuevo 
