#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,
1,231,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23532,ATP-PENSA-PRI.01,"A partir de ejemplos sobre el desarrollo de nociones matemáticas, identificar el proceso que realiza el alumno para su aprendizaje.",Comprensión,41.560,0.245,0.245,-0.180,-0.242,-0.160,2017,Ancla,,,,,,
2,315,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23532,ATP-PENSA-PRI.01,"A partir de ejemplos sobre el desarrollo de nociones matemáticas, identificar el proceso que realiza el alumno para su aprendizaje.",Comprensión,37.323,0.164,-0.164,-0.158,-0.098,0.164,2016,Específico,,,,,,
3,569,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23532,ATP-PENSA-PRI.01,"A partir de ejemplos sobre el desarrollo de nociones matemáticas, identificar el proceso que realiza el alumno para su aprendizaje.",Comprensión,,,,,,,Piloto Variable,Piloto Variable,,,,,,
4,78,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23533,ATP-PENSA-PRI.02,"A partir de principios generales sobre el aprendizaje de las matemáticas, identificar los que corresponden al desarrollo de nociones matemáticas",Conocimiento,78.730,0.232,0.232,-0.218,-0.187,-0.153,2017,Ancla,,,,,,
5,91,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23533,ATP-PENSA-PRI.02,"A partir de principios generales sobre el aprendizaje de las matemáticas, identificar los que corresponden al desarrollo de nociones matemáticas",Conocimiento,54.850,0.242,-0.197,0.242,-0.228,-0.116,2017,Ancla,,,,,,
6,2,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23534,ATP-PENSA-PRI.03,"A partir de conceptos matemáticos específicos, identificar las dificultades comunes que enfrentan los alumnos.",Comprensión,62.390,0.228,-0.164,0.228,-0.179,-0.197,2017,Ancla,,,,,,
7,148,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23534,ATP-PENSA-PRI.03,"A partir de conceptos matemáticos específicos, identificar las dificultades comunes que enfrentan los alumnos.",Comprensión,79.978,0.471,0.471,-0.257,-0.412,-0.186,2016,Específico,,,,,,
8,475,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23534,ATP-PENSA-PRI.03,"A partir de conceptos matemáticos específicos, identificar las dificultades comunes que enfrentan los alumnos.",Comprensión,,,,,,,Piloto Variable,Piloto Variable,,,,,,
9,37,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23535,ATP-PENSA-PRI.04,"A partir de una situación sobre las dificultades que enfrentan los alumnos para aprender conceptos matemáticos específicos, identificar el apoyo que el ATP proporciona al docente para superarlas",Aplicación,56.190,0.170,-0.251,-0.165,0.170,-0.066,2017,Ancla,,,,,,
10,196,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23535,ATP-PENSA-PRI.04,"A partir de una situación sobre las dificultades que enfrentan los alumnos para aprender conceptos matemáticos específicos, identificar el apoyo que el ATP proporciona al docente para superarlas",Aplicación,55.713,0.26,-0.144,-0.285,0.260,-0.213,2016,Específico,,,,,,
11,455,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del pensamiento matemático,23535,ATP-PENSA-PRI.04,"A partir de una situación sobre las dificultades que enfrentan los alumnos para aprender conceptos matemáticos específicos, identificar el apoyo que el ATP proporciona al docente para superarlas",Aplicación,,,,,,,Piloto Variable,Piloto Variable,,,,,,
12,268,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.2 Influencia de los entornos familiar, social y cultural",23536,ATP-PENSA-PRI.05,"A partir de la descripción de condiciones de los entornos familiar, social o cultural del alumno, identificar las que pueden ayudar a desarrollar el pensamiento matemático",Conocimiento,72.260,0.198,0.198,-0.169,-0.111,-0.207,2017,Ancla,,,,,,
13,652,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.2 Influencia de los entornos familiar, social y cultural",23536,ATP-PENSA-PRI.05,"A partir de la descripción de condiciones de los entornos familiar, social o cultural del alumno, identificar las que pueden ayudar a desarrollar el pensamiento matemático",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
14,485,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.2 Influencia de los entornos familiar, social y cultural",23536,ATP-PENSA-PRI.05,"A partir de la descripción de condiciones de los entornos familiar, social o cultural del alumno, identificar las que pueden ayudar a desarrollar el pensamiento matemático",Conocimiento,,,,,,,Piloto Variable,Piloto Variable,,,,,,
15,94,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.2 Influencia de los entornos familiar, social y cultural",23537,ATP-PENSA-PRI.06,"A partir de actividades cotidianas (entorno familiar, social o cultural) para resolver problemas matemáticos, identificar el aprendizaje del pensamiento matemático que favorecen",Comprensión,83.480,0.271,-0.061,-0.233,0.271,-0.242,2017,Ancla,,,,,,
16,107,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.2 Influencia de los entornos familiar, social y cultural",23537,ATP-PENSA-PRI.06,"A partir de actividades cotidianas (entorno familiar, social o cultural) para resolver problemas matemáticos, identificar el aprendizaje del pensamiento matemático que favorecen",Comprensión,61.940,0.215,-0.117,-0.210,0.215,-0.198,2017,Ancla,,,,,,
17,389,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23538,ATP-PENSA-PRI.07,"A partir de los propósitos de estudio de la educación básica, identificar los que corresponden a matemáticas de nivel primaria.",Conocimiento,79.980,0.202,-0.045,0.202,-0.109,-0.246,2017,Ancla,,,,,,
18,267,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23538,ATP-PENSA-PRI.07,"A partir de los propósitos de estudio de la educación básica, identificar los que corresponden a matemáticas de nivel primaria.",Conocimiento,15.778,0.197,-0.112,0.197,-0.179,-0.094,2016,Específico,,,,,,
19,465,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23538,ATP-PENSA-PRI.07,"A partir de los propósitos de estudio de la educación básica, identificar los que corresponden a matemáticas de nivel primaria.",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
20,362,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23539,ATP-PENSA-PRI.08,"A partir de una actividad en el aula, identificar el propósito del estudio de las matemáticas que se desarrolla.",Comprensión,75.490,0.164,0.164,-0.089,-0.212,-0.080,2017,Ancla,,,,,,
21,142,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23539,ATP-PENSA-PRI.08,"A partir de una actividad en el aula, identificar el propósito del estudio de las matemáticas que se desarrolla.",Comprensión,50.381,0.157,-0.155,-0.131,-0.178,0.157,2016,Específico,,,,,,
22,456,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23539,ATP-PENSA-PRI.08,"A partir de una actividad en el aula, identificar el propósito del estudio de las matemáticas que se desarrolla.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
23,57,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23540,ATP-PENSA-PRI.09,"A partir de contenidos matemáticos en educación primaria, identificar sus características (profundidad, secuencia, complejidad).",Conocimiento,45.330,0.278,-0.088,-0.288,0.278,-0.151,2017,Ancla,,,,,,
