#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,482,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51705,ATP-ESPECIAL.01.A,"A partir de procesos de desarrollo lingüístico o cognoscitivo, identificar aquellos que corresponden a los procesos de aprendizaje de un alumno con o sin discapacidad o aptitudes sobresalientes",Conocimiento,28.18,0.214,0.214,-0.224,-0.107,-0.293,Piloto experimental,Piloto experimental
2,496,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51705,ATP-ESPECIAL.01.A,"A partir de procesos de desarrollo lingüístico o cognoscitivo, identificar aquellos que corresponden a los procesos de aprendizaje de un alumno con o sin discapacidad o aptitudes sobresalientes",Conocimiento,80,0.239,-0.137,-0.1,-0.306,0.239,Piloto experimental,Piloto experimental
3,615,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51705,ATP-ESPECIAL.01.A,"A partir de procesos de desarrollo lingüístico o cognoscitivo, identificar aquellos que corresponden a los procesos de aprendizaje de un alumno con o sin discapacidad o aptitudes sobresalientes",Conocimiento,,,,,,,Piloto,Piloto
4,481,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51708,ATP-ESPECIAL.02.A,"A partir de las características de los procesos del desarrollo físico, cognoscitivo o afectivo social de un alumno con o sin discapacidad o aptitudes sobresalientes, identificar a qué etapa corresponde",Comprensión,56.82,0.145,-0.196,0.145,-0.038,-0.379,Piloto experimental,Piloto experimental
5,682,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51708,ATP-ESPECIAL.02.A,"A partir de las características de los procesos del desarrollo físico, cognoscitivo o afectivo social de un alumno con o sin discapacidad o aptitudes sobresalientes, identificar a qué etapa corresponde",Comprensión,49.09,0.266,-0.182,0.266,-0.249,-0.212,Piloto experimental,Piloto experimental
6,688,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51710,ATP-ESPECIAL.03.A,"A partir de la evaluación psicopedagógica de un alumno con discapacidad o aptitudes sobresalientes, identificar la información que permita detectar sus necesidades para el aprendizaje",Aplicación,67.8,0.394,-0.159,0.394,-0.398,-0.235,Piloto experimental,Piloto experimental
7,689,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51710,ATP-ESPECIAL.03.A,"A partir de la evaluación psicopedagógica de un alumno con discapacidad o aptitudes sobresalientes, identificar la información que permita detectar sus necesidades para el aprendizaje",Aplicación,84.55,0.244,-0.281,-0.145,0.244,-0.174,Piloto experimental,Piloto experimental
8,692,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51710,ATP-ESPECIAL.03.A,"A partir de la evaluación psicopedagógica de un alumno con discapacidad o aptitudes sobresalientes, identificar la información que permita detectar sus necesidades para el aprendizaje",Aplicación,81.82,0.349,-0.268,-0.22,0.349,-0.283,Piloto experimental,Piloto experimental
9,691,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51710,ATP-ESPECIAL.03.A,"A partir de la evaluación psicopedagógica de un alumno con discapacidad o aptitudes sobresalientes, identificar la información que permita detectar sus necesidades para el aprendizaje",Aplicación,,,,,,,Piloto,Piloto
10,854,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo y aprendizaje de los alumnos,51713,ATP-ESPECIAL.04.A,"A partir de un listado de necesidades para el aprendizaje de un alumno, identificar las que correspondan a una discapacidad o aptitud sobresaliente",Conocimiento,71.97,0.301,-0.216,0.301,-0.221,-0.253,Piloto experimental,Piloto experimental
