#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,264,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51723,COMUN-ATP.01,"A partir de situaciones escolares relacionadas con la función de asesoría, identificar aquélla en la que reconoce la necesidad de modificar su práctica para la mejora profesional.",Comprensión,78.53,0.283,-0.129,-0.131,-0.3,0.283,2017,Ancla
2,395,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51723,COMUN-ATP.01,"A partir de situaciones escolares relacionadas con la función de asesoría, identificar aquélla en la que reconoce la necesidad de modificar su práctica para la mejora profesional.",Comprensión,,,,,,,Piloto focal,Piloto focal
3,146,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51723,COMUN-ATP.01,"A partir de situaciones escolares relacionadas con la función de asesoría, identificar aquélla en la que reconoce la necesidad de modificar su práctica para la mejora profesional.",Comprensión,,,,,,,Piloto,Piloto
4,73,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51654,COMUN-ATP.02.A,"A partir de acciones del asesor, identificar aquella que propicie un cuestionamiento a sus creencias y saberes que posibilite mejorar su práctica",Aplicación,,,,,,,Piloto focal,Piloto focal
5,329,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51654,COMUN-ATP.02.A,"A partir de acciones del asesor, identificar aquella que propicie un cuestionamiento a sus creencias y saberes que posibilite mejorar su práctica",Aplicación,,,,,,,Piloto focal,Piloto focal
6,333,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51654,COMUN-ATP.02.A,"A partir de acciones del asesor, identificar aquella que propicie un cuestionamiento a sus creencias y saberes que posibilite mejorar su práctica",Aplicación,,,,,,,Piloto,Piloto
7,252,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Reflexión para la mejora del trabajo cotidiano,51732,COMUN-ATP.03,"A partir de situaciones de asesoría a un centro educativo, identificar la intervención que deriva de la reflexión sobre la práctica.",Aplicación,68.63,0.194,-0.239,-0.147,-0.097,0.194,2017,Ancla
8,145,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Reflexión para la mejora del trabajo cotidiano,51732,COMUN-ATP.03,"A partir de situaciones de asesoría a un centro educativo, identificar la intervención que deriva de la reflexión sobre la práctica.",Aplicación,,,,,,,Piloto focal,Piloto focal
9,335,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Reflexión para la mejora del trabajo cotidiano,51732,COMUN-ATP.03,"A partir de situaciones de asesoría a un centro educativo, identificar la intervención que deriva de la reflexión sobre la práctica.",Aplicación,,,,,,,Piloto,Piloto
10,257,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Reflexión para la mejora del trabajo cotidiano,51664,COMUN-ATP.04,"A partir de situaciones en las que describan distintas formas de trabajo entre docentes, identificar aquella que representa una forma de trabajo colaborativo para mejorar su función.",Comprensión,86.71,0.197,0.197,-0.148,-0.158,-0.15,2017,Ancla
11,258,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Reflexión para la mejora del trabajo cotidiano,51664,COMUN-ATP.04,"A partir de situaciones en las que describan distintas formas de trabajo entre docentes, identificar aquella que representa una forma de trabajo colaborativo para mejorar su función.",Comprensión,78.24,0.214,0.214,-0.245,-0.077,-0.134,2017,Ancla
12,269,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.3 Relación teoría- practica,51743,COMUN-ATP.05,"A partir de la descripción del desarrollo de una clase, identificar las actividades para favorecer el aprendizaje de acuerdo con alguno de los principios pedagógicos del plan de estudios.",Aplicación,51.17,0.223,-0.114,0.223,-0.273,-0.092,2017,Ancla
13,283,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.3 Relación teoría- practica,51743,COMUN-ATP.05,"A partir de la descripción del desarrollo de una clase, identificar las actividades para favorecer el aprendizaje de acuerdo con alguno de los principios pedagógicos del plan de estudios.",Aplicación,76.94,0.194,-0.177,-0.194,0.194,-0.107,2017,Ancla
14,232,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51749,COMUN-ATP.06,"A partir de un texto académico breve, identificar la idea central o el propósito comunicativo.",Comprensión,39.94,0.213,0.213,-0.219,-0.134,-0.095,2017,Ancla
15,233,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51749,COMUN-ATP.06,"A partir de un texto académico breve, identificar la idea central o el propósito comunicativo.",Comprensión,38.48,0.216,-0.083,-0.219,-0.149,0.216,2017,Ancla
16,254,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51754,COMUN-ATP.07,"A partir de formas de participación en redes y comunidades de aprendizaje, reconocer aquélla que fortalece su desarrollo profesional.",Conocimiento,30.02,0.232,-0.115,-0.21,-0.143,0.232,2017,Ancla
17,240,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51754,COMUN-ATP.07,"A partir de formas de participación en redes y comunidades de aprendizaje, reconocer aquélla que fortalece su desarrollo profesional.",Conocimiento,41.95,0.157,0.157,-0.091,-0.149,-0.145,2017,Ancla
18,400,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51754,COMUN-ATP.07,"A partir de formas de participación en redes y comunidades de aprendizaje, reconocer aquélla que fortalece su desarrollo profesional.",Conocimiento,,,,,,,Piloto focal,Piloto focal
19,260,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51757,COMUN-ATP.08,"A partir de acciones que se realizan en el Consejo Técnico Escolar, identificar aquellas que favorecen el aprendizaje o la mejora de las prácticas docentes.",Comprensión,74.34,0.186,-0.14,0.186,-0.15,-0.167,2017,Ancla
20,261,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51757,COMUN-ATP.08,"A partir de acciones que se realizan en el Consejo Técnico Escolar, identificar aquellas que favorecen el aprendizaje o la mejora de las prácticas docentes.",Comprensión,65.16,0.206,-0.123,0.206,-0.212,-0.134,2017,Ancla
21,403,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51667,COMUN-ATP.09,"A partir de los artículos establecidos en los Lineamientos para la organización y el funcionamiento de los consejos técnicos escolares, identificar aquél que favorece el desarrollo profesional del personal con funciones de asesoría.",Conocimiento,,,,,,,Piloto focal,Piloto focal
22,405,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51667,COMUN-ATP.09,"A partir de los artículos establecidos en los Lineamientos para la organización y el funcionamiento de los consejos técnicos escolares, identificar aquél que favorece el desarrollo profesional del personal con funciones de asesoría.",Conocimiento,,,,,,,Piloto focal,Piloto focal
23,340,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51667,COMUN-ATP.09,"A partir de los artículos establecidos en los Lineamientos para la organización y el funcionamiento de los consejos técnicos escolares, identificar aquél que favorece el desarrollo profesional del personal con funciones de asesoría.",Conocimiento,,,,,,,Piloto,Piloto
24,51,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.4 El sistema de asesoría para fortalecer el aprendizaje docente,51656,COMUN-ATP.10.A,"A partir de atribuciones o funciones de asesoría, identificar la que contribuye al desarrollo profesional que es congruente con el Servicio de Asistencia Técnica a la Escuela",Aplicación,,,,,,,Piloto focal,Piloto focal
25,86,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.4 El sistema de asesoría para fortalecer el aprendizaje docente,51656,COMUN-ATP.10.A,"A partir de atribuciones o funciones de asesoría, identificar la que contribuye al desarrollo profesional que es congruente con el Servicio de Asistencia Técnica a la Escuela",Aplicación,,,,,,,Piloto focal,Piloto focal
26,126,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.4 El sistema de asesoría para fortalecer el aprendizaje docente,51656,COMUN-ATP.10.A,"A partir de atribuciones o funciones de asesoría, identificar la que contribuye al desarrollo profesional que es congruente con el Servicio de Asistencia Técnica a la Escuela",Aplicación,,,,,,,Piloto,Piloto
27,181,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.5 Las TIC en el desarrollo profesional,51762,COMUN-ATP.11,"A partir de una situación escolar en la que se utilizan las TIC, seleccionar la acción que represente una ventaja para el desarrollo profesional del asesor.",Aplicación,54.04,0.193,-0.219,-0.123,0.193,-0.09,2017,Ancla
28,343,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.5 Las TIC en el desarrollo profesional,51762,COMUN-ATP.11,"A partir de una situación escolar en la que se utilizan las TIC, seleccionar la acción que represente una ventaja para el desarrollo profesional del asesor.",Aplicación,,,,,,,Piloto focal,Piloto focal
29,344,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.5 Las TIC en el desarrollo profesional,51762,COMUN-ATP.11,"A partir de una situación escolar en la que se utilizan las TIC, seleccionar la acción que represente una ventaja para el desarrollo profesional del asesor.",Aplicación,,,,,,,Piloto,Piloto
30,12,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.6 Las TIC en la comunicación con la comunidad educativa,51657,COMUN-ATP.12.A,"A partir de situaciones escolares en las que se utilizan las TIC, identificar en la que se establezca la comunicación con la comunidad educativa",Comprensión,,,,,,,Piloto focal,Piloto focal
31,52,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.6 Las TIC en la comunicación con la comunidad educativa,51657,COMUN-ATP.12.A,"A partir de situaciones escolares en las que se utilizan las TIC, identificar en la que se establezca la comunicación con la comunidad educativa",Comprensión,,,,,,,Piloto focal,Piloto focal
32,8,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.6 Las TIC en la comunicación con la comunidad educativa,51659,COMUN-ATP.13.A,"A partir de los Estándares de Habilidades Digitales del Plan de Estudios 2011, identificar en los que se emplean las TIC para establecer comunicación con la comunidad educativa",Conocimiento,,,,,,,Piloto focal,Piloto focal
33,95,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.6 Las TIC en la comunicación con la comunidad educativa,51659,COMUN-ATP.13.A,"A partir de los Estándares de Habilidades Digitales del Plan de Estudios 2011, identificar en los que se emplean las TIC para establecer comunicación con la comunidad educativa",Conocimiento,,,,,,,Piloto focal,Piloto focal
34,267,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51769,COMUN-ATP.14,"A partir de una situación escolar, identificar aquella acción con la que se fortalece uno de los principios filosóficos de la educación.",Aplicación,88.3,0.313,-0.18,-0.215,-0.249,0.313,2017,Ancla
35,349,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51769,COMUN-ATP.14,"A partir de una situación escolar, identificar aquella acción con la que se fortalece uno de los principios filosóficos de la educación.",Aplicación,,,,,,,Piloto focal,Piloto focal
36,350,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51769,COMUN-ATP.14,"A partir de una situación escolar, identificar aquella acción con la que se fortalece uno de los principios filosóficos de la educación.",Aplicación,,,,,,,Piloto,Piloto
37,268,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51773,COMUN-ATP.15,"A partir de una serie de acciones didácticas, identificar aquella que favorece el ambiente democrático.",Comprensión,78.17,0.333,-0.168,-0.165,-0.336,0.333,2017,Ancla
38,285,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51773,COMUN-ATP.15,"A partir de una serie de acciones didácticas, identificar aquella que favorece el ambiente democrático.",Comprensión,73.16,0.22,0.22,-0.239,-0.114,-0.121,2017,Ancla
39,186,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de las disposiciones legales,51775,COMUN-ATP.16,"A partir de la normativa que establece la Ley General de Educación, identificar las características que deben prevalecer en los materiales educativos adicionales a los oficiales.",Conocimiento,84.84,0.209,-0.122,-0.217,0.209,-0.139,2017,Ancla
40,295,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de las disposiciones legales,51777,COMUN-ATP.17,"A partir de un listado de actividades escolares relacionadas con la asesoría, identificar aquélla que fortalece el carácter nacional, laico o democrático de la educación pública.",Comprensión,66.31,0.17,0.17,-0.188,-0.178,-0.107,2017,Ancla
41,26,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de las disposiciones legales,51777,COMUN-ATP.17,"A partir de un listado de actividades escolares relacionadas con la asesoría, identificar aquélla que fortalece el carácter nacional, laico o democrático de la educación pública.",Comprensión,,,,,,,Piloto focal,Piloto focal
42,352,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de las disposiciones legales,51777,COMUN-ATP.17,"A partir de un listado de actividades escolares relacionadas con la asesoría, identificar aquélla que fortalece el carácter nacional, laico o democrático de la educación pública.",Comprensión,,,,,,,Piloto,Piloto
43,262,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.3 Promoción de los derechos humanos,51669,COMUN-ATP.18,"A partir de acciones de planeación por parte del asesor, identificar aquélla que considere la inclusión de todos los alumnos.",Aplicación,88.09,0.22,-0.124,-0.135,0.22,-0.217,2017,Ancla
44,3,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.3 Promoción de los derechos humanos,51669,COMUN-ATP.18,"A partir de acciones de planeación por parte del asesor, identificar aquélla que considere la inclusión de todos los alumnos.",Aplicación,,,,,,,Piloto focal,Piloto focal
