#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,58,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,23634,COMUN-DIR.01,"A partir de una situación problemática relacionada con el logro académico, identificar la intervención de la función directiva en la toma de decisiones que permita mejorar el trabajo cotidiano",Aplicación,78.2,0.254,-0.117,0.254,-0.229,-0.207,2017,Ancla
2,500,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,23634,COMUN-DIR.01,"A partir de una situación problemática relacionada con el logro académico, identificar la intervención de la función directiva en la toma de decisiones que permita mejorar el trabajo cotidiano",Aplicación,82.73,0.111,-0.064,0.111,-0.309,-0.092,Piloto experimental ,Piloto experimental 
3,695,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51916,COMUN-DIR.02.A,"A partir de acciones para el seguimiento de la Ruta de Mejora Escolar, identificar la que contribuya a la reflexión y autoevaluación de su práctica profesional para la toma de decisiones orientadas a la mejora del trabajo cotidiano",Comprensión,34.55,0.119,-0.249,0.119,-0.06,-0.053,Piloto experimental ,Piloto experimental 
4,504,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51916,COMUN-DIR.02.A,"A partir de acciones para el seguimiento de la Ruta de Mejora Escolar, identificar la que contribuya a la reflexión y autoevaluación de su práctica profesional para la toma de decisiones orientadas a la mejora del trabajo cotidiano",Comprensión,52.89,0.252,-0.302,-0.257,0.252,-0.02,Piloto experimental ,Piloto experimental 
5,845,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51916,COMUN-DIR.02.A,"A partir de acciones para el seguimiento de la Ruta de Mejora Escolar, identificar la que contribuya a la reflexión y autoevaluación de su práctica profesional para la toma de decisiones orientadas a la mejora del trabajo cotidiano",Comprensión,,,,,,,Nuevo ,Nuevo 
6,511,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.1 Análisis del desempeño para la mejora de la función,51916,COMUN-DIR.02.A,"A partir de acciones para el seguimiento de la Ruta de Mejora Escolar, identificar la que contribuya a la reflexión y autoevaluación de su práctica profesional para la toma de decisiones orientadas a la mejora del trabajo cotidiano",Comprensión,,,,,,,Piloto,Piloto
7,352,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23636,COMUN-DIR.03,"A partir de acciones relacionadas con el trabajo colaborativo desde la función directiva, identificar aquellas que contribuyen a mejorar la práctica docente",Comprensión,46.68,0.288,-0.179,-0.104,-0.262,0.288,2017,Ancla
8,366,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23636,COMUN-DIR.03,"A partir de acciones relacionadas con el trabajo colaborativo desde la función directiva, identificar aquellas que contribuyen a mejorar la práctica docente",Comprensión,63.84,0.198,-0.063,0.198,-0.171,-0.245,2017,Ancla
9,517,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23636,COMUN-DIR.03,"A partir de acciones relacionadas con el trabajo colaborativo desde la función directiva, identificar aquellas que contribuyen a mejorar la práctica docente",Comprensión,64.46,0.241,-0.069,-0.325,0.241,-0.178,Piloto experimental ,Piloto experimental 
10,513,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23637,COMUN-DIR.04,"A partir de la descripción de un caso relacionado con el trabajo académico, identificar la acción que corresponda al trabajo colaborativo para la mejora de la función directiva",Aplicación,54.55,0.217,-0.27,-0.214,0.217,-0.126,Piloto experimental ,Piloto experimental 
11,756,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23637,COMUN-DIR.04,"A partir de la descripción de un caso relacionado con el trabajo académico, identificar la acción que corresponda al trabajo colaborativo para la mejora de la función directiva",Aplicación,66.34,0.188,-0.27,-0.06,0.188,-0.147,Piloto experimental ,Piloto experimental 
12,758,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre la práctica,1.1.2 Trabajo colaborativo para el análisis de la práctica,23637,COMUN-DIR.04,"A partir de la descripción de un caso relacionado con el trabajo académico, identificar la acción que corresponda al trabajo colaborativo para la mejora de la función directiva",Aplicación,,,,,,,Piloto,Piloto
13,463,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,23638,COMUN-DIR.05,"A partir de un texto académico breve, identificar la idea central.",Conocimiento,72.94,0.318,-0.222,0.318,-0.269,-0.152,2017,Ancla
14,167,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,23639,COMUN-DIR.06,"A partir de un texto académico breve, identificar el propósito comunicativo.",Comprensión,81.06,0.259,-0.181,-0.234,0.259,-0.168,2017,Ancla
15,702,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,23639,COMUN-DIR.06,"A partir de un texto académico breve, identificar el propósito comunicativo.",Comprensión,,,,,,,Piloto,Piloto
