#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Condición
1,88,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.1 Análisis del desempeño para la mejora de la función,51655,COMUN-SUPER.01.A,"A partir de situaciones de la función supervisora, identificar la que contribuya al mejoramiento del desempeño de su función considerando la reflexión sistemática de la propia práctica profesional",Comprensión,,,,,,,Piloto Focal,Piloto Focal
2,378,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.1 Análisis del desempeño para la mejora de la función,51655,COMUN-SUPER.01.A,"A partir de situaciones de la función supervisora, identificar la que contribuya al mejoramiento del desempeño de su función considerando la reflexión sistemática de la propia práctica profesional",Comprensión,,,,,,,Piloto Focal,Piloto Focal
3,153,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.1 Análisis del desempeño para la mejora de la función,51655,COMUN-SUPER.01.A,"A partir de situaciones de la función supervisora, identificar la que contribuya al mejoramiento del desempeño de su función considerando la reflexión sistemática de la propia práctica profesional",Comprensión,,,,,,,Piloto,Piloto
4,209,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.1 Análisis del desempeño para la mejora de la función,51801,COMUN-SUPER.02,"A partir de intervenciones académicas con directivos o docentes, identificar la que contribuye a la mejora del desempeño de la función.",Aplicación,45.04,0.213,-0.211,-0.118,0.213,-0.134,2017,Ancla
5,210,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.1 Análisis del desempeño para la mejora de la función,51801,COMUN-SUPER.02,"A partir de intervenciones académicas con directivos o docentes, identificar la que contribuye a la mejora del desempeño de la función.",Aplicación,73.5,0.18,-0.109,0.18,-0.097,-0.233,2017,Ancla
6,320,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.2 Reflexión de la práctica para el fortalecimiento en calidad del servicio educativo,51805,COMUN-SUPER.03,"A partir de una situación problemática relacionada con el logro académico, identificar la intervención del supervisor que, desde la reflexión sistemática de su práctica profesional, fortalece la calidad del servicio educativo.",Aplicación,34.51,0.18,-0.104,-0.197,0.18,-0.078,2017,Ancla
7,48,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.2 Reflexión de la práctica para el fortalecimiento en calidad del servicio educativo,51805,COMUN-SUPER.03,"A partir de una situación problemática relacionada con el logro académico, identificar la intervención del supervisor que, desde la reflexión sistemática de su práctica profesional, fortalece la calidad del servicio educativo.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
8,69,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.2 Reflexión de la práctica para el fortalecimiento en calidad del servicio educativo,51805,COMUN-SUPER.03,"A partir de una situación problemática relacionada con el logro académico, identificar la intervención del supervisor que, desde la reflexión sistemática de su práctica profesional, fortalece la calidad del servicio educativo.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
9,207,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51809,COMUN-SUPER.04,"A partir de situaciones de trabajo entre docentes, identificar la que represente el trabajo en colaboración para construir el aprendizaje.",Comprensión,81.17,0.208,-0.148,-0.132,0.208,-0.207,2017,Ancla
10,1,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51809,COMUN-SUPER.04,"A partir de situaciones de trabajo entre docentes, identificar la que represente el trabajo en colaboración para construir el aprendizaje.",Comprensión,,,,,,,Piloto Focal,Piloto Focal
11,343,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51809,COMUN-SUPER.04,"A partir de situaciones de trabajo entre docentes, identificar la que represente el trabajo en colaboración para construir el aprendizaje.",Comprensión,,,,,,,Piloto,Piloto
12,206,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51812,COMUN-SUPER.05,"A partir de enunciados en torno al trabajo colaborativo, identificar el que corresponde a la formación para la mejora de su práctica.",Conocimiento,81.04,0.193,-0.151,-0.149,0.193,-0.173,2017,Ancla
13,319,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51812,COMUN-SUPER.05,"A partir de enunciados en torno al trabajo colaborativo, identificar el que corresponde a la formación para la mejora de su práctica.",Conocimiento,54.6,0.347,-0.345,0.347,-0.152,-0.131,2017,Ancla
14,21,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.1 Finalidad de la reflexión sobre práctica,1.1.3 Trabajo colaborativo para el análisis de la práctica,51812,COMUN-SUPER.05,"A partir de enunciados en torno al trabajo colaborativo, identificar el que corresponde a la formación para la mejora de su práctica.",Conocimiento,,,,,,,Piloto,Piloto
15,292,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51815,COMUN-SUPER.06,"A partir de un texto académico breve, identificar la idea central.",Comprensión,81.31,0.25,-0.151,-0.157,0.25,-0.231,2017,Ancla
16,339,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51815,COMUN-SUPER.06,"A partir de un texto académico breve, identificar la idea central.",Comprensión,77.74,0.29,0.29,-0.107,-0.163,-0.295,2017,Ancla
17,263,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51817,COMUN-SUPER.07,"A partir de un texto académico breve, identificar el tipo de texto.",Conocimiento,72.28,0.222,-0.162,0.222,-0.164,-0.181,2017,Ancla
18,50,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.1 Interpretación y análisis de textos,51817,COMUN-SUPER.07,"A partir de un texto académico breve, identificar el tipo de texto.",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
19,321,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51820,COMUN-SUPER.08,"A partir de formas de participación en redes y comunidades de aprendizaje, identificar la que fortalece su desarrollo profesional",Comprensión,50.29,0.32,-0.27,-0.251,-0.124,0.32,2017,Ancla
20,323,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51820,COMUN-SUPER.08,"A partir de formas de participación en redes y comunidades de aprendizaje, identificar la que fortalece su desarrollo profesional",Comprensión,59.64,0.177,0.177,-0.115,-0.223,-0.138,2017,Ancla
