#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,316,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24434,COOR-SEC.01,"A partir de un listado de enunciados, reconocer los de carácter formativo de los propósitos de las asignaturas de educación secundaria.",Conocimiento,,,,,,,Piloto focal ,Piloto focal 
2,319,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24434,COOR-SEC.01,"A partir de un listado de enunciados, reconocer los de carácter formativo de los propósitos de las asignaturas de educación secundaria.",Conocimiento,,,,,,,Piloto focal ,Piloto focal 
3,320,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24434,COOR-SEC.01,"A partir de un listado de enunciados, reconocer los de carácter formativo de los propósitos de las asignaturas de educación secundaria.",Conocimiento,,,,,,,Piloto focal ,Piloto focal 
4,524,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24434,COOR-SEC.01,"A partir de un listado de enunciados, reconocer los de carácter formativo de los propósitos de las asignaturas de educación secundaria",Conocimiento,,,,,,,Piloto,Piloto
5,202,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24435,COOR-SEC.02,"A partir de ejemplos de práctica docente, identificar la que contribuye al logro de aprendizaje de todos los alumnos",Comprensión,42.67,0.287,-0.121,0.287,-0.254,-0.211,2017,Ancla
6,253,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24435,COOR-SEC.02,"A partir de ejemplos de práctica docente, identificar la que contribuye al logro de aprendizaje de todos los alumnos",Comprensión,61.33,0.375,-0.374,-0.092,0.375,-0.34,2017,Ancla
7,176,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24436,COOR-SEC.03,"A partir de la descripción de un contexto escolar, determinar la práctica docente que contribuya al logro de los aprendizajes de todos los alumnos",Aplicación,81.33,0.322,0.322,-0.155,-2,-0.386,2017,Ancla
8,326,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24436,COOR-SEC.03,"A partir de la descripción de un contexto escolar, determinar la práctica docente que contribuya al logro de los aprendizajes de todos los alumnos.",Aplicación,,,,,,,Piloto focal ,Piloto focal 
9,529,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24436,COOR-SEC.03,"A partir de la descripción de un contexto escolar, determinar la práctica docente que contribuya al logro de los aprendizajes de todos los alumnos.",Aplicación,,,,,,,Piloto focal ,Piloto focal 
10,530,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24436,COOR-SEC.03,"A partir de la descripción de un contexto escolar, determinar la práctica docente que contribuya al logro de los aprendizajes de todos los alumnos",Aplicación,,,,,,,Piloto,Piloto
11,136,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24437,COOR-SEC.04,"A partir de un caso que describa el entorno familiar, sociocultural y lingüístico de los alumnos, identificar el aspecto que influye de manera positiva en los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria",Comprensión,72,0.266,0.266,-0.006,-0.15,-0.375,2017,Ancla
12,336,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24437,COOR-SEC.04,"A partir de un caso que describa el entorno familiar, sociocultural y lingüístico de los alumnos, identificar el aspecto que influye de manera positiva en los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria.",Comprensión,,,,,,,Piloto focal ,Piloto focal 
13,628,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24437,COOR-SEC.04,"A partir de un caso que describa el entorno familiar, sociocultural y lingüístico de los alumnos, identificar el aspecto que influye de manera positiva en los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria",Comprensión,,,,,,,Piloto focal ,Piloto focal 
14,278,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24438,COOR-SEC.05,"A partir de un caso del entorno familiar, sociocultural y lingüístico de los alumnos, seleccionar acciones de la coordinación de actividades que favorezcan los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria",Aplicación,73.33,0.309,0.309,-0.194,-0.231,-0.27,2017,Ancla
15,337,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24438,COOR-SEC.05,"A partir de un caso del entorno familiar, sociocultural y lingüístico de los alumnos, seleccionar acciones de la coordinación de actividades que favorezcan los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria.",Aplicación,,,,,,,Piloto focal ,Piloto focal 
16,541,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24438,COOR-SEC.05,"A partir de un caso del entorno familiar, sociocultural y lingüístico de los alumnos, seleccionar acciones de la coordinación de actividades que favorezcan los procesos de desarrollo o aprendizaje de los alumnos de educación secundaria",Aplicación,,,,,,,Piloto,Piloto
