#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,596,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,23827,DIR-SEC.01,"A partir de un listado de propósitos educativos, seleccionar los que respaldan la tarea fundamental de la escuela en educación secundaria",Conocimiento,67.08,0.157,0.157,-0.063,-0.206,-0.121,2017,Ancla
2,428,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,23827,DIR-SEC.01,"A partir de un listado de propósitos educativos, seleccionar los que respaldan la tarea fundamental de la escuela en educación secundaria",Conocimiento,77.625,0.209,-0.169,-0.15,0.209,-0.164,2016,Específico
3,601,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,23827,DIR-SEC.01,"A partir de un listado de propósitos educativos, seleccionar los que respaldan la tarea fundamental de la escuela en educación secundaria",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
4,153,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,23828,DIR-SEC.02,"A partir de un listado de propósitos educativos, relacionar con las estrategias didácticas que contribuyan al cumplimiento de la tarea fundamental de la escuela",Comprensión,85.65,0.332,-0.202,-0.328,0.332,-0.089,2017,Ancla
5,388,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,23828,DIR-SEC.02,"A partir de un listado de propósitos educativos, relacionar con las estrategias didácticas que contribuyan al cumplimiento de la tarea fundamental de la escuela",Comprensión,77.645,0.323,-0.267,-0.24,0.323,-0.143,2016,Específico
6,570,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,23829,DIR-SEC.03,"A partir de descripciones sobre acciones docentes, identificar las prácticas que contribuyen a la tarea fundamental de la escuela",Comprensión,81.66,0.211,0.211,-0.249,-0.101,-0.107,2017,Ancla
7,588,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,23829,DIR-SEC.03,"A partir de descripciones sobre acciones docentes, identificar las prácticas que contribuyen a la tarea fundamental de la escuela",Comprensión,53.5,0.322,0.322,-0.098,-0.234,-0.267,2017,Ancla
8,117,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,23830,DIR-SEC.04,"A partir de la descripción de una situación problemática de intervención docente en el aula, identificar las estrategias que contribuyen a la tarea fundamental de la escuela",Aplicación,64.8,0.128,-0.176,-0.121,0.128,-0.167,2015,Específico
9,393,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,23830,DIR-SEC.04,"A partir de la descripción de una situación problemática de intervención docente en el aula, identificar las estrategias que contribuyen a la tarea fundamental de la escuela",Aplicación,77.443,0.224,-0.088,-0.263,-0.168,0.224,2016,Específico
10,198,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,23831,DIR-SEC.05,"A partir de enunciados sobre el desempeño de los alumnos, identificar el tipo de influencia del entorno familiar, sociocultural o lingüístico que subyace en el logro de los propósitos educativos",Comprensión,67.21,0.183,-0.033,0.183,-0.068,-0.26,2017,Ancla
11,572,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,23831,DIR-SEC.05,"A partir de enunciados sobre el desempeño de los alumnos, identificar el tipo de influencia del entorno familiar, sociocultural o lingüístico que subyace en el logro de los propósitos educativos",Comprensión,40.57,0.251,-0.187,-0.259,-0.036,0.251,2017,Ancla
12,606,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,23831,DIR-SEC.05,"A partir de enunciados sobre el desempeño de los alumnos, identificar el tipo de influencia del entorno familiar, sociocultural o lingüístico que subyace en el logro de los propósitos educativos",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
13,23,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,23832,DIR-SEC.06,"A partir de un caso en el que los docentes desconozcan la influencia del entorno familiar, sociocultural o lingüístico para el logro de los propósitos educativos, seleccionar las estrategias de intervención que den solución al problema",Aplicación,58.97,0.153,-0.14,-0.083,-0.191,0.153,2017,Ancla
14,124,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,23832,DIR-SEC.06,"A partir de un caso en el que los docentes desconozcan la influencia del entorno familiar, sociocultural o lingüístico para el logro de los propósitos educativos, seleccionar las estrategias de intervención que den solución al problema",Aplicación,88.12,0.2,-0.098,0.2,-0.196,-0.148,2017,Ancla
