#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificaicón
1,499,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24522,SECTOR-PRE.01,"A partir de una situación problemática relacionada con el logro académico de los alumnos en su sector, identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo",Aplicación,,,,,,,Piloto focal,Piloto focal
2,503,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24522,SECTOR-PRE.01,"A partir de una situación problemática relacionada con el logro académico de los alumnos en su sector, identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo",Aplicación,,,,,,,Piloto focal,Piloto focal
3,93,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24523,SECTOR-PRE.02,"A partir de ejemplos de acciones propias del jefe de sector, seleccionar la que favorece la calidad del servicio educativo de las escuelas",Comprensión,85.330,0.2,-0.284,-2.000,0.200,-2.000,2017,Ancla
4,504,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24523,SECTOR-PRE.02,"A partir de ejemplos de acciones propias del jefe de sector, seleccionar la que favorece la calidad del servicio educativo de las escuelas",Comprensión,,,,,,,Piloto focal,Piloto focal
5,513,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24523,SECTOR-PRE.02,"A partir de ejemplos de acciones propias del jefe de sector, seleccionar la que favorece la calidad del servicio educativo de las escuelas",Comprensión,,,,,,,Piloto,Piloto
6,288,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24524,SECTOR-PRE.03,"A partir de un listado de acciones propias del jefe de sector, identificar la que asegure el cumplimiento del calendario escolar",Comprensión,64.130,0.212,0.212,-0.159,-0.074,-0.254,2017,Ancla
7,432,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24524,SECTOR-PRE.03,"A partir de un listado de acciones propias del jefe de sector, identificar la que asegure el cumplimiento del calendario escolar",Comprensión,44.570,0.173,-0.010,-0.141,0.173,-0.223,2017,Ancla
8,223,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24525,SECTOR-PRE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar",Aplicación,85.330,0.192,0.192,-0.286,-0.038,-0.066,2017,Ancla
9,497,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24525,SECTOR-PRE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar",Aplicación,,,,,,,Piloto focal,Piloto focal
10,510,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24525,SECTOR-PRE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar",Aplicación,,,,,,,Piloto,Piloto
11,516,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24526,SECTOR-PRE.05,"A partir de un listado de acciones propias del jefe de sector, identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos",Comprensión,,,,,,,Piloto focal,Piloto focal
12,746,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24526,SECTOR-PRE.05,"A partir de un listado de acciones propias del jefe de sector, identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos",Comprensión,,,,,,,Piloto focal,Piloto focal
13,97,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24527,SECTOR-PRE.06,"A partir de una situación problemática relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector",Aplicación,71.200,0.174,-0.148,-0.001,0.174,-0.266,2015,Específico
14,199,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24527,SECTOR-PRE.06,"A partir de una situación problemática relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector",Aplicación,85.870,0.413,-0.211,-0.430,0.413,-0.100,2017,Ancla
