#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,504,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24568,SECTOR-PRIM.01,A partir de una situación problema relacionada con el logro académico de los alumnos en su sector identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo,Aplicación,,,,,,,Nuevo,Nuevo
2,510,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24568,SECTOR-PRIM.01,A partir de una situación problema relacionada con el logro académico de los alumnos en su sector identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo,Aplicación,,,,,,,Nuevo,Nuevo
3,505,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24568,SECTOR-PRIM.01,A partir de una situación problema relacionada con el logro académico de los alumnos en su sector identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo,Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
4,516,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24569,SECTOR-PRIM.02,A partir de ejemplos de acciones propias del jefe de sector seleccionar la que favorece la calidad del servicio educativo de las escuelas,Comprensión,,,,,,,Nuevo,Nuevo
5,131,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24569,SECTOR-PRIM.02,A partir de ejemplos de acciones propias del jefe de sector seleccionar la que favorece la calidad del servicio educativo de las escuelas,Comprensión,47.16,0.269,0.269,-0.266,-0.225,-0.137,2017,Ancla
6,132,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24570,SECTOR-PRIM.03,A partir de un listado de acciones propias del jefe de sector identificar la que asegure el cumplimiento del calendario escolar,Comprensión,82.22,0.296,-0.137,-0.2,0.296,-0.264,2017,Ancla
7,404,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24570,SECTOR-PRIM.03,A partir de un listado de acciones propias del jefe de sector identificar la que asegure el cumplimiento del calendario escolar,Comprensión,79.38,0.233,0.233,-0.185,-0.219,-0.197,2017,Ancla
8,515,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24571,SECTOR-PRIM.04,A partir de la descripción de un caso seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar,Aplicación,,,,,,,Nuevo,Nuevo
9,449,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24571,SECTOR-PRIM.04,A partir de la descripción de un caso seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar,Aplicación,62.89,0.281,-0.266,-0.115,-0.187,0.281,2017,Ancla
10,523,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24571,SECTOR-PRIM.04,A partir de la descripción de un caso seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar,Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
11,517,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24572,SECTOR-PRIM.05,"A partir de un listado de acciones propias del jefe de sector identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos",Comprensión,,,,,,,Nuevo,Nuevo
12,535,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24572,SECTOR-PRIM.05,"A partir de un listado de acciones propias del jefe de sector identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos",Comprensión,,,,,,,Nuevo,Nuevo
13,521,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24572,SECTOR-PRIM.05,"A partir de un listado de acciones propias del jefe de sector identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
14,526,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24573,SECTOR-PRIM.06,A partir de una situación problema relacionada con los resultados educativos identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector,Aplicación,,,,,,,Nuevo,Nuevo
15,411,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24573,SECTOR-PRIM.06,A partir de una situación problema relacionada con los resultados educativos identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector,Aplicación,35.82,0.201,-0.119,-0.216,0.201,-0.09,2017,Ancla
16,524,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24573,SECTOR-PRIM.06,A partir de una situación problema relacionada con los resultados educativos identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector,Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
17,138,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24574,SECTOR-PRIM.07,A partir de un listado de acciones de seguimiento identificar aquellas que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector,Comprensión,61.34,0.163,-0.171,-0.098,-0.175,0.163,2017,Ancla
18,497,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24574,SECTOR-PRIM.07,A partir de un listado de acciones de seguimiento identificar aquellas que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector,Comprensión,74.48,0.201,0.201,-0.199,-0.149,-0.139,2017,Ancla
19,142,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24575,SECTOR-PRIM.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela identificar los rasgos de aquellas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos)",Comprensión,86.08,0.154,-0.152,-0.169,-0.043,0.154,2017,Ancla
20,245,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24575,SECTOR-PRIM.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela identificar los rasgos de aquellas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos)",Comprensión,67.01,0.392,-0.285,-0.211,0.392,-0.269,2017,Ancla
