#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificaicón
1,435,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24614,SECTOR-TELE.01,"A partir de una situación problema relacionada con el logro académico de los alumnos en su sector, identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo.",Aplicación,,,,,,,Nuevo,Nuevo
2,437,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24614,SECTOR-TELE.01,"A partir de una situación problema relacionada con el logro académico de los alumnos en su sector, identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo.",Aplicación,,,,,,,Nuevo,Nuevo
3,444,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24614,SECTOR-TELE.01,"A partir de una situación problema relacionada con el logro académico de los alumnos en su sector, identificar la acción que favorece la calidad del servicio educativo de las escuelas a su cargo.",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
4,34,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24615,SECTOR-TELE.02,"A partir de ejemplos de acciones propias del jefe de sector, seleccionar la que favorece la calidad del servicio educativo de las escuelas.",Comprensión,38.89,0.244,0.244,-0.146,-0.235,-0.118,2017,Ancla
5,86,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24615,SECTOR-TELE.02,"A partir de ejemplos de acciones propias del jefe de sector, seleccionar la que favorece la calidad del servicio educativo de las escuelas.",Comprensión,33.33,0.263,-0.077,-0.31,0.263,-0.061,2017,Ancla
6,445,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24616,SECTOR-TELE.03,"A partir de un listado de acciones propias del jefe de sector, identificar la que asegure el cumplimiento del calendario escolar.",Comprensión,,,,,,,Nuevo,Nuevo
7,421,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24616,SECTOR-TELE.03,"A partir de un listado de acciones propias del jefe de sector, identificar la que asegure el cumplimiento del calendario escolar.",Comprensión,78.89,0.307,-0.188,0.307,-0.134,-0.306,2017,Ancla
8,442,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24616,SECTOR-TELE.03,"A partir de un listado de acciones propias del jefe de sector, identificar la que asegure el cumplimiento del calendario escolar.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
9,446,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24617,SECTOR-TELE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar.",Aplicación,,,,,,,Nuevo,Nuevo
10,369,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24617,SECTOR-TELE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar.",Aplicación,84.44,0.198,-2,-2,0.198,-0.265,2017,Ancla
