#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,326,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24055,SUB-PRE.01,"A partir de propósitos de la educación básica, identificar los que corresponden al nivel.",Conocimiento,,,,,,,Piloto focal,Piloto focal
2,327,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24055,SUB-PRE.01,"A partir de propósitos de la educación básica, identificar los que corresponden al nivel.",Conocimiento,,,,,,,Piloto focal,Piloto focal
3,329,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24055,SUB-PRE.01,"A partir de propósitos de la educación básica, identificar los que corresponden al nivel.",Conocimiento,,,,,,,Piloto,Piloto
4,183,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24056,SUB-PRE.02,"A partir de campos formativos, identificar la relación con los aprendizajes esperados",Comprensión,32.5,0.301,-0.181,-0.035,0.301,-0.324,2017,Ancla
5,332,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24056,SUB-PRE.02,"A partir de campos formativos, identificar la relación con los aprendizajes esperados.",Comprensión,,,,,,,Piloto focal,Piloto focal
6,597,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24056,SUB-PRE.02,"A partir de campos formativos, identificar la relación con los aprendizajes esperados.",Comprensión,,,,,,,Piloto,Piloto
7,186,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24057,SUB-PRE.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente",Conocimiento,70,0.213,-0.067,0.213,-0.243,-0.298,2017,Ancla
8,343,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24057,SUB-PRE.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente.",Conocimiento,,,,,,,Piloto focal,Piloto focal
9,598,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24057,SUB-PRE.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente.",Conocimiento,,,,,,,Piloto,Piloto
10,305,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24058,SUB-PRE.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al desarrollo de competencias en los alumnos",Comprensión,30,0.393,0.393,-0.219,-0.181,-0.3,2017,Ancla
11,347,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24058,SUB-PRE.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al desarrollo de competencias en los alumnos.",Comprensión,,,,,,,Piloto focal,Piloto focal
12,476,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24058,SUB-PRE.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al desarrollo de competencias en los alumnos.",Comprensión,,,,,,,Piloto focal,Piloto focal
