#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación,Clave de especificación,Definición operacional,Nivel taxonómico,Condición,,
1,118,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24851,SUPER-ADULTOS.01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas).",Comprensión,2017,,
2,119,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24851,SUPER-ADULTOS.01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas).",Comprensión,2017,,
3,152,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24851,SUPER-ADULTOS.01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas).",Comprensión,2017,,
4,245,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24851,SUPER-ADULTOS.01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas)",Comprensión,Piloto,,
5,115,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24852,SUPER-ADULTOS.02,"A partir de situaciones escolares, identificar las acciones que garanticen el funcionamiento regular de las escuelas.",Comprensión,2017,,
6,153,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24852,SUPER-ADULTOS.02,"A partir de situaciones escolares, identificar las acciones que garanticen el funcionamiento regular de las escuelas.",Comprensión,2017,,
7,122,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24853,SUPER-ADULTOS.03,"A partir de un caso escolar relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención.",Aplicación,2017,,
8,124,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24853,SUPER-ADULTOS.03,"A partir de un caso escolar relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención.",Aplicación,2017,,
9,154,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24853,SUPER-ADULTOS.03,"A partir de un caso escolar relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención.",Aplicación,2017,,
10,82,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Uso del tiempo escolar,24854,SUPER-ADULTOS.04,"A partir de situaciones escolares, identificar aquellas en las que el docente favorece el uso del tiempo con sentido formativo.",Comprensión,2017,,
11,83,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Uso del tiempo escolar,24854,SUPER-ADULTOS.04,"A partir de situaciones escolares, identificar aquellas en las que el docente favorece el uso del tiempo con sentido formativo.",Comprensión,2017,,
12,246,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Uso del tiempo escolar,24854,SUPER-ADULTOS.04,"A partir de situaciones escolares, identificar aquellas en las que el docente favorece el uso del tiempo con sentido formativo.",Comprensión,Piloto,,
13,97,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24855,SUPER-ADULTOS.05,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periodicamente el aprendizaje de los alumnos de los centros educativos a su cargo.",Aplicación,2017,,
14,98,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24855,SUPER-ADULTOS.05,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periodicamente el aprendizaje de los alumnos de los centros educativos a su cargo.",Aplicación,2017,,
15,99,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24855,SUPER-ADULTOS.05,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periodicamente el aprendizaje de los alumnos de los centros educativos a su cargo.",Aplicación,2017,,
16,247,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24855,SUPER-ADULTOS.05,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periodicamente el aprendizaje de los alumnos de los centros educativos a su cargo.",Aplicación,Piloto,,
17,9,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.1 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24856,SUPER-ADULTOS.06,"A partir de situaciones didácticas, identificar el propósito, la competencia o el enfoque del nivel que se favorece de la educación para adultos.",Conocimiento,2017,,
18,23,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.1 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24856,SUPER-ADULTOS.06,"A partir de situaciones didácticas, identificar el propósito, la competencia o el enfoque del nivel que se favorece de la educación para adultos.",Conocimiento,2017,,
19,26,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.1 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24856,SUPER-ADULTOS.06,"A partir de situaciones didácticas, identificar el propósito, la competencia o el enfoque del nivel que se favorece de la educación para adultos.",Conocimiento,Nuevo,,
20,79,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24857,SUPER-ADULTOS.07,"A partir de un listado de propósitos de educación básica, identificar los que correponden a educación básica para adultos.",Conocimiento,2017,,
21,80,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24857,SUPER-ADULTOS.07,"A partir de un listado de propósitos de educación básica, identificar los que correponden a educación básica para adultos.",Conocimiento,2017,,
22,81,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24857,SUPER-ADULTOS.07,"A partir de un listado de propósitos de educación básica, identificar los que correponden a educación básica para adultos.",Conocimiento,2017,,
23,297,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24857,SUPER-ADULTOS.07,"A partir de un listado de propósitos de educación básica, identificar los que correponden a educación básica para adultos.",Conocimiento,Nuevo,,
24,12,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24858,SUPER-ADULTOS.08,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en un campo de formación de educación básica adaptado a la educación de adultos.",Comprensión,2017,,
