No.,Clave Reactivo,Sesión,Tipo Reactivo,Área,Subárea,Tema,ID Especificación,Clave de la Especificación,Definición Operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,,,,,,,,
1,337,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24794,SUPER-ESPE01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas)",Comprensión,86.010,0.342,-0.255,-0.224,0.342,-0.198,2017,Ancla,,,,,,,,,,,,,
2,581,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24794,SUPER-ESPE01,"A partir de ejemplos de acciones de la función del supervisor, identificar las que inciden en la función genérica (apoyo, asesoría y orientación a las escuelas)",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
3,62,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24795,SUPER-ESPE02,"A partir de un listado de enunciados, identificar los que corresponden a las características del servicio de educación especial en la educación básica",Conocimiento,50.780,0.238,-0.199,0.238,-0.224,-0.155,2017,Ancla,,,,,,,,,,,,,
4,180,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.1 Calidad del servicio educativo,24795,SUPER-ESPE02,"A partir de un listado de enunciados, identificar los que corresponden a las características del servicio de educación especial en la educación básica",Conocimiento,49.220,0.223,-0.090,0.223,-0.202,-0.182,2017,Ancla,,,,,,,,,,,,,
5,659,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24796,SUPER-ESPE03,"A partir de situaciones escolares, identificar la acción que garantice el funcionamiento regular del servicio de educación especial con base en el calendario escolar vigente",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
6,661,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24796,SUPER-ESPE03,"A partir de situaciones escolares, identificar la acción que garantice el funcionamiento regular del servicio de educación especial con base en el calendario escolar vigente",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
7,496,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24796,SUPER-ESPE03,"A partir de situaciones escolares, identificar la acción que garantice el funcionamiento regular del servicio de educación especial con base en el calendario escolar vigente",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,,,,,,,,
8,618,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24797,SUPER-ESPE04,"A partir de una caso escolar con alumnado con discapacidad o aptitudes sobresalientes, relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención",Aplicación,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
9,624,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24797,SUPER-ESPE04,"A partir de una caso escolar con alumnado con discapacidad o aptitudes sobresalientes, relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención",Aplicación,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
10,518,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24797,SUPER-ESPE04,"A partir de una caso escolar con alumnado con discapacidad o aptitudes sobresalientes, relacionado con la falta de recursos humanos, materiales o didácticos, identificar las acciones para su atención",Aplicación,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
11,141,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Uso del tiempo escolar,24798,SUPER-ESPE05,"A partir de situaciones escolares, identificar aquéllas en las que el docente favorece el uso del tiempo con sentido formativo",Comprensión,75.990,0.286,-0.170,-0.269,0.286,-0.197,2017,Ancla,,,,,,,,,,,,,
12,682,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Uso del tiempo escolar,24798,SUPER-ESPE05,"A partir de situaciones escolares, identificar aquéllas en las que el docente favorece el uso del tiempo con sentido formativo",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
13,397,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24799,SUPER-ESPE06,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periódicamente el aprendizaje de los alumnos con discapacidad o aptitudes sobresalientes de la zona",Comprensión,68.050,0.163,-0.122,0.163,-0.176,-0.120,2017,Ancla,,,,,,,,,,,,,
14,668,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.5 Evaluación del aprendizaje de los alumnos de la zona,24799,SUPER-ESPE06,"A partir de fragmentos de reportes de resultados de evaluación, identificar las acciones que permiten evaluar periódicamente el aprendizaje de los alumnos con discapacidad o aptitudes sobresalientes de la zona",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
15,396,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.1 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24800,SUPER-ESPE07,"A partir de situaciones didácticas, identificar la competencia o el enfoque del nivel que se favorece",Comprensión,79.620,0.160,-0.085,0.160,-0.226,-0.097,2017,Ancla,,,,,,,,,,,,,
16,529,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.1 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24800,SUPER-ESPE07,"A partir de situaciones didácticas, identificar la competencia o el enfoque del nivel que se favorece",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
17,186,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24801,SUPER-ESPE08,"A partir de actividades educativas, reconocer los propósitos o enfoques didácticos o aprendizajes esperados",Comprensión,29.880,0.262,-0.084,0.262,-0.259,-0.104,2017,Ancla,,,,,,,,,,,,,
18,373,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24801,SUPER-ESPE08,"A partir de actividades educativas, reconocer los propósitos o enfoques didácticos o aprendizajes esperados",Comprensión,78.850,0.153,-0.095,0.153,-0.262,-0.032,2016,Específico,,,,,,,,,,,,,
19,181,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24802,SUPER-ESPE09,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en el campo de formación Desarrollo personal y para la convivencia",Conocimiento,60.280,0.211,-0.215,0.211,-0.128,-0.190,2017,Ancla,,,,,,,,,,,,,
20,514,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24802,SUPER-ESPE09,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en el campo de formación Desarrollo personal y para la convivencia",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
21,8,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24803,SUPER-ESPE10,"A partir de una situación de aula, relacionada con los procesos de desarrollo físico o cognoscitivo o lingüístico o afectivo social o de aprendizaje, identificar las estrategias para la atención de alumnos con discapacidad o aptitudes sobresalientes",Comprensión,73.580,0.267,-0.166,-0.145,0.267,-0.293,2017,Ancla,,,,,,,,,,,,,
22,65,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24803,SUPER-ESPE10,"A partir de una situación de aula, relacionada con los procesos de desarrollo físico o cognoscitivo o lingüístico o afectivo social o de aprendizaje, identificar las estrategias para la atención de alumnos con discapacidad o aptitudes sobresalientes",Comprensión,85.150,0.177,-0.126,-0.215,-0.050,0.177,2017,Ancla,,,,,,,,,,,,,
