X1,X1.1,X1.2,X0,X1.3,X1.4,X1.5,X0.1,X0.2,X0.3,X1.6,X1.7,NA.
0,0,0,1,0,0,0,0,0,0,0,0,NA
1,1,0,0,1,0,0,0,0,0,0,0,NA
1,1,1,0,1,0,0,0,0,0,0,0,NA
1,1,0,0,0,0,0,0,0,0,0,0,NA
1,1,1,0,1,0,0,0,0,0,0,0,NA
0,0,0,0,0,1,0,0,0,0,0,0,NA
0,0,0,0,0,1,1,0,0,0,0,0,NA
1,1,0,0,1,0,1,0,0,0,1,1,NA
0,0,0,0,0,1,0,1,0,0,0,0,NA
1,0,0,1,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,1,0,0,1,0,0,0,NA
1,0,0,0,0,0,0,0,0,1,1,0,NA
1,1,0,0,0,0,0,0,0,0,0,0,NA
1,1,1,0,1,0,0,0,0,0,0,0,NA
0,1,1,0,1,1,0,0,0,1,0,0,NA
1,1,1,0,1,0,0,0,0,0,0,0,NA
1,0,1,0,1,0,0,0,0,0,NA,NA,NA
1,1,0,0,1,0,0,0,1,1,NA,NA,NA
1,1,0,0,1,0,1,0,0,0,NA,NA,NA
1,1,0,0,1,0,1,0,0,0,NA,NA,NA
1,1,0,0,1,0,1,0,0,0,NA,NA,NA
1,0,0,0,1,1,0,0,0,0,NA,NA,NA
1,0,0,1,1,0,0,0,0,0,NA,NA,NA
1,0,0,0,1,0,0,1,0,1,NA,NA,NA
1,1,0,0,1,0,0,0,0,0,NA,NA,NA
1,1,0,0,1,0,1,0,0,0,NA,NA,NA
1,0,0,0,0,1,0,0,0,0,NA,NA,NA
1,0,1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,1,0
1,1,1,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0
