"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.057,0.002,0.622,0.01,0.0373159474182279
"PMA02","DINA",0.224,0.003,0.469,0.016,0.0722129414951933
"PMA03","DINA",0.154,0.002,0.421,0.022,0.0314752512529208
"PMA04","DINA",0.36,0.005,0.276,0.01,0.0393544507023893
"PMA05","DINA",0.535,0.005,0.084,0.007,0.0356302219606677
"PMA06","DINA",0.288,0.004,0.21,0.01,0.0149367752463622
"PMA07","DINA",0.302,0.005,0.271,0.008,0.0175161131816448
"PMA08","DINA",0.623,0.004,0,0,0.02944368525108
"PMB01","DINA",0.068,0.003,0.638,0.009,0.0164354750320487
"PMB03","DINA",0.373,0.006,0.24,0.007,0.026979492367773
"PMB04","DINA",0.344,0.005,0.205,0.007,0.0161999605303059
"PMB05","DINA",0.281,0.004,0.253,0.012,0.0142348981944047
"PMB06","DINA",0.335,0.005,0.261,0.009,0.0285684671557442
"PMB07","DINA",0.333,0.004,0.146,0.01,0.0176529514413036
"PMB08","DINA",0.377,0.004,0.105,0.006,0.0153360531696357
"PMB09","DINA",0.366,0.004,0.121,0.009,0.015267689786653
