sujeto,grupo,condición ,dia ,hit,fa,error,rechazo,ensayos cortos,ensayos largo,
4,0.5v2,LB,1,35,13,5,27,40,40,
4,0.5v2,LB,2,20,5,7,26,27,31,
4,0.5v2,LB,3,35,12,5,29,40,41,
4,0.5v2,LB,4,39,8,7,41,46,49,
4,0.5v2,LB,5,24,7,10,35,34,42,
4,0.5v2,LB,6,28,7,4,23,32,30,
4,0.5v2,LB,7,15,4,9,24,24,28,
4,0.5v2,LB,8,34,15,7,26,41,41,
4,0.5v2,LB,9,32,5,7,31,39,36,
4,0.5v2,LB,10,29,8,7,29,36,37,
4,0.5v2,PRE,1,25,5,7,42,32,47,
4,0.5v2,PRE,2,33,9,10,37,43,46,
4,0.5v2,PRE,3,19,12,16,27,35,39,
4,0.5v2,PRE,4,27,10,14,38,41,48,
4,0.5v2,PRE,5,30,4,9,48,39,52,
4,0.5v2,PRE,6,35,3,8,44,43,47,
4,0.5v2,PRE,7,36,6,2,36,38,42,
4,0.5v2,PRE,8,26,7,2,20,28,27,
4,0.5v2,PRE,9,21,5,8,26,29,31,
4,0.5v2,PRE,10,33,5,1,26,34,31,
4,3v12,LB,1,20,10,9,19,29,29,
4,3v12,LB,2,22,5,3,18,25,23,
4,3v12,LB,3,24,3,12,31,36,34,
4,3v12,LB,4,30,9,7,30,37,39,
4,3v12,LB,5,13,9,10,21,23,30,
4,3v12,LB,6,29,3,7,34,36,37,
4,3v12,LB,7,31,7,8,31,39,38,
4,3v12,LB,8,26,10,8,28,34,38,
4,3v12,LB,9,24,5,6,20,30,25,
4,3v12,LB,10,28,6,8,34,36,40,
4,3v12,PRE,1,28,6,12,29,40,35,
4,3v12,PRE,2,28,5,12,34,40,39,
4,3v12,PRE,3,25,15,19,23,44,38,
4,3v12,PRE,4,25,9,23,42,48,51,
4,3v12,PRE,5,23,4,10,21,33,25,
4,3v12,PRE,6,26,3,3,30,29,33,
4,3v12,PRE,7,29,10,12,26,41,36,
4,3v12,PRE,8,20,4,7,23,27,27,
4,3v12,PRE,9,23,6,11,37,34,43,
4,3v12,PRE,10,25,4,14,36,39,40,
6,"1""-4""",LB,1,13,2,1,10,14,12,
6,"1""-4""",LB,2,21,5,7,24,28,29,
6,"1""-4""",LB,3,24,2,8,29,32,31,
6,"1""-4""",LB,4,20,4,5,26,25,30,
6,"1""-4""",LB,5,33,6,8,38,41,44,
6,"1""-4""",LB,6,23,4,3,19,26,23,
6,"1""-4""",LB,7,40,2,7,46,47,48,
6,"1""-4""",LB,8,23,1,9,35,32,36,
6,"1""-4""",LB,9,22,3,9,29,31,32,
6,"1""-4""",LB,10,19,1,10,34,29,35,
6,"1""-4""",PRE ,1,35,6,5,31,40,37,
6,"1""-4""",PRE ,2,42,6,5,43,47,49,
6,"1""-4""",PRE ,3,21,3,5,23,26,26,
6,"1""-4""",PRE ,4,34,4,4,38,38,42,
6,"1""-4""",PRE ,5,26,2,1,28,27,30,
6,"1""-4""",PRE ,6,45,8,3,31,48,39,
6,"1""-4""",PRE ,7,30,6,3,20,33,26,
6,"1""-4""",PRE ,8,23,1,1,23,24,24,
