Sujeto,Grupo,Condicion,Día,Corto_enCorto,Corto_enLargo,Largo_enCorto,Largo_enLargo,EnsayosCortos,EnsayosLargos
20,0.5v2,LB,1,30,4,7,31,37,35
20,0.5v2,LB,2,38,0,4,40,42,40
20,0.5v2,LB,3,40,3,5,46,45,49
20,0.5v2,LB,4,53,2,7,48,60,50
20,0.5v2,LB,5,49,7,4,46,53,53
20,0.5v2,LB,6,39,0,5,37,44,37
20,0.5v2,LB,7,41,3,3,42,44,45
20,0.5v2,LB,8,58,7,2,45,60,52
20,0.5v2,LB,9,30,5,5,38,35,43
20,0.5v2,LB,10,40,1,2,35,42,37
20,0.5v2,M,1,34,3,11,48,46,51
20,0.5v2,M,2,28,0,11,38,41,38
20,0.5v2,M,3,30,0,16,48,48,48
20,0.5v2,M,4,42,0,13,51,55,51
20,0.5v2,M,5,38,0,18,64,56,64
20,0.5v2,M,6,40,1,12,56,52,57
20,0.5v2,M,7,22,2,5,33,27,36
20,0.5v2,M,8,30,3,12,41,43,44
20,0.5v2,M,9,28,4,12,42,40,46
20,0.5v2,M,10,35,3,8,42,43,45
20,1v4,LB,1,30,3,6,32,36,35
20,1v4,LB,2,30,2,3,32,34,34
20,1v4,LB,3,29,3,4,25,33,28
20,1v4,LB,4,31,0,5,31,36,31
20,1v4,LB,5,30,2,8,34,38,36
20,1v4,LB,6,30,1,6,42,36,43
20,1v4,LB,7,42,2,5,48,48,50
20,1v4,LB,8,37,1,3,45,40,46
20,1v4,LB,9,29,2,3,30,32,32
20,1v4,LB,10,17,1,5,22,23,23
20,1v4,M,1,32,1,3,38,35,39
20,1v4,M,2,28,1,9,35,37,36
20,1v4,M,3,38,1,5,39,43,40
20,1v4,M,4,34,1,2,34,36,35
20,1v4,M,5,17,3,14,28,31,31
20,1v4,M,6,33,0,12,41,45,41
20,1v4,M,7,25,1,11,34,36,35
20,1v4,M,8,37,0,7,42,44,42
20,1v4,M,9,52,0,4,59,56,59
20,1v4,M,10,42,0,5,49,47,49
20,2v8,LB,1,24,2,5,24,29,26
20,2v8,LB,2,35,3,3,34,38,37
20,2v8,LB,3,33,1,0,37,33,38
20,2v8,LB,4,33,1,4,31,37,32
20,2v8,LB,5,30,1,9,33,39,34
20,2v8,LB,6,40,1,5,41,45,42
20,2v8,LB,7,33,1,5,33,38,34
20,2v8,LB,8,37,3,1,35,38,38
20,2v8,LB,9,22,3,0,23,22,26
20,2v8,LB,10,36,2,2,30,38,32
20,2v8,M,1,27,4,7,25,34,31
20,2v8,M,2,25,2,8,33,33,35
20,2v8,M,3,32,4,4,31,36,36
20,2v8,M,4,29,3,3,34,32,37
20,2v8,M,5,35,3,3,38,38,41
20,2v8,M,6,21,3,5,33,26,38
20,2v8,M,7,20,1,4,28,24,29
20,2v8,M,8,37,0,2,37,39,37
20,2v8,M,9,38,0,5,36,43,36
20,2v8,M,10,42,3,0,40,42,44
20,3v12,LB,1,37,2,2,35,39,37
20,3v12,LB,2,36,2,0,32,36,34
20,3v12,LB,3,26,1,3,26,29,28
20,3v12,LB,4,31,1,1,31,32,32
20,3v12,LB,5,34,3,2,34,36,38
20,3v12,LB,6,46,6,1,36,47,42
20,3v12,LB,7,36,2,2,41,38,43
20,3v12,LB,8,43,3,5,44,48,47
20,3v12,LB,9,18,1,3,28,21,29
20,3v12,LB,10,34,1,4,30,38,31
20,3v12,M,1,35,3,2,32,37,35
20,3v12,M,2,40,4,4,36,44,40
20,3v12,M,3,32,4,3,31,35,36
20,3v12,M,4,32,2,2,39,34,41
20,3v12,M,5,37,4,5,40,42,44
20,3v12,M,6,25,8,2,29,27,37
20,3v12,M,7,31,4,11,40,42,44
