Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
0,65,s,True,1,0,True,1,False,0,False,0,False,0,5,3.255581141,1.754400969,3.408483028,pocos,3,over,2_o3,senal,verde,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
1,509,n,True,2,0,False,1,True,1,False,0,False,0,1,3.651168108,2.150021076,1.503750801,muchos,7,under,3,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
2,141,s,True,3,0,True,2,False,1,False,0,False,0,6,2.554692984,1.053658009,2.606220961,pocos,3,under,2_u3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
3,10,s,True,4,0,True,3,False,1,False,0,False,0,6,2.654311895,1.153146982,2.004765034,pocos,2,over,2_o2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
4,241,n,True,5,0,False,3,True,2,False,0,False,0,1,2.754384995,1.253577948,4.310467005,pocos,2,over,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
5,436,s,True,6,0,True,4,False,2,False,0,False,0,4,6.865953922,5.364818811,1.40358901,muchos,7,under,2_u2,senal,verde,3 BS,1,1,4,0,0,0,0,1,0,1,0,1,0,1,0
6,309,n,True,7,0,False,4,True,3,False,0,False,0,1,2.654953957,1.153817892,1.403355122,pocos,2,under,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
7,585,n,True,8,0,False,4,True,4,False,0,False,0,2,4.960016966,3.458949089,14.63620496,muchos,7,under,1.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
8,628,n,True,9,0,False,4,True,5,False,0,False,0,1,3.144479036,1.64428997,1.704456091,muchos,7,under,1,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
9,450,s,True,10,0,True,5,False,5,False,0,False,0,5,3.153444052,1.652810097,2.506978989,muchos,8,under,2_u3,senal,guinda,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
10,471,n,False,10,1,False,5,False,5,False,0,True,1,2,3.043609142,1.542460203,1.503587961,muchos,8,under,2_u3,senal,naranja,3 BS,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
11,478,s,True,11,1,True,6,False,5,False,0,False,1,5,3.551970959,2.050881147,8.320250988,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
12,128,s,True,12,1,True,7,False,5,False,0,False,1,6,2.553739071,1.052635908,2.305873871,pocos,3,under,2_u3,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
13,235,n,True,13,1,False,7,True,6,False,0,False,1,1,3.255651951,1.754496813,1.303792953,pocos,3,under,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
14,360,s,True,14,1,True,8,False,6,False,0,False,1,6,2.754145145,1.25295496,1.202591896,muchos,7,over,2_o2,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
15,194,n,True,15,1,False,8,True,7,False,0,False,1,1,3.055269003,1.554116011,0.902606964,pocos,3,under,3,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
16,392,s,True,16,1,True,9,False,7,False,0,False,1,6,2.553634882,1.052507162,1.604232073,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
17,544,n,True,17,1,False,9,True,8,False,0,False,1,1,2.84047699,1.339372873,1.102895975,muchos,7,under,2.5,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
18,77,s,True,18,1,True,10,False,8,False,0,False,1,6,2.655214071,1.15406394,1.103323936,pocos,3,over,2_o3,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
19,396,s,True,19,1,True,11,False,8,False,0,False,1,6,2.654603004,1.153548956,0.702111006,muchos,8,over,2_o3,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
20,237,n,True,20,1,False,11,True,9,False,0,False,1,1,1.652628183,0.151591063,1.203361988,pocos,3,under,2.5,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
21,477,n,False,20,2,False,11,False,9,False,0,True,2,2,2.654829979,1.153748989,1.203372955,muchos,8,under,2_u3,senal,purpura,3 BS,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
22,22,s,True,21,2,True,12,False,9,False,0,False,2,6,2.753973007,1.25268507,1.102596045,pocos,2,over,2_o2,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
23,115,s,True,22,2,True,13,False,9,False,0,False,2,6,2.754221201,1.253182173,0.902225018,pocos,2,under,2_u2,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
24,314,n,True,23,2,False,13,True,10,False,0,False,2,1,1.652181149,0.151164055,2.706532955,pocos,3,under,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
25,231,n,True,24,2,False,13,True,11,False,0,False,2,1,1.651543856,0.150439024,1.003168106,pocos,3,under,2.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
26,319,n,True,25,2,False,13,True,12,False,0,False,2,1,4.158861876,2.657781839,0.601509094,pocos,3,under,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
27,160,s,True,26,2,True,14,False,12,False,0,False,2,6,2.253001928,0.751843929,0.902192831,pocos,3,under,2_u3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
28,560,n,True,27,2,False,14,True,13,False,0,False,2,2,1.651071072,0.149887085,1.403361797,muchos,8,under,2.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
29,559,n,True,28,2,False,14,True,14,False,0,False,2,2,1.952705145,0.451528072,1.203722954,muchos,8,under,2.5,ruido,guinda,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
30,138,s,True,29,2,True,15,False,14,False,0,False,2,6,1.852000952,0.350926876,1.102807999,pocos,3,under,2_u3,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
31,495,n,True,30,2,False,15,True,15,False,0,False,2,1,1.853287935,0.352180004,1.103385925,muchos,8,over,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
32,596,n,True,31,2,False,15,True,16,False,0,False,2,1,1.649894953,0.148996115,0.902266979,muchos,8,under,1.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
33,92,s,True,32,2,True,16,False,16,False,0,False,2,6,1.651535988,0.150355101,0.902286053,pocos,2,under,2_u2,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
34,182,n,True,33,2,False,16,True,17,False,0,False,2,1,1.651599169,0.150439978,1.002704144,pocos,2,under,3,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
35,140,s,True,34,2,True,17,False,17,False,0,False,2,6,1.851130009,0.350080013,0.902287006,pocos,3,under,2_u3,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
36,66,s,True,35,2,True,18,False,17,False,0,False,2,6,1.750738859,0.249603033,1.003093958,pocos,3,over,2_o3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
37,282,n,True,36,2,False,18,True,18,False,0,False,2,1,1.651590109,0.150421143,1.503653049,pocos,2,over,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
38,118,s,True,37,2,True,19,False,18,False,0,False,2,6,1.752877951,0.251738787,0.802477121,pocos,2,under,2_u2,senal,purpura,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
39,557,n,True,38,2,False,19,True,19,False,0,False,2,2,1.650829077,0.149710894,1.002611876,muchos,8,under,2.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1
40,354,s,True,39,2,True,20,False,19,False,0,False,2,6,1.65296793,0.151831865,0.70203495,muchos,7,over,2_o2,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
41,381,s,True,40,2,True,21,False,19,False,0,False,2,6,1.651220083,0.150117159,0.501633883,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
42,169,n,True,41,2,False,21,True,20,False,0,False,2,1,1.651734829,0.150688171,1.002478123,pocos,2,over,3,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
43,35,s,True,42,2,True,22,False,20,False,0,False,2,6,1.652724981,0.15158987,0.80209589,pocos,2,over,2_o2,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
44,261,n,True,43,2,False,22,True,21,False,0,False,2,1,1.650215149,0.149266005,1.303476095,pocos,2,under,1.5,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
45,437,s,True,44,2,True,23,False,21,False,0,False,2,5,3.341560125,1.840451002,1.90475893,muchos,7,under,2_u2,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
46,62,s,True,45,2,True,24,False,21,False,0,False,2,5,1.751780987,0.25071907,0.802560806,pocos,3,over,2_o3,senal,naranja,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
47,156,s,True,46,2,True,25,False,21,False,0,False,2,6,1.953219175,0.452111959,1.804290056,pocos,3,under,2_u3,senal,verde,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
48,283,n,True,47,2,False,25,True,22,False,0,False,2,1,1.652666092,0.151591063,4.811473846,pocos,2,over,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
49,166,n,True,48,2,False,25,True,23,False,0,False,2,1,2.654208899,1.153151989,0.601722956,pocos,2,over,3,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
50,51,s,True,49,2,True,26,False,23,False,0,False,2,6,1.651643038,0.150586128,0.701907873,pocos,3,over,2_o3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
51,112,s,True,50,2,True,27,False,23,False,0,False,2,5,2.253426075,0.752356052,2.506042004,pocos,2,under,2_u2,senal,naranja,4 AS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
52,504,n,True,51,2,False,27,True,24,False,0,False,2,1,1.686432838,0.185364008,0.802078009,muchos,7,under,3,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
53,413,s,True,52,2,True,28,False,24,False,0,False,2,5,2.540112019,1.039004087,0.602170944,muchos,7,under,2_u2,senal,azul,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
54,505,n,True,53,2,False,28,True,25,False,0,False,2,1,1.637451172,0.13626194,2.105332136,muchos,7,under,3,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
55,440,s,True,54,2,True,29,False,25,False,0,False,2,5,2.742988825,1.241907835,0.601592064,muchos,7,under,2_u2,senal,guinda,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
56,467,s,True,55,2,True,30,False,25,False,0,False,2,5,1.852172852,0.351619005,0.701871872,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
57,601,n,True,56,2,False,30,True,26,False,0,False,2,1,1.652343035,0.151190996,2.706965923,muchos,7,over,1,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
58,220,n,True,57,2,False,30,True,27,False,0,False,2,1,2.152796984,0.651703119,3.911067963,pocos,3,over,2.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
59,434,s,True,58,2,True,31,False,27,False,0,False,2,5,2.639955044,1.138797045,0.602136135,muchos,7,under,2_u2,senal,azul,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
60,576,n,True,59,2,False,31,True,28,False,0,False,2,1,1.652748108,0.151618958,1.002326965,muchos,8,over,1.5,ruido,verde,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
61,395,s,True,60,2,True,32,False,28,False,0,False,2,6,1.651092052,0.149919987,0.601666927,muchos,8,over,2_o3,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
62,361,s,True,61,2,True,33,False,28,False,0,False,2,6,1.651564837,0.15062809,0.300868034,muchos,8,over,2_o3,senal,naranja,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
63,293,n,True,62,2,False,33,True,29,False,0,False,2,1,1.651535988,0.150434017,0.902264118,pocos,3,over,1,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
64,90,s,True,63,2,True,34,False,29,False,0,False,2,6,1.751832962,0.250610828,1.9048388,pocos,2,under,2_u2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
65,448,s,True,64,2,True,35,False,29,False,0,False,2,4,4.256703854,2.755513191,4.511360884,muchos,8,under,2_u3,senal,purpura,3 BS,1,1,4,0,0,0,0,1,0,1,0,1,0,1,0
66,292,n,True,65,2,False,35,True,30,False,0,False,2,1,3.656155825,2.155004025,1.303205967,pocos,3,over,1,ruido,naranja,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
67,422,s,True,66,2,True,36,False,30,False,0,False,2,5,2.649261951,1.148118019,0.601989031,muchos,7,under,2_u2,senal,naranja,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
68,203,n,True,67,2,False,36,True,31,False,0,False,2,1,1.751806974,0.250739813,4.110674143,pocos,2,over,2.5,ruido,azul,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
69,215,n,True,68,2,False,36,True,32,False,0,False,2,1,1.651884079,0.150803089,1.804980993,pocos,3,over,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
70,93,s,True,69,2,True,37,False,32,False,0,False,2,6,2.052641869,0.551563025,0.701657057,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
71,614,n,True,70,2,False,37,True,33,False,0,False,2,1,3.155169964,1.653982878,1.403659105,muchos,8,over,1,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
72,279,n,True,71,2,False,37,True,34,False,0,False,2,1,1.652050018,0.150825977,1.403908014,pocos,3,under,1.5,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
73,370,s,True,72,2,True,38,False,34,False,0,False,2,6,1.852080822,0.350901127,1.002732039,muchos,8,over,2_o3,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
74,454,s,True,73,2,True,39,False,34,False,0,False,2,6,2.452824831,0.951643944,0.401229143,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
75,358,s,True,74,2,True,40,False,34,False,0,False,2,6,1.652085781,0.151458025,0.300878048,muchos,7,over,2_o2,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
76,385,s,True,75,2,True,41,False,34,False,0,False,2,6,2.45332098,0.952251911,0.601678133,muchos,8,over,2_o3,senal,verde,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
77,588,n,True,76,2,False,41,True,35,False,0,False,2,1,1.653471947,0.152356863,1.202854872,muchos,7,under,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
78,487,n,True,77,2,False,41,True,36,False,0,False,2,1,1.651639938,0.150487185,0.501485825,muchos,7,over,3,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
79,473,s,True,78,2,True,42,False,36,False,0,False,2,5,3.143733025,1.642519951,0.902246952,muchos,8,under,2_u3,senal,azul,3 BS,1,1,4,0,0,1,0,1,0,1,0,1,0,1,0
80,236,n,True,79,2,False,42,True,37,False,0,False,2,1,1.652016163,0.151539087,0.601678133,pocos,3,under,2.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
