Sujeto,d_A,d_B,A_FA,FaR_A,B_FA,FaR_B,B_H,Hr_B,A_H,Hr_A,Mirror_Yes,R_AN,R_BN,R_BS,R_AS,Mirror_CR,M_BS,M_AS,RT_AS_1,RT_AN_1,RT_A_1,RT_BS_1,RT_BN_1,RT_B_1,RT_AS_2,RT_AN_2,RT_A_2,RT_BS_2,RT_BN_2,RT_B_2,RT_AS_3,RT_AN_3,RT_A_3,RT_BS_3,RT_BN_3,RT_B_3
1,2.517,2.085,21,0.13125,28,0.175,140,0.875,147,0.91875,Sí,1.65625,1.86875,5.31875,5.59375,Sí,1.35,1.5384,2.7489,2.2638,2.5064,3.2382,2.4596,2.8489,1.2478,0.7627,1.0052,1.7372,0.9585,1.3478,0.9826,0.7896,0.8861,1.5389,2.0088,1.7739
2,3.614,3.22,3,0.01875,12,0.075,154,0.9625,150,0.9375,No,1.275,1.51875,5.31875,5.1875,No,2.333,2.1,2.009,1.8575,1.9332,1.9125,1.8934,1.9029,0.5078,0.3563,0.4321,0.04114,0.3918,0.4016,0.6426,0.6098,0.6262,0.5539,0.6493,0.6016
3,3.823,3.174,5,0.03125,9,0.05625,151,0.94375,156,0.975,Sí,1.2,1.46875,5.44375,5.4625,Sí,1.75,2.333,2.1557,1.817,1.9863,2.2033,1.9476,2.0754,0.6548,0.3161,0.4854,0.7024,0.4467,0.5745,0.8979,0.7494,0.8236,0.8973,0.8766,0.8869
4,3.251,2.132,2,0.0125,10,0.0625,116,0.725,135,0.84375,Sí,1.06875,1.325,4.6625,5.1875,Sí,1.613,2.2,2.6392,2.2003,2.4198,2.4866,2.2817,2.3842,1.138,0.6991,0.9185,0.9854,0.7805,0.8829,0.559,0.554,0.5565,0.5128,0.5898,0.5513
5,2.162,1.661,52,0.325,66,0.4125,148,0.925,153,0.95625,Sí,2.55,3.294,5.469,5.481,Sí,2.16,2,2.2056,2.1811,2.1933,1.9922,2.3433,2.1678,0.6931,0.6687,0.6809,0.4798,0.8308,0.6553,0.7389,0.7389,0.7415,0.7113,0.8102,0.7608
6,3.669,3.027,4,0.025,7,0.04375,145,0.90625,153,0.95625,Sí,1.175,1.31875,5.21875,5.30625,Sí,2.14,2.46,2.4456,2.1083,2.2769,2.4524,2.1065,2.2795,0.9445,0.6072,0.7758,0.9513,0.6054,0.7784,0.6844,0.7408,0.7126,0.6938,0.7783,0.736
7,3.437,2.89,3,0.01875,7,0.04375,141,0.88125,146,0.9125,Sí,1.10625,1.2375,5.33125,5.425,Sí,1.3,1.21,2.1546,2.1955,2.1714,2.1717,2.0071,2.0894,0.6421,0.6831,0.6589,0.6593,0.4946,0.577,0.3247,0.5249,0.4563,0.2684,0.3704,0.3194
8,2.008,1.034,30,0.1875,53,0.33125,116,0.725,139,0.86875,Sí,2.50625,3.15625,4.58125,4.96875,Sí,2.3809,2.5909,2.0113,2.0597,2.0256,1.9721,1.9959,1.984,0.5104,0.5589,0.5246,0.4712,0.49503,0.4831,0.579,0.5114,0.5434,0.5335,0.48201,0.5076
9,3.74,2.869,6,0.0375,16,0.1,151,0.94375,156,0.975,Sí,1.425,1.7625,5.55625,5.75625,Sí,2.222,2.5,2.5058,2.4739,2.4898,2.6548,2.6541,2.6545,1.004,0.9728,0.9888,1.1538,1.1531,1.1534,0.6888,0.8968,0.7998,0.6894,0.9382,0.8136
10,2.817,1.792,6,0.0375,18,0.1125,115,0.71875,136,0.85,Sí,1.475,1.88125,4.675,5.11875,Sí,2.22222,2.583333,2.7327316,2.7973961,2.76506385,3.14767691,2.69391862,2.92079777,1.23168953,1.29634684,1.26401819,1.64664101,1.19285246,1.41974673,2.33279522,2.25071698,2.2917561,2.25067322,2.09546135,2.17306728
11,2.113,1.724,45,0.28125,79,0.49375,153,0.95625,150,0.9375,No,2.24375,3.325,5.825,5.6875,No,2.14285,1.8,1.88795804,2.04270168,1.96532986,1.77317531,2.2819399,2.0275576,0.38690381,0.54167264,0.46428823,0.27209362,0.78089891,0.52649626,0.68561269,0.77715401,0.73138335,0.75898991,0.77399528,0.76649259
12,3.983,3.423,1,0.00625,2,0.0125,141,0.88125,149,0.93125,Sí,1.0375,1.15625,5.30625,5.65,Sí,1.78947368,2.09090909,1.93063889,1.80025177,1.86544533,2.00095202,1.86225282,1.9160542,0.42957076,0.29916079,0.36436578,0.49988758,0.3611821,0.43053484,0.77209914,0.76578137,0.76894025,0.759348,0.76142675,0.76038737
13,3.565,2.55,3,0.01875,7,0.04375,128,0.8,149,0.93125,Sí,1.25,1.45625,4.95625,5.525,Sí,2.1875,1.8181812,2.15376749,1.97760875,2.06568812,2.23356398,2.0454866,2.13952529,0.65266673,0.47653281,0.56459977,0.73251243,0.54443776,0.6484751,0.62927671,0.64490234,0.63708953,0.6856622,0.71196282,0.69881251
14,3.605,2.892,8,0.05,8,0.05,143,0.89375,156,0.975,No,1.50625,1.575,5.43125,5.74375,Sí,2.470588,2.75,2.02117408,1.90431476,1.96274442,2.0370935,2.05884764,2.04797057,0.52010237,0.40323805,0.46167021,0.53602131,0.55778304,0.54690217,0.63054928,0.76707313,0.69881121,0.68112893,0.87485833,0.77799363
15,4.995,3.348,1,0.00625,5,0.03125,149,0.93125,159,0.99375,Sí,1.05625,1.24375,5.56875,5.94375,Sí,1,2,2.06297037,1.81722731,1.94009884,2.34949975,1.86021208,2.10485591,0.56189105,0.31616823,0.43902964,0.84845074,0.35916382,0.60380728,0.63682377,0.57038662,0.60360519,0.66438594,0.78152723,0.72295659
16,3.362,2.111,31,0.19375,55,0.34375,153,0.95625,160,1,Sí,2.3625,2.90625,5.75625,5.9,Sí,1.28571429,3,2.20379899,2.33091537,2.26735718,2.27828775,2.33825632,2.308277203,0.70271558,0.82983268,0.76627413,0.77722573,0.83720726,0.8072169,0.72014142,0.87424009,0.7991975,0.78717505,0.76837529,0.77777517
17,1.86,1.079,15,0.09375,32,0.2,95,0.59375,113,0.70625,Sí,1.93125,2.36875,4.1625,4.38125,Sí,2.43076923,2.38297872,2.78026501,2.80213748,2.79120124,2.8248178,2.78087929,2.80284854,1.27923587,1.30106856,1.29015221,1.32374816,1.27982165,1.3017849,0.87372486,1.21076806,1.04224645,0.87556343,0.95289492,0.91422917
18,2.713,1.974,14,0.0875,29,0.18125,137,0.85625,146,0.9125,Sí,1.4875,2.01875,5.20625,5.5,Sí,1.47826087,1.71428571,2.27463888,2.06850038,2.17156963,2.17154694,2.17675649,2.17415172,0.77355396,0.56740979,0.67048187,0.67049925,0.6756899,0.67309458,0.66245041,0.73891058,0.7006805,0.67188602,0.77272023,0.72230313
19,4.578,3.861,1,0.00625,3,0.01875,154,0.9625,157,0.98125,Sí,1.075,1.1375,5.7625,5.89375,Sí,1.3333,1.6666,2.3444366,2.13236894,2.1834063,2.27047507,2.06036616,2.16542061,0.73337986,0.63128994,0.6823349,0.76941787,0.55930864,0.66436326,0.51024211,0.52774532,0.51899371,0.5487661,0.50017604,0.52447107
20,2.994,2.133,6,0.0375,14,0.0875,125,0.78125,142,0.8875,Sí,1.5,1.66875,4.70625,5.2,Sí,2.37142857,2.84210526,2.81653436,2.36051994,2.58852715,2.91121003,2.6244993,2.76785467,1.31551377,0.8594711,1.08749244,1.41016889,1.12346651,1.2668177,0.8981442,0.79656736,0.84735578,0.93759714,0.84861794,0.89310754
