trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,492,41,521,37,left,0,5,6.809,Fri Nov 25 12:40:25 2016
2,579,29,550,33,right,0,10,5.29,Fri Nov 25 12:40:31 2016
3,463,45,579,29,left,0,4,16.95,Fri Nov 25 12:40:48 2016
4,579,29,550,33,left,1,10,4.979,Fri Nov 25 12:40:54 2016
5,579,29,492,41,right,0,7,2.975,Fri Nov 25 12:40:59 2016
6,579,29,550,33,right,0,10,31.197,Fri Nov 25 12:41:31 2016
7,521,37,463,45,left,1,2,7.585,Fri Nov 25 12:41:39 2016
8,492,41,463,45,right,0,1,3.358,Fri Nov 25 12:41:43 2016
9,579,29,521,37,left,1,9,5.697,Fri Nov 25 12:41:51 2016
10,579,29,550,33,left,1,10,33.267,Fri Nov 25 12:42:25 2016
11,579,29,550,33,left,1,10,29.819,Fri Nov 25 12:42:56 2016
12,521,37,463,45,right,0,2,1.495,Fri Nov 25 12:42:58 2016
13,463,45,550,33,left,0,3,2.118,Fri Nov 25 12:43:00 2016
14,579,29,463,45,right,0,4,2.899,Fri Nov 25 12:43:04 2016
15,521,37,492,41,left,1,5,2.652,Fri Nov 25 12:43:07 2016
16,463,45,550,33,left,0,3,3.631,Fri Nov 25 12:43:11 2016
17,550,33,492,41,right,0,6,2.537,Fri Nov 25 12:43:13 2016
18,463,45,550,33,left,0,3,7.134,Fri Nov 25 12:43:21 2016
19,521,37,492,41,right,0,5,5.828,Fri Nov 25 12:43:27 2016
20,463,45,579,29,left,0,4,3.868,Fri Nov 25 12:43:32 2016
21,492,41,579,29,left,0,7,27.281,Fri Nov 25 12:44:00 2016
22,521,37,579,29,left,0,9,2.728,Fri Nov 25 12:44:03 2016
23,579,29,492,41,right,0,7,1.919,Fri Nov 25 12:44:05 2016
24,463,45,579,29,left,0,4,1.916,Fri Nov 25 12:44:08 2016
25,463,45,521,37,left,0,2,4.88,Fri Nov 25 12:44:13 2016
26,550,33,492,41,right,0,6,1.556,Fri Nov 25 12:44:15 2016
27,521,37,463,45,right,0,2,1.825,Fri Nov 25 12:44:17 2016
28,463,45,521,37,right,1,2,2.971,Fri Nov 25 12:44:20 2016
29,579,29,463,45,right,0,4,2.239,Fri Nov 25 12:44:23 2016
30,463,45,492,41,right,1,1,4.74,Fri Nov 25 12:44:28 2016
31,492,41,521,37,right,1,5,13.78,Fri Nov 25 12:44:42 2016
32,579,29,492,41,right,0,7,2.346,Fri Nov 25 12:44:45 2016
33,550,33,492,41,left,1,6,2.714,Fri Nov 25 12:44:48 2016
34,579,29,550,33,right,0,10,4.491,Fri Nov 25 12:44:53 2016
35,521,37,579,29,left,0,9,2.74,Fri Nov 25 12:44:56 2016
36,550,33,521,37,right,0,8,28.7,Fri Nov 25 12:45:25 2016
37,492,41,550,33,left,0,6,6.749,Fri Nov 25 12:45:33 2016
38,492,41,579,29,left,0,7,5.932,Fri Nov 25 12:45:39 2016
39,463,45,579,29,left,0,4,6.162,Fri Nov 25 12:45:46 2016
40,492,41,521,37,left,0,5,34.317,Fri Nov 25 12:46:22 2016
41,550,33,492,41,right,0,6,3.588,Fri Nov 25 12:46:26 2016
42,521,37,579,29,right,1,9,12.104,Fri Nov 25 12:46:38 2016
43,463,45,579,29,left,0,4,2.735,Fri Nov 25 12:46:42 2016
44,579,29,463,45,right,0,4,1.518,Fri Nov 25 12:46:44 2016
45,492,41,463,45,left,1,1,3.131,Fri Nov 25 12:46:47 2016
46,579,29,492,41,right,0,7,1.88,Fri Nov 25 12:46:50 2016
47,579,29,463,45,right,0,4,1.638,Fri Nov 25 12:46:52 2016
48,521,37,579,29,right,1,9,2.295,Fri Nov 25 12:46:54 2016
49,550,33,492,41,left,1,6,5.334,Fri Nov 25 12:47:01 2016
50,521,37,492,41,left,1,5,3.959,Fri Nov 25 12:47:06 2016
51,579,29,463,45,right,0,4,4.599,Fri Nov 25 12:47:11 2016
