trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,492,41,521,37,right,1,5,18.524,Thu Nov 24 14:06:25 2016
2,492,41,463,45,left,1,1,17.171,Thu Nov 24 14:06:43 2016
3,492,41,521,37,right,1,5,10.532,Thu Nov 24 14:06:56 2016
4,550,33,492,41,left,1,6,10.264,Thu Nov 24 14:07:08 2016
5,521,37,579,29,right,1,9,6.215,Thu Nov 24 14:07:15 2016
6,550,33,521,37,left,1,8,2.656,Thu Nov 24 14:07:18 2016
7,492,41,463,45,left,1,1,2.41,Thu Nov 24 14:07:22 2016
8,550,33,463,45,left,1,3,4.133,Thu Nov 24 14:07:27 2016
9,579,29,550,33,right,0,10,9.12,Thu Nov 24 14:07:37 2016
10,463,45,521,37,right,1,2,9.05,Thu Nov 24 14:07:48 2016
11,463,45,579,29,right,1,4,6.772,Thu Nov 24 14:07:55 2016
12,521,37,463,45,left,1,2,4.225,Thu Nov 24 14:08:00 2016
13,550,33,492,41,left,1,6,10.06,Thu Nov 24 14:08:11 2016
14,579,29,521,37,left,1,9,6.835,Thu Nov 24 14:08:19 2016
15,463,45,550,33,right,1,3,5.373,Thu Nov 24 14:08:25 2016
16,492,41,550,33,right,1,6,6.361,Thu Nov 24 14:08:33 2016
17,463,45,579,29,right,1,4,4.377,Thu Nov 24 14:08:38 2016
18,550,33,521,37,right,0,8,13.104,Thu Nov 24 14:08:52 2016
19,579,29,492,41,left,1,7,7.322,Thu Nov 24 14:09:00 2016
20,550,33,521,37,left,1,8,8.57,Thu Nov 24 14:09:10 2016
21,521,37,492,41,left,1,5,7.196,Thu Nov 24 14:09:19 2016
22,521,37,463,45,left,1,2,3.408,Thu Nov 24 14:09:24 2016
23,463,45,521,37,right,1,2,10.067,Thu Nov 24 14:09:35 2016
24,521,37,550,33,right,1,8,14.1,Thu Nov 24 14:09:50 2016
25,579,29,492,41,left,1,7,4.9,Thu Nov 24 14:09:56 2016
26,492,41,550,33,right,1,6,3.557,Thu Nov 24 14:10:00 2016
27,550,33,463,45,left,1,3,12.29,Thu Nov 24 14:10:13 2016
28,550,33,463,45,left,1,3,4.294,Thu Nov 24 14:10:19 2016
29,463,45,521,37,right,1,2,6.191,Thu Nov 24 14:10:25 2016
30,550,33,579,29,left,0,10,6.651,Thu Nov 24 14:10:33 2016
31,463,45,579,29,right,1,4,8.553,Thu Nov 24 14:10:42 2016
32,521,37,579,29,right,1,9,9.553,Thu Nov 24 14:10:53 2016
33,521,37,492,41,left,1,5,9.663,Thu Nov 24 14:11:03 2016
34,579,29,492,41,left,1,7,2.523,Thu Nov 24 14:11:06 2016
35,521,37,492,41,left,1,5,6.175,Thu Nov 24 14:11:13 2016
36,463,45,521,37,right,1,2,6.618,Thu Nov 24 14:11:21 2016
37,521,37,550,33,right,1,8,14.825,Thu Nov 24 14:11:37 2016
