"V1"	"V2"
1	19
19	1
20	0
20	0
1	19
20	0
20	0
1	19
20	0
5	15
8	12
3	17
3	17
12	8
4	16
11	9
16	4
7	13
13	7
9	11
20	0
20	0
20	0
20	0
20	0
20	0
19	1
20	0
20	0
20	0
19	1
20	0
20	0
20	0
20	0
20	0
20	0
20	0
20	0
20	0
19	1
1	19
1	19
0	20
0	20
0	20
0	20
19	1
19	1
16	4
19	1
20	0
20	0
20	0
19	1
20	0
19	1
19	1
20	0
20	0
12	8
16	4
17	3
14	6
14	6
17	3
18	2
13	7
17	3
14	6
0	20
0	20
0	20
1	19
2	18
1	19
0	20
0	20
0	20
1	19
20	0
20	0
20	0
20	0
20	0
20	0
19	1
20	0
20	0
18	2
5	15
10	10
4	16
11	9
4	16
8	12
9	11
13	7
10	10
6	14
1	19
20	0
19	1
20	0
4	16
20	0
20	0
9	11
20	0
9	11
18	2
20	0
20	0
20	0
20	0
20	0
20	0
19	1
20	0
13	7
19	1
20	0
19	1
20	0
20	0
20	0
20	0
19	1
18	2
19	1
9	11
17	3
18	2
19	1
17	3
15	5
18	2
17	3
17	3
12	8
20	0
20	0
20	0
20	0
20	0
20	0
20	0
19	1
20	0
19	1
0	20
0	20
0	20
0	20
0	20
0	20
0	20
1	19
1	19
0	20
18	2
19	1
19	1
16	4
19	1
19	1
18	2
18	2
16	4
19	1
1	19
3	17
0	20
7	13
4	16
2	18
2	18
1	19
1	19
2	18
