trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1379,30,788,60,right,1,18,12.707,Wed May 24 13:18:21 2017
2,1576,20,1379,30,left,0,9,9.245,Wed May 24 13:18:33 2017
3,1773,10,1576,20,right,1,1,6.926,Wed May 24 13:18:41 2017
4,788,60,394,80,left,0,32,12.22,Wed May 24 13:18:54 2017
5,1182,40,1773,10,left,1,3,5.482,Wed May 24 13:19:01 2017
6,985,50,394,80,left,0,29,7.933,Wed May 24 13:19:10 2017
7,985,50,1182,40,right,0,22,6.66,Wed May 24 13:19:17 2017
8,1576,20,394,80,right,1,14,9.63,Wed May 24 13:19:28 2017
9,985,50,394,80,left,0,29,7.055,Wed May 24 13:19:36 2017
10,197,90,985,50,right,0,30,10.324,Wed May 24 13:19:47 2017
11,197,90,1773,10,left,1,8,8.532,Wed May 24 13:19:56 2017
12,394,80,1773,10,left,1,7,5.867,Wed May 24 13:20:03 2017
13,1576,20,1182,40,right,1,10,9.788,Wed May 24 13:20:13 2017
14,788,60,985,50,right,0,27,5.742,Wed May 24 13:20:20 2017
15,788,60,1182,40,right,0,23,4.013,Wed May 24 13:20:25 2017
16,985,50,591,70,left,0,28,7.479,Wed May 24 13:20:33 2017
17,197,90,1773,10,left,1,8,5.292,Wed May 24 13:20:39 2017
18,394,80,591,70,right,0,34,6.393,Wed May 24 13:20:46 2017
19,591,70,985,50,left,1,28,7.24,Wed May 24 13:20:54 2017
20,1576,20,1773,10,left,1,1,8.345,Wed May 24 13:21:03 2017
21,591,70,788,60,left,1,31,6.439,Wed May 24 13:21:11 2017
22,788,60,394,80,left,0,32,7.736,Wed May 24 13:21:19 2017
23,197,90,1182,40,right,0,26,5.558,Wed May 24 13:21:26 2017
24,1379,30,1182,40,right,1,16,9.294,Wed May 24 13:21:36 2017
25,788,60,591,70,left,0,31,4.332,Wed May 24 13:21:41 2017
26,394,80,1379,30,left,1,20,9.616,Wed May 24 13:21:51 2017
27,591,70,985,50,right,0,28,4.612,Wed May 24 13:21:56 2017
28,1576,20,788,60,right,1,12,3.533,Wed May 24 13:22:00 2017
29,394,80,1379,30,left,1,20,4.615,Wed May 24 13:22:06 2017
