trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
1,1182,40,1773,10,right,0,3,4.235,Thu May 25 12:03:41 2017
2,394,80,197,90,right,1,36,7.196,Thu May 25 12:03:49 2017
3,985,50,1576,20,right,0,11,5.349,Thu May 25 12:03:55 2017
4,1379,30,1773,10,right,0,2,4.011,Thu May 25 12:03:59 2017
5,197,90,788,60,right,0,33,3.685,Thu May 25 12:04:03 2017
6,985,50,591,70,left,0,28,2.35,Thu May 25 12:04:06 2017
7,591,70,788,60,right,0,31,2.694,Thu May 25 12:04:09 2017
8,788,60,591,70,left,0,31,2.517,Thu May 25 12:04:12 2017
9,985,50,788,60,left,0,27,1.899,Thu May 25 12:04:15 2017
10,1576,20,1379,30,left,0,9,2.462,Thu May 25 12:04:17 2017
11,1576,20,788,60,left,0,12,1.54,Thu May 25 12:04:19 2017
12,1576,20,1182,40,left,0,10,1.272,Thu May 25 12:04:21 2017
13,985,50,1773,10,right,0,4,1.997,Thu May 25 12:04:23 2017
14,1379,30,1773,10,right,0,2,1.752,Thu May 25 12:04:26 2017
15,1773,10,197,90,left,0,8,1.298,Thu May 25 12:04:27 2017
16,1773,10,197,90,left,0,8,1.094,Thu May 25 12:04:29 2017
17,1576,20,1182,40,left,0,10,1.188,Thu May 25 12:04:30 2017
18,197,90,1182,40,right,0,26,1.185,Thu May 25 12:04:32 2017
19,1182,40,1379,30,right,0,16,2.092,Thu May 25 12:04:34 2017
20,985,50,788,60,right,1,27,9.248,Thu May 25 12:04:44 2017
21,1773,10,985,50,left,0,4,1.427,Thu May 25 12:04:46 2017
22,1379,30,985,50,left,0,17,1.303,Thu May 25 12:04:47 2017
23,394,80,1182,40,right,0,25,1.254,Thu May 25 12:04:49 2017
24,1576,20,788,60,left,0,12,1.145,Thu May 25 12:04:50 2017
25,197,90,394,80,left,1,36,3.166,Thu May 25 12:04:54 2017
26,1182,40,394,80,left,0,25,2.371,Thu May 25 12:04:57 2017
27,1182,40,985,50,right,1,22,3.189,Thu May 25 12:05:00 2017
28,788,60,1773,10,right,0,5,2.103,Thu May 25 12:05:03 2017
29,1576,20,788,60,left,0,12,1.487,Thu May 25 12:05:04 2017
30,394,80,985,50,right,0,29,1.575,Thu May 25 12:05:06 2017
31,1182,40,394,80,left,0,25,2.526,Thu May 25 12:05:09 2017
32,1576,20,394,80,left,0,14,1.59,Thu May 25 12:05:11 2017
33,1379,30,1576,20,right,0,9,9.336,Thu May 25 12:05:21 2017
34,1182,40,591,70,left,0,24,1.517,Thu May 25 12:05:22 2017
35,985,50,1576,20,right,0,11,2.483,Thu May 25 12:05:25 2017
36,1182,40,591,70,left,0,24,1.557,Thu May 25 12:05:27 2017
37,1773,10,985,50,left,0,4,1.016,Thu May 25 12:05:29 2017
38,1182,40,1773,10,right,0,3,1.261,Thu May 25 12:05:30 2017
39,1182,40,985,50,right,1,22,2.952,Thu May 25 12:05:34 2017
40,1576,20,788,60,left,0,12,2.555,Thu May 25 12:05:37 2017
41,591,70,394,80,left,0,34,3.257,Thu May 25 12:05:40 2017
42,1773,10,1576,20,left,0,1,2.706,Thu May 25 12:05:43 2017
43,394,80,788,60,right,0,32,3.553,Thu May 25 12:05:47 2017
44,1773,10,394,80,left,0,7,1.277,Thu May 25 12:05:49 2017
45,985,50,394,80,left,0,29,1.102,Thu May 25 12:05:50 2017
46,985,50,394,80,left,0,29,1.392,Thu May 25 12:05:52 2017
47,1379,30,985,50,left,0,17,1.182,Thu May 25 12:05:53 2017
48,985,50,1182,40,left,1,22,2.73,Thu May 25 12:05:56 2017
49,1576,20,591,70,left,0,13,1.519,Thu May 25 12:05:58 2017
50,1576,20,985,50,left,0,11,1.076,Thu May 25 12:06:00 2017
51,985,50,1379,30,left,1,17,3.028,Thu May 25 12:06:03 2017
52,1379,30,788,60,left,0,18,1.374,Thu May 25 12:06:05 2017
53,591,70,985,50,right,0,28,2.556,Thu May 25 12:06:08 2017
54,1379,30,1773,10,right,0,2,1.662,Thu May 25 12:06:10 2017
55,1182,40,788,60,left,0,23,1.667,Thu May 25 12:06:12 2017
56,788,60,1182,40,right,0,23,1.396,Thu May 25 12:06:13 2017
57,788,60,394,80,left,0,32,1.631,Thu May 25 12:06:15 2017
58,1182,40,1773,10,right,0,3,1.303,Thu May 25 12:06:17 2017
59,197,90,394,80,left,1,36,4.507,Thu May 25 12:06:22 2017
60,197,90,1576,20,right,0,15,5.518,Thu May 25 12:06:28 2017
61,1182,40,1576,20,right,0,10,2.42,Thu May 25 12:06:30 2017
62,788,60,985,50,left,1,27,7.187,Thu May 25 12:06:38 2017
63,1576,20,197,90,left,0,15,1.41,Thu May 25 12:06:40 2017
64,1773,10,1379,30,left,0,2,1.187,Thu May 25 12:06:41 2017
65,1182,40,394,80,left,0,25,1.149,Thu May 25 12:06:43 2017
66,1576,20,591,70,left,0,13,0.913,Thu May 25 12:06:44 2017
67,1182,40,1576,20,right,0,10,1.815,Thu May 25 12:06:46 2017
68,1182,40,1773,10,right,0,3,1.332,Thu May 25 12:06:48 2017
69,197,90,985,50,right,0,30,1.189,Thu May 25 12:06:49 2017
70,1182,40,985,50,right,1,22,4.235,Thu May 25 12:06:54 2017
71,1182,40,1379,30,right,0,16,12.21,Thu May 25 12:07:06 2017
72,788,60,1576,20,right,0,12,1.594,Thu May 25 12:07:08 2017
73,197,90,394,80,left,1,36,2.174,Thu May 25 12:07:11 2017
74,591,70,1576,20,right,0,13,6.331,Thu May 25 12:07:17 2017
75,1182,40,985,50,right,1,22,3.417,Thu May 25 12:07:21 2017
76,591,70,1773,10,right,0,6,1.345,Thu May 25 12:07:23 2017
77,1379,30,1773,10,right,0,2,1.215,Thu May 25 12:07:24 2017
78,985,50,1379,30,right,0,17,1.239,Thu May 25 12:07:26 2017
79,1576,20,394,80,left,0,14,1.573,Thu May 25 12:07:28 2017
80,1379,30,394,80,left,0,20,2.646,Thu May 25 12:07:31 2017
81,394,80,1379,30,right,0,20,1.008,Thu May 25 12:07:32 2017
82,591,70,788,60,right,0,31,5.342,Thu May 25 12:07:38 2017
83,197,90,1182,40,right,0,26,9.634,Thu May 25 12:07:48 2017
84,197,90,1182,40,right,0,26,1.088,Thu May 25 12:07:49 2017
85,788,60,985,50,right,0,27,7.91,Thu May 25 12:07:57 2017
86,788,60,1379,30,right,0,18,1.061,Thu May 25 12:07:59 2017
87,788,60,1576,20,right,0,12,0.835,Thu May 25 12:08:00 2017
88,394,80,1773,10,right,0,7,0.985,Thu May 25 12:08:01 2017
89,1576,20,394,80,left,0,14,1.84,Thu May 25 12:08:03 2017
90,788,60,197,90,left,0,33,1.582,Thu May 25 12:08:05 2017
91,1379,30,1576,20,right,0,9,2.754,Thu May 25 12:08:08 2017
92,1773,10,1576,20,left,0,1,0.952,Thu May 25 12:08:10 2017
93,394,80,1379,30,right,0,20,3.169,Thu May 25 12:08:13 2017
94,1773,10,1182,40,left,0,3,1.239,Thu May 25 12:08:15 2017
95,1182,40,394,80,left,0,25,1.541,Thu May 25 12:08:17 2017
96,788,60,197,90,left,0,33,1.284,Thu May 25 12:08:18 2017
97,788,60,1773,10,right,0,5,1.725,Thu May 25 12:08:21 2017
98,1773,10,591,70,left,0,6,1.387,Thu May 25 12:08:22 2017
99,1182,40,197,90,left,0,26,1.637,Thu May 25 12:08:24 2017
100,788,60,1379,30,right,0,18,1.721,Thu May 25 12:08:26 2017
101,394,80,1182,40,right,0,25,1.493,Thu May 25 12:08:28 2017
102,1576,20,1773,10,left,1,1,1.149,Thu May 25 12:08:34 2017
103,591,70,197,90,left,0,35,4.727,Thu May 25 12:08:39 2017
104,1379,30,197,90,left,0,21,1.132,Thu May 25 12:08:41 2017
105,1182,40,1576,20,right,0,10,1.6,Thu May 25 12:08:42 2017
106,591,70,788,60,left,1,31,6.694,Thu May 25 12:08:50 2017
107,1379,30,197,90,left,0,21,2.334,Thu May 25 12:08:52 2017
108,985,50,1576,20,right,0,11,2.428,Thu May 25 12:08:55 2017
109,985,50,1576,20,right,0,11,1.621,Thu May 25 12:08:57 2017
110,394,80,788,60,right,0,32,4.107,Thu May 25 12:09:02 2017
111,591,70,1773,10,right,0,6,1.195,Thu May 25 12:09:03 2017
112,985,50,788,60,left,0,27,5.064,Thu May 25 12:09:09 2017
113,788,60,1773,10,right,0,5,2.162,Thu May 25 12:09:11 2017
114,591,70,1379,30,right,0,19,0.889,Thu May 25 12:09:13 2017
115,197,90,788,60,right,0,33,1.09,Thu May 25 12:09:14 2017
116,1773,10,197,90,left,0,8,1.107,Thu May 25 12:09:16 2017
117,1182,40,1773,10,right,0,3,1.954,Thu May 25 12:09:18 2017
118,788,60,1182,40,right,0,23,1.709,Thu May 25 12:09:20 2017
119,1773,10,788,60,left,0,5,1.121,Thu May 25 12:09:22 2017
120,591,70,1379,30,right,0,19,1.39,Thu May 25 12:09:24 2017
121,1182,40,394,80,left,0,25,5.687,Thu May 25 12:09:30 2017
122,197,90,985,50,right,0,30,1.219,Thu May 25 12:09:31 2017
123,985,50,394,80,left,0,29,2.483,Thu May 25 12:09:34 2017
124,1182,40,197,90,left,0,26,1.381,Thu May 25 12:09:36 2017
125,591,70,1182,40,right,0,24,1.61,Thu May 25 12:09:38 2017
126,788,60,1773,10,right,0,5,1.337,Thu May 25 12:09:40 2017
127,1576,20,1379,30,left,0,9,1.488,Thu May 25 12:09:42 2017
