"","X","Ganancias","Perdidas","Razon"
"1","Participante 1",38.48,46.355,-7.875
"2","Participante 2",46.08,49.02,-2.94
"3","Participante 3",0,0.995,-0.995
"4","Participante 4",43.875,0.995,42.88
"5","Participante 5",36.48,46.875,-10.395
"6","Participante 6",48.72,3.92,44.8
"7","Participante 7",18,36.48,-18.48
"8","Participante 8",0.995,4.875,-3.88
"9","Participante 9",43.155,2.955,40.2
"10","Participante 10",46.875,48,-1.125
"11","Participante 11",41.18,41.18,0
"12","Participante 12",32,9.5,22.5
"13","Participante 13",13.875,5.82,8.055
"14","Participante 14",30.78,32.595,-1.815
"15","Participante 15",46.355,1.98,44.375
"16","Participante 16",0,1.98,-1.98
"17","Participante 17",1.98,17.195,-15.215
"18","Participante 18",0,20.355,-20.355
