"type"	"guess"	"se.guess"	"slip"	"se.slip"	"rmsea"
"PMA09"	"DINA"	0.153	0.003	0.252	0.006	0.00632697880478762
"PMA10"	"DINA"	0.246	0.003	0.087	0.006	0.0034562931192918
"PMA11"	"DINA"	0.352	0.004	0.091	0.006	0.0161642252891984
"PMA12"	"DINA"	0.279	0.004	0.153	0.009	0.0180272470013851
"PMA13"	"DINA"	0.417	0.005	0.101	0.007	0.0201211067522315
"PMA14"	"DINA"	0.344	0.004	0.076	0.006	0.00849202834241311
"PMB10"	"DINA"	0.192	0.003	0.272	0.012	0.0058457452208529
"PMB11"	"DINA"	0.249	0.004	0.129	0.006	0.00612749483301459
"PMB12"	"DINA"	0.288	0.004	0.363	0.017	0.0331700124011349
"PMB13"	"DINA"	0.322	0.004	0.281	0.014	0.0289528663065482
"PMB14"	"DINA"	0.367	0.005	0.289	0.007	0.0240084105475601
