"type"	"guess"	"se.guess"	"slip"	"se.slip"	"rmsea"
"PMA15"	"DINA"	0.144	0.003	0.187	0.008	0.0198352801283094
"PMA16"	"DINA"	0.232	0.004	0.145	0.009	0.0104244909194833
"PMA17"	"DINA"	0.213	0.003	0.182	0.009	0.0396562232273512
"PMA18"	"DINA"	0.256	0.004	0.338	0.012	0.0216604434158103
"PMA19"	"DINA"	0.428	0.005	0.061	0.003	0.0381501834026831
"PMA20"	"DINA"	0.223	0.004	0.315	0.008	0.034344366855689
"PMA21"	"DINA"	0.284	0.004	0.147	0.007	0.0322684872174622
"PMA22"	"DINA"	0.393	0.004	0.001	0	0.0475213545857775
"PMA23"	"DINA"	0.38	0.004	0.15	0.009	0.0591308609592605
"PMA24"	"DINA"	0.348	0.004	0.136	0.009	0.0562233193772989
"PMA25"	"DINA"	0.509	0.006	0.055	0.003	0.0457434792370422
"PMB15"	"DINA"	0.157	0.004	0.401	0.009	0.0399928330310739
"PMB16"	"DINA"	0.204	0.004	0.378	0.011	0.0690699668353948
"PMB17"	"DINA"	0.22	0.004	0.149	0.014	0.0157563397607214
"PMB18"	"DINA"	0.248	0.004	0.478	0.012	0.0401894067571835
"PMB19"	"DINA"	0.193	0.003	0.26	0.012	0.054669365391525
"PMB20"	"DINA"	0.19	0.004	0.376	0.009	0.0576418594893061
"PMB21"	"DINA"	0.351	0.004	0.198	0.011	0.0488776620262474
"PMB22"	"DINA"	0.24	0.004	0.293	0.012	0.0425622060959831
"PMB23"	"DINA"	0.297	0.004	0.31	0.011	0.0501057703295867
"PMB24"	"DINA"	0.329	0.005	0.082	0.003	0.0260883892835328
"PMB25"	"DINA"	0.27	0.006	0.07	0.002	0.0218777493307797
