"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.002,0.185,0.017,0.0126686262478122
"PMA02","DINA",0.156,0.003,0.116,0.004,0.0108412380715079
"PMA03","DINA",0.135,0.003,0.416,0.01,0.0448041572777193
"PMA04","DINA",0.416,0.005,0.252,0.013,0.0264703152997092
"PMA05","DINA",0.481,0.006,0.092,0.004,0.0204126064421956
"PMA06","DINA",0.44,0.005,0.198,0.011,0.0305621648370747
"PMA07","DINA",0.206,0.003,0.354,0.013,0.0564420222611533
"PMA08","DINA",0.558,0.006,0.019,0.001,0.0156387347050921
"PMB01","DINA",0.086,0.002,0.498,0.032,0.0233902398126346
"PMB02","DINA",0.265,0.005,0.215,0.005,0.0085346663578474
"PMB03","DINA",0.33,0.006,0.038,0.001,0.0186692833037375
"PMB04","DINA",0.328,0.005,0.209,0.006,0.0172440589459563
"PMB05","DINA",0.022,0,0.093,0.003,0.00273349020503857
"PMB06","DINA",0.349,0.005,0.253,0.007,0.0293735485362333
"PMB07","DINA",0.335,0.004,0.144,0.008,0.0303020507755274
"PMB08","DINA",0.377,0.004,0.118,0.006,0.0302324582906871
"PMB09","DINA",0.367,0.004,0.116,0.007,0.0290771910621974
