Item,Cod_Ram,Eje,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Q210,Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q310,Q311,Q312,Q313
1,PMA25,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0
2,PMB25,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0
3,PMA08,1-EFM,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4,PMA04,1-EFM,1,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
5,PMA22,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,0,0,1,0
6,PMA11,2 - MI,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
7,PMA14,2 - MI,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,
8,PMA06,1-EFM,1,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
9,PMA13,2 - MI,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
10,PMB08,1-EFM,0,1,1,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
11,PMB06,1-EFM,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
12,PMB24,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1
13,PMB14,2 - MI,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
14,PMA19,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0
15,PMB07,1-EFM,1,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
16,PMB09,1-EFM,1,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
17,PMA05,1-EFM,1,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
18,PMA17,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0
19,PMB11,2 - MI,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,
20,PMA20,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0
21,PMB22,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0
22,PMB02,1-EFM,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
23,PMA24,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0
24,PMB20,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0
25,PMB23,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0
26,PMA21,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0
27,PMA12,2 - MI,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
28,PMA23,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0
29,PMB05,1-EFM,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
30,PMB12,2 - MI,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
31,PMB13,2 - MI,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
32,PMB03,1-EFM,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,PMA07,1-EFM,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,PMB04,1-EFM,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
35,PMB21,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,0,0,0,1,0,0,0
36,PMB01,1-EFM,1,1,0,0,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
37,PMA01,1-EFM,1,1,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
38,PMA15,3_SNPA,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,0,0,0,0,0,0
