"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA19","DINA",0.299,0.003,0.303,0.048,0.0291268481404393
"SMA20","DINA",0.563,0.004,0.017,0.003,0.0417489407394522
"SMA21","DINA",0.175,0.002,0.392,0.018,0.00574327409818503
"SMA22","DINA",0.165,0.002,0.275,0.008,0.00791018540031944
"SMA23","DINA",0.399,0.004,0.023,0.002,0.0121046897841711
"SMA24","DINA",0.22,0.003,0.54,0.009,0.0244505473595162
"SMA25","DINA",0.366,0.003,0.259,0.015,0.00988035720938437
"SMB18","DINA",0.329,0.003,0.417,0.021,0.0237621159346252
"SMB20","DINA",0.329,0.004,0.15,0.005,0.0124970165342932
"SMB21","DINA",0.272,0.003,0.564,0.024,0.0125987515123433
"SMB22","DINA",0.201,0.003,0.73,0.023,0.0228290275992086
"SMB23","DINA",0.169,0.002,0.052,0.002,0.0024171993870312
"SMB24","DINA",0.249,0.003,0.574,0.027,0.0303478440895247
"SMB25","DINA",0.242,0.003,0.43,0.027,0.00841575904084969
