"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA01","DINO",0.218,0.003,0.306,0.009,0.0138160176878637
"SMA02","DINO",0.49,0.004,0.17,0.005,0.00984125690794957
"SMA03","DINO",0.228,0.003,0.188,0.008,0.0160648882180632
"SMA04","DINO",0.241,0.004,0.449,0.007,0.0268076720209365
"SMA05","DINO",0.294,0.004,0.438,0.009,0.0122423061025143
"SMA06","DINO",0.29,0.004,0.313,0.007,0.00996999619916346
"SMA07","DINO",0.285,0.003,0.185,0.007,0.0124620774695688
"SMA08","DINO",0.593,0.005,0.021,0.001,0.0346565347274677
"SMA09","DINO",0.257,0.004,0.473,0.007,0.0122202223427018
"SMA10","DINO",0.163,0.002,0.298,0.008,0.00666729043165724
"SMB01","DINO",0.266,0.004,0.176,0.006,0.00615923175108164
"SMB02","DINO",0.313,0.004,0.174,0.004,0.0158743847475907
"SMB03","DINO",0.211,0.003,0.398,0.015,0.0139569298921497
"SMB04","DINO",0.296,0.004,0.389,0.009,0.0164926783678948
"SMB05","DINO",0.306,0.004,0.394,0.008,0.0119373464946289
"SMB06","DINO",0.238,0.004,0.342,0.006,0.0152174890356359
"SMB07","DINO",0.318,0.005,0.435,0.006,0.013727607389748
"SMB08","DINO",0.302,0.004,0.34,0.007,0.012338285942132
"SMB09","DINO",0.2,0.003,0.7,0.008,0.0444625292281423
"SMB10","DINO",0.144,0.005,0.593,0.005,0.0377914532109496
