"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA19","DINO",0.266,0.006,0.351,0.004,0.0140219713221708
"SMA20","DINO",0.381,0.007,0.125,0.003,0.00401591657757359
"SMA21","DINO",0.165,0.004,0.431,0.006,0.0149265078450302
"SMA22","DINO",0.211,0.003,0.222,0.007,0.0231223113390409
"SMA23","DINO",0.351,0.006,0.068,0.002,0.00936309698367659
"SMA24","DINO",0.206,0.004,0.575,0.006,0.033406934291817
"SMA25","DINO",0.364,0.006,0.253,0.004,0.0144510694239428
"SMB18","DINO",0.329,0.006,0.418,0.006,0.0255395531392054
"SMB20","DINO",0.32,0.005,0.179,0.004,0.00936606738766782
"SMB21","DINO",0.271,0.005,0.562,0.006,0.0126464657518284
"SMB22","DINO",0.201,0.005,0.73,0.005,0.01850875541606
"SMB23","DINO",0.391,0.004,0.026,0.003,0.00490213517276137
"SMB24","DINO",0.236,0.004,0.668,0.006,0.0483729163753765
"SMB25","DINO",0.293,0.005,0.416,0.006,0.0137566788407007
