"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA11","DINO",0.396,0.004,0.45,0.014,0.0126756889737444
"SMA12","DINO",0.312,0.004,0.273,0.009,0.0123502399239737
"SMA13","DINO",0.139,0.003,0.407,0.011,0.00536832233383203
"SMA14","DINO",0.47,0.003,0.304,0.029,0.0119345310031816
"SMA15","DINO",0.191,0.003,0.46,0.011,0.0126630179977458
"SMA16","DINO",0.359,0.004,0.33,0.01,0.0183332424635951
"SMA17","DINO",0.389,0.004,0.305,0.011,0.0104043268503514
"SMA18","DINO",0.13,0.002,0.564,0.031,0.0107180854412323
"SMB11","DINO",0.222,0.003,0.42,0.035,0.00838446245468335
"SMB12","DINO",0.415,0.004,0.078,0.006,0.00668771040783178
"SMB13","DINO",0.246,0.003,0.181,0.009,0.00551604160886223
"SMB14","DINO",0.315,0.003,0.376,0.022,0.0104857807423053
"SMB15","DINO",0.351,0.004,0.514,0.01,0.0112699615663821
"SMB16","DINO",0.461,0.004,0.111,0.007,0.0054038124665663
"SMB17","DINO",0.313,0.003,0.556,0.025,0.00630184649679644
"SMB19","DINO",0.271,0.003,0.319,0.032,0.00993884509714704
