ALUMNO,ESCUELA,ID_ENT,NOM_ENT,ID_SERV,SERV,MARGINC,TAM_LOC_SEC,SEXO,EDAD_AC,MES_NAC,EDAD,SMA01,SMA02,SMA03,SMA04,SMA05,SMA06,SMA07,SMA08,SMA09,SMA10,SMA11,SMA12,SMA13,SMA14,SMA15,SMA16,SMA17,SMA18,SMA19,SMA20,SMA21,SMA22,SMA23,SMA24,SMA25,SMB01,SMB02,SMB03,SMB04,SMB05,SMB06,SMB07,SMB08,SMB09,SMB10,SMB11,SMB12,SMB13,SMB14,SMB15,SMB16,SMB17,SMB18,SMB19,SMB20,SMB21,SMB22,SMB23,SMB24,SMB25
1,1,1,AGUASCALIENTES,5,CCO,2,1,1,14,6,14,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2,1,1,AGUASCALIENTES,5,CCO,2,1,1,14,6,14,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
22,6,1,AGUASCALIENTES,1,GRP,3,3,2,14,4,14.166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,6,1,AGUASCALIENTES,1,GRP,3,3,1,14,7,14.916667,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0
31,6,1,AGUASCALIENTES,1,GRP,3,3,2,15,2,15.333333,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
44,6,1,AGUASCALIENTES,1,GRP,3,3,1,15,11,15.583333,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
49,6,1,AGUASCALIENTES,1,GRP,3,3,2,14,9,14.75,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
50,6,1,AGUASCALIENTES,1,GRP,3,3,1,14,8,14.833333,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
65,6,1,AGUASCALIENTES,1,GRP,3,3,2,15,1,15.416667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
80,6,1,AGUASCALIENTES,1,GRP,3,3,2,15,3,15.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
81,6,1,AGUASCALIENTES,1,GRP,3,3,2,14,8,14.833333,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
84,7,1,AGUASCALIENTES,1,GRP,2,3,1,15,4,15.166667,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
94,7,1,AGUASCALIENTES,1,GRP,2,3,2,14,6,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
98,7,1,AGUASCALIENTES,1,GRP,2,3,1,14,11,14.583333,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0
106,7,1,AGUASCALIENTES,1,GRP,2,3,1,15,3,15.25,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
116,7,1,AGUASCALIENTES,1,GRP,2,3,2,15,3,15.25,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
118,7,1,AGUASCALIENTES,1,GRP,2,3,1,16,1,16.416667,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
128,7,1,AGUASCALIENTES,1,GRP,2,3,1,15,1,15.416667,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0
132,7,1,AGUASCALIENTES,1,GRP,2,3,1,14,9,14.75,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
140,7,1,AGUASCALIENTES,1,GRP,2,3,1,14,12,14.5,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
145,7,1,AGUASCALIENTES,1,GRP,2,3,2,15,3,15.25,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0
147,7,1,AGUASCALIENTES,1,GRP,2,3,2,15,5,15.083333,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
152,8,1,AGUASCALIENTES,1,GRP,2,2,1,14,7,14.916667,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
162,8,1,AGUASCALIENTES,1,GRP,2,2,2,14,9,14.75,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1
163,8,1,AGUASCALIENTES,1,GRP,2,2,2,15,4,15.166667,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0
166,8,1,AGUASCALIENTES,1,GRP,2,2,2,15,1,15.416667,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
173,8,1,AGUASCALIENTES,1,GRP,2,2,2,14,8,14.833333,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
