Item,Eje,Slip,Slip (Se),Guess,Guess (Se),RMSEA (item fit),IDI (1-s-g)
SMA01,1 SNPA,0.238,0.003,0.265,0.012,0.009573272,0.497
SMA02,1 SNPA,0.501,0.004,0.153,0.007,0.011660823,0.346
SMA03,1 SNPA,0.208,0.004,0.233,0.005,0.01641116,0.559
SMA04,1 SNPA,0.242,0.003,0.436,0.014,0.016877145,0.322
SMA05,1 SNPA,0.289,0.004,0.446,0.008,0.018564602,0.265
SMA06,1 SNPA,0.185,0.002,0.464,0.015,0.03535995,0.351
SMA07,1 SNPA,0.218,0.003,0.273,0.008,0.011523173,0.509
SMA08,1 SNPA,0.547,0.005,0.035,0.001,0.01835093,0.418
SMA09,1 SNPA,0.26,0.003,0.463,0.014,0.018027532,0.277
SMA10,1 SNPA,0.363,0.004,0.191,0.005,0.013616691,0.446
SMA11,3 FEM,0.399,0.004,0.41,0.016,0.00522215,0.191
SMA12,3 FEM,0.332,0.003,0.172,0.01,0.022059478,0.496
SMA13,3 FEM,0.148,0.002,0.345,0.013,0.003895801,0.507
SMA14,3 FEM,0.458,0.005,0.316,0.008,0.012685857,0.226
SMA15,3 FEM,0.197,0.003,0.41,0.015,0.010945533,0.393
SMA16,3 FEM,0.365,0.004,0.294,0.015,0.013789907,0.341
SMA17,3 FEM,0.38,0.004,0.283,0.01,0.0123571,0.337
SMA18,3 FEM,0.112,0.003,0.57,0.009,0.010850327,0.318
SMA19,2 MI,0.297,0.003,0.3,0.039,0.026140784,0.403
SMA20,2 MI,0.563,0.004,0.036,0.006,0.036980793,0.401
SMA21,2 MI,0.174,0.002,0.391,0.018,0.005228535,0.435
SMA22,2 MI,0.161,0.002,0.279,0.008,0.008724035,0.56
SMA23,2 MI,0.393,0.004,0.014,0.001,0.010261183,0.593
SMA24,2 MI,0.22,0.003,0.54,0.009,0.024699644,0.24
SMA25,2 MI,0.364,0.003,0.259,0.015,0.009256689,0.377
SMB01,1 SNPA,0.355,0.003,0.106,0.008,0.024673011,0.539
SMB02,1 SNPA,0.329,0.003,0.132,0.016,0.01927327,0.539
SMB03,1 SNPA,0.168,0.004,0.519,0.007,0.030472933,0.313
SMB04,1 SNPA,0.309,0.004,0.358,0.007,0.010235259,0.333
SMB05,1 SNPA,0.355,0.003,0.372,0.036,0.018049932,0.273
SMB06,1 SNPA,0.205,0.004,0.408,0.007,0.01374699,0.387
SMB07,1 SNPA,0.347,0.004,0.392,0.017,0.018502711,0.261
SMB08,1 SNPA,0.284,0.003,0.376,0.013,0.012419679,0.34
SMB09,1 SNPA,0.2,0.003,0.642,0.021,0.020277005,0.158
SMB10,1 SNPA,0.155,0.003,0.514,0.009,0.014617164,0.331
SMB11,3 FEM,0.192,0.003,0.517,0.015,0.021140745,0.291
SMB12,3 FEM,0.394,0.004,0.088,0.003,0.009194065,0.518
SMB13,3 FEM,0.245,0.003,0.157,0.006,0.008322109,0.598
SMB14,3 FEM,0.322,0.005,0.355,0.007,0.008522378,0.323
SMB15,3 FEM,0.357,0.004,0.474,0.023,0.010143654,0.169
SMB16,3 FEM,0.45,0.004,0.087,0.004,0.017643961,0.463
SMB17,3 FEM,0.293,0.004,0.58,0.011,0.009640344,0.127
SMB18,2 MI,0.327,0.003,0.418,0.021,0.023889911,0.255
SMB19,3 FEM,0.236,0.003,0.43,0.014,0.021726292,0.334
SMB20,2 MI,0.328,0.004,0.15,0.006,0.009992503,0.522
SMB21,2 MI,0.271,0.003,0.565,0.023,0.012773734,0.164
SMB22,2 MI,0.201,0.003,0.73,0.021,0.021404756,0.069
SMB23,2 MI,0.373,0.004,0.035,0.001,0.004547224,0.592
SMB24,2 MI,0.249,0.003,0.569,0.023,0.024219367,0.182
SMB25,2 MI,0.271,0.003,0.431,0.025,0.010979518,0.298
