"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA10","DINA",0.394,0.004,0.284,0.013,0.00863131633741995
"SMA11","DINA",0.403,0.004,0.422,0.027,0.00547422567196807
"SMA12","DINA",0.326,0.003,0.189,0.012,0.00539575202234124
"SMA13","DINA",0.13,0.003,0.451,0.008,0.018005223646057
"SMA14","DINA",0.482,0.004,0.318,0.022,0.00808932812608528
"SMA15","DINA",0.2,0.003,0.471,0.03,0.0106133799378127
"SMA16","DINA",0.354,0.004,0.285,0.012,0.00975147733386023
"SMA17","DINA",0.386,0.005,0.3,0.007,0.0132752156916373
"SMB10","DINA",0.132,0.002,0.526,0.016,0.0225979979056028
"SMB11","DINA",0.21,0.003,0.489,0.011,0.00617802390685307
"SMB12","DINA",0.42,0.004,0.086,0.005,0.00936144564977246
"SMB13","DINA",0.26,0.004,0.159,0.004,0.0109398313428344
"SMB14","DINA",0.334,0.003,0.368,0.024,0.00886572871077415
"SMB15","DINA",0.347,0.004,0.482,0.017,0.00584210231759839
"SMB16","DINA",0.417,0.004,0.106,0.004,0.00269756090064349
"SMB18","DINA",0.321,0.004,0.356,0.012,0.0178172835637434
