"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA19","DINA",0.297,0.003,0.3,0.039,0.0261407840184315
"SMA20","DINA",0.563,0.004,0.036,0.006,0.0369807930534084
"SMA21","DINA",0.174,0.002,0.391,0.018,0.00522853486002805
"SMA22","DINA",0.161,0.002,0.279,0.008,0.00872403476233786
"SMA23","DINA",0.393,0.004,0.014,0.001,0.0102611825509444
"SMA24","DINA",0.22,0.003,0.54,0.009,0.0246996442914578
"SMA25","DINA",0.364,0.003,0.259,0.015,0.00925668883991524
"SMB18","DINA",0.327,0.003,0.418,0.021,0.0238899112803632
"SMB20","DINA",0.328,0.004,0.15,0.006,0.00999250315415607
"SMB21","DINA",0.271,0.003,0.565,0.023,0.0127737337224956
"SMB22","DINA",0.201,0.003,0.73,0.021,0.0214047561446554
"SMB23","DINA",0.373,0.004,0.035,0.001,0.00454722363963301
"SMB24","DINA",0.249,0.003,0.569,0.023,0.0242193671077941
"SMB25","DINA",0.271,0.003,0.431,0.025,0.0109795180973947
