Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
AGUASCALIENTES,1,0.60386608,0.633046559,0.637656424,0.566654471,0.729540457,0.725618398,0.649744562,0.632935674,0.365600566,0.509633186,0.631691188,0.564823981,0.871558143,0.771487723,0.677535429,0.624568044,0.726725966,0.64893424,0.763384435,0.733379135,0.868532538,0.758041615,0.535194625,0.533380306,0.534497356,0.389342197,0.528668001,0.499864431,0.302062942,0.393083566
AGUASCALIENTES,6,0.586789449,0.62118347,0.598742556,0.542643418,0.49770269,0.503092852,0.609283909,0.555843636,0.411749586,0.574253058,0.591190196,0.511536838,0.754582973,0.613529917,0.621427878,0.604946117,0.629795512,0.609532523,0.670271143,0.6490782,0.72141735,0.653689887,0.573331473,0.570291489,0.576778672,0.448379663,0.562446032,0.528938704,0.39653474,0.426803146
AGUASCALIENTES,7,0.565550247,0.617921622,0.590554168,0.518233457,0.513625645,0.519656451,0.599178996,0.589686561,0.45728711,0.592690723,0.607745511,0.525242298,0.679914533,0.624624743,0.621384992,0.635036666,0.663891046,0.562164528,0.681987141,0.651580923,0.661262003,0.708104716,0.594988528,0.552788051,0.599804464,0.471555678,0.595302547,0.496750649,0.473758298,0.484764031
AGUASCALIENTES,8,0.518222841,0.580470433,0.572309229,0.4744565,0.506175252,0.518560507,0.581069085,0.521210273,0.359527828,0.550472602,0.551704957,0.477285193,0.739815984,0.682519846,0.657563723,0.676223766,0.629411674,0.633009635,0.691976912,0.576660884,0.730711129,0.651207876,0.659804964,0.641584395,0.660014693,0.559011688,0.649314463,0.582401952,0.506121181,0.510591555
AGUASCALIENTES,9,0.60092285,0.652905498,0.630051378,0.544314264,0.53142943,0.555503425,0.59554189,0.640217426,0.544290616,0.623507596,0.648316004,0.535859846,0.621708141,0.629346372,0.578787023,0.595010732,0.626304451,0.584911708,0.64105162,0.621563725,0.666760764,0.641475751,0.547480263,0.532485647,0.544667976,0.426803966,0.540602896,0.49525326,0.377537286,0.433781808
AGUASCALIENTES,10,0.799599342,0.818812183,0.809898278,0.799267736,0.764685103,0.776056768,0.804185599,0.787464671,0.705552189,0.737898472,0.809270697,0.622679087,0.823402333,0.749659879,0.7645152,0.752327308,0.768413559,0.688773275,0.78238636,0.693798352,0.824015747,0.733302138,0.702789592,0.692038705,0.700178478,0.646028271,0.689368785,0.612476569,0.611792254,0.617091264
AGUASCALIENTES,11,0.497795598,0.561280866,0.546645616,0.462306226,0.504465135,0.493870253,0.546509402,0.562277695,0.42566183,0.540528911,0.512264437,0.449906935,0.519030636,0.608019321,0.586113261,0.606885927,0.606823734,0.583320289,0.60191914,0.53496832,0.603018823,0.585719771,0.583981892,0.589936312,0.617282114,0.557216452,0.604287399,0.551769699,0.50429788,0.461062678
AGUASCALIENTES,12,0.528770455,0.58586547,0.57265966,0.457448581,0.493422467,0.502700876,0.571127619,0.532196039,0.464233227,0.561130996,0.518901536,0.516271544,0.594390384,0.592424889,0.582954266,0.531308573,0.633798138,0.520273376,0.588181667,0.546761727,0.586211471,0.597275931,0.567451415,0.567111409,0.586283269,0.485200573,0.580136615,0.52311741,0.418588316,0.439622223
AGUASCALIENTES,13,0.690810577,0.701406423,0.692846652,0.629923651,0.643878245,0.644581208,0.683979014,0.682409574,0.57732423,0.649297323,0.689492821,0.48267777,0.771190025,0.57996684,0.639908511,0.597530343,0.685902549,0.548730887,0.714481953,0.677267492,0.557899766,0.718513894,0.603326669,0.60039327,0.609581136,0.50632902,0.600839078,0.569132897,0.46976287,0.50029941
AGUASCALIENTES,14,0.557416869,0.623767861,0.608644968,0.518357492,0.547814401,0.562118637,0.6109145,0.540155943,0.387097112,0.601192915,0.597617811,0.533962208,0.609714498,0.616269363,0.604216877,0.558126015,0.645011385,0.566705951,0.641396033,0.627465505,0.638806777,0.646279053,0.556175194,0.545548777,0.557460193,0.456895148,0.54945782,0.511350013,0.380929307,0.439566528
AGUASCALIENTES,15,0.499574468,0.558361656,0.55466016,0.480364262,0.432539506,0.455836983,0.528032407,0.523051591,0.348627277,0.553272215,0.558203175,0.492916005,0.627355592,0.640690491,0.687340325,0.589930025,0.702158444,0.610978655,0.685265204,0.667267892,0.639266801,0.685106128,0.499174256,0.519724793,0.520142199,0.412681785,0.519084402,0.497003685,0.34855279,0.41907962
AGUASCALIENTES,16,0.629543216,0.678056596,0.664056663,0.575524211,0.615206502,0.629967319,0.639034075,0.656303265,0.62162484,0.633266889,0.662598114,0.501500323,0.74929228,0.668468805,0.667849819,0.656705168,0.662813001,0.592765644,0.679894995,0.559327714,0.769266689,0.671548356,0.669622597,0.672669313,0.683094322,0.631372629,0.677699908,0.600675216,0.576794406,0.537787292
AGUASCALIENTES,17,0.526665641,0.579989225,0.563335918,0.475958149,0.462357833,0.488072095,0.566084943,0.55297921,0.350889901,0.483503169,0.555709521,0.487441416,0.746237012,0.632168898,0.625334084,0.567637687,0.717970683,0.561631719,0.68889418,0.667470946,0.706445991,0.733945319,0.500457304,0.514581262,0.526525824,0.440023661,0.521357381,0.51214798,0.339505391,0.402075898
AGUASCALIENTES,18,0.618695698,0.668074663,0.636519348,0.565217306,0.608685229,0.618550703,0.623627322,0.64085242,0.478745614,0.608939246,0.648807526,0.530477315,0.732100607,0.627262301,0.610143899,0.583414924,0.659537694,0.578095446,0.66997322,0.631231937,0.745823636,0.663167795,0.543081862,0.553379338,0.558595772,0.442033821,0.555586727,0.505388013,0.377829812,0.425378763
AGUASCALIENTES,19,0.490802233,0.547810612,0.531509309,0.410172768,0.372424852,0.410643308,0.509087193,0.518196148,0.344012661,0.547301859,0.530924957,0.489888746,0.273755164,0.466309064,0.496721563,0.493055255,0.485639987,0.49749041,0.47362739,0.487453409,0.375639739,0.476318417,0.507189165,0.519351603,0.53635978,0.465201549,0.53505428,0.504759366,0.386997193,0.443697086
AGUASCALIENTES,20,0.478004222,0.568547175,0.561233458,0.4337606,0.518658493,0.522519566,0.560044174,0.495557046,0.378511923,0.550071689,0.490515643,0.501635808,0.52391857,0.49299294,0.578375501,0.546211221,0.547569459,0.553263165,0.584163298,0.590812768,0.539988607,0.591975459,0.512405691,0.535159397,0.539857984,0.457085092,0.534691398,0.513575041,0.38211169,0.430782122
AGUASCALIENTES,21,0.453993559,0.537832392,0.528799784,0.411578868,0.460513228,0.468165651,0.531098486,0.487463592,0.263564581,0.525304264,0.504284511,0.48120039,0.576649089,0.534724213,0.549602058,0.502317537,0.591936039,0.517999681,0.539459404,0.545761023,0.587202985,0.535181529,0.57089032,0.589456205,0.595891905,0.526041562,0.592303395,0.569375915,0.467982448,0.505252711
AGUASCALIENTES,22,0.608962309,0.639262898,0.626388191,0.556963681,0.584162524,0.566862767,0.618826185,0.605213776,0.458753221,0.529898893,0.617112122,0.520570597,0.678783503,0.638448062,0.699391488,0.646109584,0.698170464,0.580403436,0.698945087,0.576620451,0.651759672,0.687218624,0.574358892,0.576855796,0.581534163,0.467020711,0.578773443,0.531439704,0.411016484,0.467943695
AGUASCALIENTES,23,0.628314222,0.661568592,0.632044926,0.502014176,0.578295517,0.589547083,0.634501533,0.591995083,0.597972786,0.600620499,0.631104156,0.519791117,0.790639988,0.663752145,0.74300068,0.690737859,0.714019234,0.594165418,0.75066237,0.723272054,0.698848506,0.722006384,0.536947819,0.549419082,0.556054522,0.422866483,0.555035272,0.50740877,0.373409976,0.454990651
AGUASCALIENTES,24,0.678721911,0.705171656,0.676457699,0.643078053,0.645395949,0.636758909,0.650673492,0.681755762,0.533647815,0.652391716,0.664608901,0.562586049,0.707372883,0.652965032,0.63941036,0.631332237,0.676213893,0.612332992,0.661049827,0.633714141,0.703939014,0.676172478,0.617212923,0.576771628,0.614638295,0.548444678,0.599587451,0.546048861,0.491897367,0.505136054
