Estado,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
AGUASCALIENTES,0.594041273,0.643811464,0.626727847,0.551455778,0.566936155,0.577106594,0.624968215,0.608132958,0.498495907,0.595812403,0.616817936,0.520306519,0.715428508,0.650404822,0.653403165,0.634429119,0.673954312,0.599525166,0.688513654,0.647815765,0.702998943,0.688340836,0.609668139,0.597242719,0.615814153,0.531761628,0.604855959,0.557807944,0.483467216,0.495056638
BAJA CALIFORNIA,0.564856562,0.617276275,0.598591715,0.520895996,0.549648274,0.556435341,0.6054137,0.587828152,0.464172582,0.575498869,0.591732719,0.516441148,0.676182177,0.630235889,0.626454784,0.615982459,0.651009044,0.584035556,0.661742436,0.629353313,0.672265234,0.665401854,0.60751526,0.59215126,0.6139667,0.531514387,0.604351908,0.548988612,0.480306323,0.493582467
BAJA CALIFORNIA SUR,0.556026843,0.609368081,0.592823616,0.507177156,0.533902375,0.54482497,0.595890627,0.581426739,0.464946704,0.576482173,0.576640507,0.513417648,0.635517393,0.609449635,0.603951161,0.599273541,0.628071527,0.574831388,0.641355707,0.616241688,0.642477056,0.642025606,0.589439975,0.57883549,0.597854512,0.511820545,0.589564909,0.546319954,0.458849212,0.484276302
CAMPECHE,0.557861095,0.611128479,0.59609266,0.510995044,0.53507403,0.546810498,0.596037698,0.567014064,0.444662149,0.569029317,0.580075456,0.507043977,0.640819196,0.598609595,0.597684161,0.592288187,0.621476067,0.570127786,0.640597795,0.608389755,0.633425848,0.641031273,0.600253643,0.58724762,0.606441388,0.524020242,0.596561887,0.541445006,0.472807559,0.488510688
COAHUILA,0.58506388,0.632287839,0.615463547,0.538804431,0.558396551,0.566753207,0.615747228,0.602042667,0.479329003,0.584887586,0.60211499,0.522131436,0.679292247,0.624064168,0.634737381,0.616934955,0.656745224,0.583347521,0.670297762,0.638108713,0.667917727,0.672274094,0.605743228,0.59209801,0.611700498,0.528431591,0.602046451,0.549769136,0.483299607,0.501538852
COLIMA,0.592171036,0.640658108,0.622769484,0.549971328,0.569517283,0.581883325,0.625892748,0.606809779,0.503625876,0.592557546,0.618404244,0.521475933,0.712000051,0.659227399,0.658772432,0.637343625,0.684089709,0.601529801,0.688520706,0.645662776,0.707887103,0.691785442,0.622532253,0.609145854,0.629395557,0.542821196,0.6166651,0.567525094,0.506736554,0.515515324
CHIAPAS,0.55427599,0.617470994,0.605856544,0.519196996,0.536883756,0.549714387,0.607621651,0.572845817,0.439764915,0.584511743,0.587397923,0.522704198,0.614361257,0.604671572,0.606452626,0.603525915,0.628845612,0.576356842,0.63685851,0.603629751,0.612260428,0.642215889,0.610435002,0.599846723,0.61864551,0.537711938,0.609700031,0.559952303,0.481456597,0.493025013
CHIHUAHUA,0.564030768,0.617235634,0.598994674,0.519454251,0.540291993,0.551377861,0.597634154,0.586288196,0.46485984,0.573977737,0.585193763,0.516853891,0.625272419,0.598952725,0.604450814,0.593842448,0.61956368,0.567346347,0.635219488,0.60807722,0.626957357,0.636077857,0.58293213,0.575022654,0.592766389,0.503498097,0.582776274,0.543706886,0.457625422,0.485267916
DISTRITO FEDERAL,0.629183195,0.670299694,0.65157892,0.591428451,0.608843603,0.6196825,0.652375205,0.639745114,0.540854155,0.61868727,0.651279074,0.541726419,0.73236451,0.671183765,0.676281051,0.660074747,0.697870132,0.611547094,0.707671114,0.664247307,0.712113495,0.706972844,0.629428392,0.615044706,0.635944843,0.559970165,0.624532563,0.568001328,0.521412833,0.513224745
DURANGO,0.575856019,0.625442056,0.610284641,0.53126906,0.54733431,0.560682078,0.612956318,0.59360516,0.471688119,0.577359502,0.604163083,0.524073585,0.682715533,0.62693841,0.621594432,0.616359837,0.649587894,0.586332149,0.667044532,0.635275517,0.67215777,0.671828799,0.598145992,0.587343505,0.6056073,0.521883536,0.594099486,0.546507453,0.47039821,0.48483296
