"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA01","DINA",0.236,0.003,0.268,0.012,0.0096639083502261
"SMA02","DINA",0.5,0.004,0.155,0.007,0.0122556362599399
"SMA03","DINA",0.207,0.004,0.236,0.005,0.0165692200462093
"SMA04","DINA",0.241,0.003,0.441,0.014,0.0173928304648888
"SMA05","DINA",0.288,0.004,0.447,0.008,0.0182100152887734
"SMA06","DINA",0.186,0.002,0.465,0.015,0.0346008024392591
"SMA07","DINA",0.212,0.003,0.281,0.008,0.0110608191690851
"SMA08","DINA",0.546,0.005,0.035,0.001,0.0192217249794462
"SMA09","DINA",0.258,0.003,0.469,0.014,0.0170710446662088
"SMA10","DINA",0.36,0.004,0.191,0.005,0.0125171676545713
"SMB01","DINA",0.35,0.003,0.102,0.008,0.0219146595503897
"SMB02","DINA",0.326,0.003,0.137,0.017,0.0178141527404295
"SMB03","DINA",0.167,0.004,0.523,0.007,0.0302981728327282
"SMB04","DINA",0.309,0.004,0.361,0.007,0.00996094607114686
"SMB05","DINA",0.354,0.003,0.37,0.035,0.0185081828459134
"SMB06","DINA",0.205,0.004,0.409,0.007,0.0135252115413295
"SMB07","DINA",0.345,0.004,0.393,0.017,0.0171120829798493
"SMB08","DINA",0.284,0.003,0.382,0.013,0.0127949300949865
"SMB10","DINA",0.154,0.003,0.522,0.009,0.0153781769274705
