"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA19","DINA",0.292,0.003,0.31,0.03,0.0249130543302038
"SMA20","DINA",0.551,0.004,0.022,0.003,0.0316843601208136
"SMA21","DINA",0.171,0.002,0.408,0.017,0.007388113772222
"SMA22","DINA",0.161,0.002,0.282,0.007,0.00904510668316993
"SMA23","DINA",0.39,0.004,0.013,0.001,0.0102586782623536
"SMA24","DINA",0.22,0.003,0.54,0.009,0.0222457117414713
"SMA25","DINA",0.357,0.003,0.274,0.014,0.0092712945819121
"SMB18","DINA",0.325,0.003,0.432,0.019,0.0268153458876508
"SMB20","DINA",0.328,0.004,0.151,0.006,0.0116304838505706
"SMB21","DINA",0.269,0.003,0.573,0.02,0.0148180316771355
"SMB23","DINA",0.321,0.003,0.022,0.001,0.00397974670807278
"SMB25","DINA",0.271,0.003,0.431,0.021,0.0116625269569367
