"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA11","DINA",0.399,0.004,0.411,0.016,0.00461166587301446
"SMA12","DINA",0.33,0.003,0.174,0.011,0.021193827179793
"SMA13","DINA",0.147,0.002,0.35,0.013,0.00409934458531118
"SMA14","DINA",0.459,0.005,0.314,0.008,0.011991014039461
"SMA15","DINA",0.196,0.003,0.412,0.016,0.0110744730326027
"SMA16","DINA",0.365,0.004,0.3,0.015,0.013192472029275
"SMA17","DINA",0.381,0.004,0.286,0.011,0.0118224182391684
"SMA18","DINA",0.114,0.003,0.571,0.009,0.0105653450838164
"SMB11","DINA",0.191,0.003,0.518,0.015,0.02110208915758
"SMB12","DINA",0.392,0.004,0.088,0.003,0.00884947677562298
"SMB13","DINA",0.243,0.003,0.163,0.007,0.00761077125911667
"SMB14","DINA",0.323,0.005,0.357,0.007,0.00818892204414695
"SMB16","DINA",0.452,0.004,0.09,0.004,0.0161376775288323
"SMB19","DINA",0.236,0.003,0.433,0.014,0.021333415020701
