"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA19","DINO",0.263,0.008,0.36,0.004,0.0160222082258632
"SMA20","DINO",0.238,0.008,0.126,0.003,0.00310855809553676
"SMA21","DINO",0.163,0.005,0.439,0.005,0.0132480039508478
"SMA22","DINO",0.208,0.003,0.225,0.006,0.0258315880096743
"SMA23","DINO",0.34,0.007,0.071,0.001,0.0103462008902007
"SMA24","DINO",0.205,0.004,0.579,0.005,0.0344819888752401
"SMA25","DINO",0.361,0.006,0.269,0.004,0.0159186094244804
"SMB18","DINO",0.327,0.006,0.43,0.005,0.0265943591475752
"SMB20","DINO",0.317,0.006,0.187,0.003,0.00943166826586395
"SMB21","DINO",0.271,0.006,0.571,0.005,0.0138829784790724
"SMB23","DINO",0.237,0.003,0.023,0.002,0.00195997563402058
"SMB25","DINO",0.292,0.005,0.42,0.005,0.0179380195067657
