"","type","guess","se.guess","slip","se.slip","rmsea"
"SMA11","DINO",0.396,0.004,0.451,0.014,0.0124819717425048
"SMA12","DINO",0.31,0.004,0.276,0.01,0.0127475171710696
"SMA13","DINO",0.138,0.003,0.409,0.011,0.00567954132613378
"SMA14","DINO",0.47,0.003,0.303,0.029,0.0126660250899527
"SMA15","DINO",0.19,0.003,0.461,0.011,0.0119177484381235
"SMA16","DINO",0.359,0.004,0.333,0.01,0.0185465460202166
"SMA17","DINO",0.388,0.004,0.308,0.011,0.0104012900362887
"SMA18","DINO",0.131,0.002,0.563,0.031,0.0100205428954993
"SMB11","DINO",0.221,0.003,0.42,0.035,0.00828888663948121
"SMB12","DINO",0.413,0.004,0.077,0.006,0.00618029875709378
"SMB13","DINO",0.245,0.003,0.183,0.009,0.00514431497715458
"SMB14","DINO",0.316,0.003,0.377,0.022,0.0102631522957359
"SMB16","DINO",0.46,0.004,0.117,0.007,0.00561224923996938
"SMB19","DINO",0.27,0.003,0.323,0.032,0.00991370681961998
