"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.19,0.008,0.0207124095994843
"PMA16","DINA",0.235,0.004,0.071,0.006,0.0103878899752083
"PMA17","DINA",0.216,0.003,0.18,0.009,0.0392239824628314
"PMA18","DINA",0.256,0.004,0.338,0.012,0.0219686134856199
"PMA19","DINA",0.457,0.005,0.06,0.003,0.0429672753615753
"PMA20","DINA",0.22,0.004,0.317,0.008,0.0338342320432347
"PMA21","DINA",0.289,0.004,0.148,0.007,0.0329305554827633
"PMA22","DINA",0.358,0.004,0.007,0.001,0.0423649609049456
"PMA23","DINA",0.381,0.004,0.148,0.009,0.0594918009073684
"PMA24","DINA",0.349,0.004,0.134,0.008,0.0562983839527479
"PMA25","DINA",0.516,0.006,0.054,0.003,0.0425028885714309
"PMB15","DINA",0.156,0.004,0.404,0.009,0.0419076156914403
"PMB16","DINA",0.209,0.004,0.374,0.011,0.0689640134024192
"PMB17","DINA",0.219,0.003,0.065,0.011,0.0142757564493676
"PMB18","DINA",0.248,0.004,0.478,0.012,0.0434646681857274
"PMB19","DINA",0.193,0.003,0.265,0.012,0.0588158638418861
"PMB20","DINA",0.193,0.004,0.375,0.009,0.0592798937077806
"PMB21","DINA",0.351,0.004,0.196,0.011,0.0497416089359689
"PMB22","DINA",0.24,0.004,0.291,0.012,0.0441031563003938
"PMB23","DINA",0.297,0.004,0.309,0.011,0.0499289356177181
"PMB24","DINA",0.336,0.005,0.066,0.003,0.0223653054076323
"PMB25","DINA",0.374,0.007,0.069,0.002,0.0226186055395882
