ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
1,F,D,B,A,B,D,E,B,B,A,E,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
2,F,C,B,A,B,D,E,B,B,A,C,B,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B
3,M,B,B,A,B,C,D,B,B,A,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,B,B,B,A,B
4,M,D,B,A,B,B,D,B,B,A,D,D,B,B,B,B,B,A,B,B,B,A,B,A,A,B,B,B,,A,B,A,A,A,B,A,B,A,B
5,M,C,B,A,B,D,E,B,B,A,D,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
6,M,C,B,A,B,C,E,B,B,A,D,D,A,B,A,B,A,A,B,B,A,A,B,A,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B
7,F,C,A,A,B,D,E,B,B,A,E,D,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
8,F,C,B,A,B,C,E,B,B,A,E,B,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
9,M,B,B,A,B,D,E,D,B,A,B,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
10,F,C,B,A,B,C,D,B,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
11,F,C,B,A,B,C,E,B,B,A,E,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
12,M,C,D,A,B,D,E,B,B,A,C,D,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
13,F,B,B,A,B,D,D,B,B,A,C,B,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
14,F,B,A,A,B,C,E,B,B,A,E,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
15,M,C,B,A,B,C,D,B,B,A,E,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,A,A,B
17,M,C,B,A,B,D,D,B,B,A,D,B,A,B,B,B,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
18,F,B,B,A,B,D,E,B,B,A,D,C,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B
19,M,C,B,A,B,C,E,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
20,F,C,B,A,B,D,E,B,B,A,C,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B
21,F,C,B,A,B,D,E,B,B,A,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
22,F,B,B,A,B,D,E,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
23,F,C,B,A,B,D,E,B,A,B,C,D,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B
24,F,C,B,A,B,C,E,B,B,A,B,B,A,B,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
25,F,B,B,A,B,D,E,B,B,A,B,D,A,B,A,B,A,A,B,B,A,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B
26,F,B,B,A,B,C,D,B,B,A,B,C,A,B,B,B,B,A,B,B,A,B,B,B,A,B,B,B,A,B,B,A,B,A,B,A,B,A,B
27,F,C,B,A,B,D,E,B,B,A,C,C,A,A,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,B
28,F,D,B,A,B,B,E,B,B,A,D,D,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,B
29,M,C,B,A,B,D,E,B,B,A,C,C,A,B,B,B,B,A,B,B,A,A,B,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B
30,F,B,B,A,B,D,E,B,B,A,C,C,A,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
31,M,B,B,A,B,D,E,B,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
32,M,D,B,A,B,D,E,B,A,B,A,D,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,B,B,B,A,B
33,F,C,B,A,B,C,E,B,B,A,,B,A,A,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
34,M,C,B,A,B,D,E,B,B,A,B,C,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
35,F,C,B,A,B,D,E,B,B,A,B,C,A,B,A,B,B,A,B,B,A,B,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
36,F,D,A,A,B,C,D,B,B,A,C,C,A,B,A,B,A,A,B,B,A,B,B,A,A,B,A,A,A,B,B,A,B,A,B,A,B,A,B
37,F,B,B,A,B,D,E,B,B,A,D,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B
