,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
1,F,D,B,A,B,D,E,B,B,A,E,D,D,C,C
2,F,C,B,A,B,D,E,B,B,A,C,B,A,C,C
3,M,B,B,A,B,C,D,B,B,A,C,B,A,B,C
4,M,D,B,A,B,B,D,B,B,A,D,D,A,C,C
5,M,C,B,A,B,D,E,B,B,A,D,D,A,C,B
6,M,C,B,A,B,C,E,B,B,A,D,D,A,C,B
7,F,C,A,A,B,D,E,B,B,A,E,D,A,B,C
8,F,C,B,A,B,C,E,B,B,A,E,B,A,B,C
9,M,B,B,A,B,D,E,D,B,A,B,D,D,B,C
10,F,C,B,A,B,C,D,B,B,A,D,D,A,B,C
11,F,C,B,A,B,C,E,B,B,A,E,B,A,B,C
12,M,C,D,A,B,D,E,B,B,A,C,D,A,C,B
13,F,B,B,A,B,D,D,B,B,A,C,B,D,C,B
14,F,B,A,A,B,C,E,B,B,A,E,D,D,B,C
15,M,C,B,A,B,C,D,B,B,A,E,D,D,B,C
17,M,C,B,A,B,D,D,B,B,A,D,B,A,C,C
18,F,B,B,A,B,D,E,B,B,A,D,C,A,B,B
19,M,C,B,A,B,C,E,B,B,A,B,A,A,B,C
20,F,C,B,A,B,D,E,B,B,A,C,C,D,C,C
21,F,C,B,A,B,D,E,B,B,A,C,B,A,A,C
22,F,B,B,A,B,D,E,B,B,A,B,B,A,A,C
23,F,C,B,A,B,D,E,B,A,B,C,D,A,B,C
24,F,C,B,A,B,C,E,B,B,A,B,B,A,B,B
25,F,B,B,A,B,D,E,B,B,A,B,D,A,B,C
26,F,B,B,A,B,C,D,B,B,A,B,C,A,B,C
27,F,C,B,A,B,D,E,B,B,A,C,C,A,B,C
28,F,D,B,A,B,B,E,B,B,A,D,D,A,B,C
29,M,C,B,A,B,D,E,B,B,A,C,C,A,B,C
30,F,B,B,A,B,D,E,B,B,A,C,C,A,C,B
31,M,B,B,A,B,D,E,B,B,A,D,D,A,B,B
32,M,D,B,A,B,D,E,B,A,B,A,D,A,C,B
33,F,C,B,A,B,C,E,B,B,A,,B,A,B,C
34,M,C,B,A,B,D,E,B,B,A,B,C,A,C,B
35,F,C,B,A,B,D,E,B,B,A,B,C,A,C,B
36,F,D,A,A,B,C,D,B,B,A,C,C,A,B,C
37,F,B,B,A,B,D,E,B,B,A,D,D,D,C,B
38,F,B,B,A,B,C,D,B,B,A,D,B,A,B,C
39,F,B,B,A,B,D,D,B,B,A,C,C,A,B,C
40,F,C,B,A,B,D,D,B,B,A,B,B,A,B,B
41,F,B,B,A,B,C,D,B,B,A,D,D,A,B,C
42,M,C,B,A,B,C,D,B,A,C,C,C,D,B,C
43,F,D,B,A,B,C,D,B,A,C,B,D,A,C,C
44,F,C,B,A,B,D,E,B,A,B,B,C,A,B,C
45,F,C,B,A,B,D,D,B,B,A,E,B,A,B,C
46,F,B,B,A,B,D,E,B,B,A,C,D,D,C,B
47,F,B,B,A,B,D,D,B,B,A,B,C,A,B,C
48,M,C,B,A,B,C,D,B,A,C,C,D,A,B,C
49,M,B,B,A,B,D,E,B,B,A,C,D,A,B,C
50,F,C,B,A,B,D,D,B,B,A,A,D,A,B,A
51,F,C,B,A,B,C,D,B,B,A,C,C,A,B,C
52,M,C,B,A,B,C,D,B,B,A,B,D,A,B,C
53,F,B,B,A,B,D,E,B,B,A,B,C,A,B,C
54,F,B,B,A,B,D,E,B,A,C,B,B,A,C,B
55,F,B,B,A,B,C,D,B,B,A,B,D,B,A,C
56,F,C,B,A,B,D,D,B,B,A,C,C,A,B,C
57,F,C,B,A,B,C,E,B,B,A,C,D,A,B,C
58,F,C,A,A,B,D,E,B,A,B,A,D,A,B,C
59,M,D,B,A,B,C,D,B,B,A,D,D,D,C,B
60,F,C,B,A,B,C,D,B,B,A,C,D,A,B,C
61,M,C,B,A,B,B,D,B,B,A,E,D,A,B,B
62,F,C,B,A,B,D,E,B,B,A,D,B,D,B,B
63,M,C,B,A,B,C,E,B,B,A,D,D,A,B,C
64,F,C,B,A,B,C,D,B,B,A,E,D,A,B,C
65,M,C,B,A,B,C,D,B,A,B,B,B,A,C,C
66,F,D,B,A,B,D,D,B,B,A,A,D,A,B,C
67,M,C,D,A,B,C,E,B,B,A,D,D,A,C,B
68,F,B,B,A,B,D,E,B,B,A,C,D,A,B,C
69,F,B,B,A,B,D,E,B,B,A,C,D,A,C,B
70,F,D,C,A,B,B,E,B,A,C,E,B,A,C,B
71,M,C,B,A,B,D,E,B,B,A,A,C,A,B,C
72,F,B,B,A,B,D,E,B,B,A,C,B,A,B,C
73,M,B,B,A,B,D,E,B,B,A,B,D,A,B,C
74,F,B,B,A,B,D,E,B,A,B,D,B,A,B,C
75,F,C,B,A,B,C,E,B,B,A,D,B,A,B,C
76,F,C,B,A,B,C,E,B,B,A,C,B,A,B,C
77,M,C,B,A,B,D,D,B,B,A,C,C,D,C,C
78,F,C,B,A,B,C,D,B,B,A,B,B,A,B,C
79,F,C,B,A,B,C,D,B,A,B,B,C,A,B,C
80,M,C,B,A,B,C,D,B,B,A,B,B,A,C,D
81,F,C,B,A,B,C,E,B,B,A,C,D,A,B,C
82,M,C,B,A,B,C,E,B,B,A,C,D,D,C,B
83,F,C,D,A,B,D,D,B,B,A,D,D,D,C,B
84,F,C,B,A,B,D,D,B,B,A,C,B,A,B,C
85,M,D,B,A,B,C,B,B,B,A,E,D,A,C,B
86,F,C,B,A,B,C,D,B,B,B,D,D,D,C,B
87,M,B,B,A,B,C,D,B,B,A,D,D,D,C,B
88,F,B,B,A,B,C,D,B,B,A,D,D,D,B,B
89,F,C,B,A,B,C,D,B,B,A,B,D,D,B,C
90,M,C,B,A,B,C,E,B,B,A,C,B,A,B,C
91,F,B,B,A,B,D,D,B,B,A,D,D,A,B,C
92,M,C,B,A,B,C,D,B,B,A,C,C,D,C,B
93,F,B,B,A,B,C,E,B,B,A,B,D,D,B,C
94,F,C,B,A,B,D,E,B,B,A,E,D,A,B,C
95,F,C,B,A,B,D,E,B,A,B,B,B,A,B,C
96,M,C,B,A,B,C,D,D,A,B,C,A,A,C,B
98,F,C,B,A,B,D,D,B,B,A,B,B,D,C,B
99,F,B,B,A,B,D,D,B,B,A,B,D,A,B,C
100,F,C,B,A,B,C,E,B,B,A,C,D,A,B,C
101,F,C,B,A,B,C,D,B,B,A,D,B,,C,D
102,M,C,B,A,B,D,D,B,B,A,,,B,C,B
103,F,C,B,A,B,C,C,,B,A,C,D,A,B,C
104,F,B,B,A,B,C,D,B,B,A,,B,A,B,C
105,F,B,B,A,B,D,D,B,B,A,B,D,A,B,C
106,F,C,B,A,B,D,D,B,B,A,B,C,,B,C
107,F,C,B,A,B,C,E,B,B,A,B,D,,,C
108,F,C,B,A,B,C,D,B,B,A,A,D,A,B,C
109,F,C,B,A,B,D,E,B,B,A,B,D,A,B,C
110,F,C,B,A,B,C,E,B,B,A,B,C,A,B,C
112,F,C,B,A,B,D,E,B,B,A,C,D,D,C,B
113,M,B,B,A,B,C,E,B,B,A,B,D,A,D,C
114,M,C,B,A,B,C,E,B,B,A,D,C,A,B,C
115,M,C,B,A,B,C,D,B,B,A,B,C,A,B,C
117,F,B,B,A,B,D,E,B,B,A,A,D,A,C,C
118,F,B,B,A,B,C,D,B,B,A,B,D,A,A,C
119,F,C,B,A,B,D,D,B,B,A,D,C,A,B,B
120,M,B,B,A,B,C,D,B,B,A,B,D,A,B,C
122,F,B,B,A,B,C,D,B,B,A,A,C,A,A,C
123,M,B,B,A,B,D,E,B,B,A,C,B,A,B,C
124,F,B,B,A,A,C,D,C,B,A,B,D,A,B,C
125,F,C,B,A,B,D,E,B,B,A,,D,A,B,C
126,M,B,B,A,A,B,B,E,A,B,A,D,D,C,C
127,F,A,B,A,A,B,C,E,B,A,B,C,A,B,C
128,M,B,B,A,A,B,B,E,B,A,B,D,D,C,C
129,M,A,B,A,A,C,C,E,B,A,D,D,A,B,C
130,M,A,B,A,A,C,C,D,B,A,D,D,A,B,C
131,F,A,B,A,A,C,C,E,B,A,D,D,A,B,C
132,M,B,B,A,A,A,B,E,A,B,B,C,A,B,C
133,F,B,B,A,A,C,C,E,B,A,C,D,A,B,C
134,M,C,B,A,A,B,C,A,B,A,B,D,A,B,C
135,M,B,B,A,A,B,C,C,B,A,C,B,D,C,C
136,F,B,B,A,A,A,B,C,B,C,A,B,A,B,C
137,F,B,B,A,A,A,B,E,A,B,C,D,A,B,C
138,M,C,B,A,A,C,B,A,A,D,B,C,A,C,C
139,M,B,B,A,A,B,C,B,B,A,C,D,D,B,C
140,M,B,B,A,A,A,A,E,B,A,A,D,A,C,C
141,F,B,B,A,A,C,B,D,A,C,B,C,A,B,C
142,M,A,B,A,A,C,B,E,B,A,D,C,,,
143,F,A,B,A,A,B,C,D,B,A,B,D,B,B,C
144,F,A,B,A,A,C,C,E,B,A,C,D,A,B,C
145,F,A,B,A,A,B,B,B,B,A,B,C,C,B,C
146,F,B,B,A,A,C,B,D,B,A,C,C,A,B,C
147,,,,,,,,,,,,,A,B,C
148,F,A,B,A,A,D,C,E,B,A,B,C,A,B,C
149,F,A,B,A,A,C,C,E,A,B,A,C,A,B,B
150,F,B,B,A,A,C,D,B,A,C,E,C,A,B,
151,F,B,B,A,A,B,C,D,B,A,C,D,A,B,C
152,M,B,B,A,B,A,C,B,B,C,A,C,A,B,D
153,M,B,B,A,A,B,C,B,A,D,B,C,A,B,C
154,M,A,B,A,A,B,B,E,B,A,C,D,A,B,C
155,M,A,B,A,A,C,C,E,B,A,B,C,A,B,C
156,F,B,B,A,A,C,B,E,B,A,A,B,A,B,C
157,M,A,B,A,A,B,C,A,B,A,C,D,A,B,C
