,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
1,D,C,D,B,A,D,C,C,D,D,A,A,A,B,C,B,A,D,A,C,D,B,D,A,A,C,B,C,C,B,A,B,A,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,D,D,D,D,D
2,C,B,C,C,B,D,C,B,C,C,B,C,C,A,C,B,A,B,B,B,B,A,B,A,A,B,A,A,B,B,A,B,A,A,A,A,A,A,A,A,B,B,B,C,C,C,C,C,C,C,C,B,C,C,C,C,D,D,D,D
3,A,A,B,B,A,B,D,A,A,A,A,A,B,A,C,A,A,A,B,B,A,A,C,B,A,B,B,A,A,A,A,A,A,A,B,A,C,A,B,C,B,D,A,B,D,C,B,D,D,D,B,D,B,D,B,D,C,D,D,D
4,D,A,C,A,B,C,A,A,C,D,B,D,A,A,D,A,A,A,B,A,C,B,B,A,B,B,D,B,C,D,B,D,A,B,D,B,D,A,C,A,B,D,B,D,D,B,D,D,B,D,D,D,D,D,D,D,D,D,D,D
5,B,C,C,B,C,A,D,C,B,D,B,D,C,D,D,D,B,A,B,C,B,C,D,C,C,*,,C,C,C,C,A,C,B,C,C,A,A,B,C,A,D,B,D,D,A,D,D,B,D,C,D,C,D,D,D,D,D,D,D
6,B,A,B,C,A,A,C,A,A,B,C,B,B,A,B,A,B,B,B,A,A,A,B,C,B,A,B,A,A,B,B,A,C,A,B,A,B,B,B,A,A,C,A,B,B,B,B,C,C,B,B,B,B,B,C,B,D,D,D,D
7,C,C,B,C,C,B,D,C,C,D,C,D,C,B,D,D,A,A,A,A,C,C,C,C,C,B,D,C,C,D,C,D,D,B,C,C,C,A,B,B,A,B,A,B,B,A,A,B,A,A,A,A,A,C,B,B,C,C,C,C
8,D,C,D,B,B,D,D,B,D,D,C,D,B,D,C,B,C,B,B,A,C,B,D,D,D,D,D,C,D,C,D,D,D,C,C,C,D,C,C,A,B,D,B,C,D,C,C,D,C,D,D,D,D,D,C,D,D,D,C,D
9,D,B,D,C,B,D,B,B,D,B,B,A,A,A,B,C,A,C,B,C,B,B,B,A,A,D,C,C,D,B,A,D,A,A,C,C,C,C,C,D,B,D,B,C,B,B,B,C,D,D,B,C,B,C,C,D,C,D,D,D
10,C,D,B,B,B,B,D,C,B,D,B,C,B,A,D,C,A,A,A,A,D,D,B,B,B,B,C,D,D,D,C,D,B,B,D,D,A,B,A,B,B,B,B,C,D,C,D,D,D,D,C,D,C,C,D,D,D,D,C,D
11,C,B,B,C,C,C,A,B,C,B,C,B,C,A,B,B,A,A,A,A,C,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,A,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D
12,C,A,D,C,C,B,D,B,C,D,B,D,C,B,D,B,B,A,A,A,B,B,C,A,A,A,C,A,C,C,B,C,B,B,B,A,A,A,A,A,A,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
13,B,A,B,D,B,B,C,B,B,C,C,C,C,A,C,B,A,B,B,A,D,B,B,D,B,A,A,B,B,A,B,C,B,B,B,B,B,C,C,A,B,C,B,B,C,C,B,B,C,B,A,B,B,D,B,A,C,C,C,D
