,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55
1,A,D,A,A,B,B,C,A,C,B,D,D,A,A,C,B,B,A,C,A,A,D,A,B,B,B,A,B,A,C,D,C,A,C,D,D,D,C,A,B,A,E,B,B,A,A,B,,,,D,,,,C,A,A,B,C,C,B
2,B,A,C,E,D,D,D,D,D,D,D,D,D,D,C,D,D,C,D,B,D,D,B,D,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
3,B,A,C,E,B,B,C,B,B,A,A,B,A,B,C,B,C,C,B,A,B,C,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
4,B,B,C,E,A,D,D,A,D,A,D,D,A,A,A,D,D,A,D,A,A,D,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
5,B,C,A,E,A,C,C,A,C,B,C,C,A,B,B,D,D,B,D,A,C,C,B,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
6,A,B,C,C,C,C,D,D,D,A,D,D,A,B,B,D,D,D,D,A,D,D,A,D,C,C,C,A,E,D,D,D,D,D,D,D,D,D,D,C,C,A,C,C,F,A,B,A,,,,,,,D,D,D,D,D,D,D
7,B,C,A,E,B,B,B,B,B,B,B,B,B,C,C,C,C,A,C,B,C,C,B,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
8,A,C,D,A,A,C,C,D,D,A,C,C,A,B,B,C,D,A,C,A,D,C,A,B,C,D,C,A,E,C,D,C,D,C,B,D,C,A,B,A,A,E,A,D,E,A,A,,,,D,,,,C,A,C,B,D,C,D
9,A,B,D,A,D,B,D,D,C,A,C,D,A,B,D,C,D,D,D,A,C,D,A,D,C,B,A,A,D,D,C,D,D,C,A,C,D,A,D,C,B,E,B,,,B,A,,,,D,,,,C,D,C,A,A,C,D
10,B,B,C,E,B,C,B,A,B,A,C,B,A,B,A,C,B,A,B,A,B,D,A,B,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,,,I,,F,,,,,,,G,E,E,E,E,E,E,E
11,B,B,A,E,B,C,C,A,C,A,C,C,A,B,B,C,C,A,C,A,C,C,A,C,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
12,B,B,A,E,B,C,C,A,C,A,C,C,A,B,C,C,C,B,C,A,C,D,A,B,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
13,A,C,C,A,A,B,B,C,B,A,C,D,B,D,A,C,D,B,C,A,C,D,A,A,B,C,B,A,E,D,B,D,D,D,D,D,D,C,D,C,B,C,B,C,D,B,B,,,,D,,,,B,C,A,B,A,B,A
14,B,D,B,E,B,B,C,A,B,B,B,B,B,B,B,B,A,A,B,A,B,B,A,A,C,B,C,A,E,C,B,B,D,C,D,C,C,D,B,C,D,B,B,C,E,C,C,A,,,,,,,D,C,D,B,D,C,C
15,A,B,C,C,B,B,B,B,C,A,D,D,A,B,C,C,B,B,D,B,C,D,B,D,B,B,A,B,A,C,C,B,A,C,D,C,C,D,B,C,B,B,B,B,E,A,B,,,,D,,,,C,D,B,D,B,C,C
17,B,B,A,E,B,C,A,D,D,A,C,B,B,B,D,D,D,A,D,B,D,D,B,C,C,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
18,B,B,D,E,A,D,D,A,D,A,D,D,A,C,B,B,B,B,A,A,A,B,A,A,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
19,B,A,A,E,D,D,D,D,D,B,D,D,A,D,C,C,D,A,C,A,C,C,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
20,B,A,D,E,A,D,D,D,A,A,D,D,A,A,A,D,D,A,A,A,D,D,A,D,D,F,D,E,F,D,D,D,D,D,D,D,D,D,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
21,B,A,A,E,B,B,B,A,C,A,C,B,A,A,D,D,D,D,D,B,D,D,B,B,D,F,D,E,F,D,D,D,D,D,C,D,D,C,D,E,E,F,E,E,I,E,F,,,,,,,G,E,E,E,E,E,E,E
