Folio,Género,Edad,Escuela,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8,ThetaPE,ThetaCI
1,0,3,1,2,2,1,1,2,2,0,3,.25828463,-.56466365
2,0,2,1,1,2,1,1,3,2,1,3,.70286113,-.39136755
3,1,1,1,0,3,0,0,3,2,0,3,1.0983543,-1.9067848
4,1,3,1,0,2,0,0,3,3,0,3,1.0915484,-1.9067848
5,1,2,1,0,0,1,1,2,2,2,0,-.96105784,-.19130896
6,1,2,1,0,3,0,0,3,3,1,3,1.5962187,-1.3417779
7,0,2,1,2,1,1,2,1,1,1,1,-1.2106394,.11516648
8,0,2,1,2,2,1,0,2,2,2,3,.25828463,-.20130731
9,1,1,1,1,3,1,1,1,3,1,3,.65881711,-.39136755
10,0,2,1,1,1,2,2,1,1,2,2,-.9690001,.61830294
11,0,2,1,1,3,1,1,2,3,1,3,.9500668,-.39136755
12,1,2,1,1,2,0,1,2,3,1,3,.57535625,-.70078504
13,0,1,1,1,2,1,1,2,2,2,2,-.064017087,-.060038511
14,0,1,1,2,1,1,2,1,2,2,1,-.99113524,.47236976
15,1,2,1,2,2,1,2,2,1,1,2,-.31552058,.11516648
17,1,2,1,0,2,1,1,2,1,2,1,-.59841353,-.19130896
18,0,1,1,1,3,1,1,2,2,1,2,.22404699,-.39136755
19,1,2,1,2,2,1,1,2,2,1,2,-.064017087,-.23124489
20,0,2,1,1,3,1,0,2,1,0,3,.35560319,-1.1605165
21,0,2,1,2,3,1,1,3,3,0,3,1.5962187,-.56466365
22,0,1,1,1,2,1,1,2,3,1,2,.20908262,-.39136755
23,0,2,1,1,2,1,2,1,0,1,2,-.85682172,-.060567442
24,0,2,1,2,2,0,0,2,2,0,3,.25828463,-1.4586514
25,0,1,1,1,2,0,0,2,3,1,3,.57535625,-1.1218179
26,0,1,1,2,3,1,0,3,3,0,0,.86303353,-.99534655
27,0,2,1,0,2,1,1,2,2,1,2,-.064017087,-.53172952
