Folio,Género,Edad,Escuela,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60,ThetaImFin,ThetaImTra,ThetaImRisk,ThetaImRen,ThetaImCom,ThetaTenFin,ThetaTenCom,ThetaTenRen,ThetaTenRisk,ThetaTenTra,ThetaDañCom,ThetaDañRen,ThetaDañRisk
1,0,3,1,3,2,3,1,0,3,2,2,3,3,0,0,0,1,2,1,0,3,0,2,3,1,3,0,0,2,1,2,2,1,0,1,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,-1.1161851,.42598125,.32130483,.89270037,1.6678367,-1.3141685,.91269797,.59561199,1.8808047,-.15791251,2.0206099,1.0827112,.85373992
2,0,2,1,2,1,2,2,1,3,2,1,2,2,1,2,2,0,2,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,.38735187,.38538423,.42923003,.060945131,.55110204,-1.3141685,-.3978422,-1.3074093,-1.0454186,-.54590893,.12732689,.16248384,.85373992
3,1,1,1,0,0,1,1,0,1,3,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,0,1,3,2,1,3,3,3,1,3,1,3,1,3,2,3,3,3,-.74064142,-.96685815,.10930122,-1.3669701,-1.5810968,-.69204277,-.72404402,-1.3074093,.3986389,-.84079105,-.010542162,.80706733,.29332697
4,1,3,1,3,0,2,0,1,2,0,0,2,3,1,3,0,0,3,0,0,0,1,0,2,1,1,0,1,1,3,1,2,3,1,3,0,1,3,1,3,0,2,0,1,3,1,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,-.60817236,1.7746874,-.052720841,-1.3669701,.28462625,-.30711767,.060674738,.13861448,.60718822,1.9080421,-.41261625,1.8356935,.85373992
5,1,2,1,1,2,2,1,2,0,3,2,1,3,1,3,2,3,3,3,1,0,1,2,1,2,3,2,2,,,2,2,2,2,0,2,1,2,2,0,0,1,2,0,3,1,3,3,0,3,3,1,3,2,3,2,3,3,3,3,3,3,3,.40091708,1.7746874,.39532831,1.2893863,-1.2849237,.92632848,.44703943,1.0499284,.18250972,.31567785,-1.0961186,1.8356935,.85373992
6,1,2,1,1,0,1,2,0,0,2,0,0,1,2,1,1,0,1,0,1,1,1,0,0,0,1,2,1,0,1,0,0,1,1,0,2,0,1,0,1,1,1,0,0,2,0,1,1,1,1,2,2,1,1,1,1,1,2,1,3,3,3,3,.10894707,-.69657743,.47098151,-1.3669701,-1.9304012,.52110779,-1.3203321,-1.3074093,.31950828,-.44072965,-.92176819,-.17942816,.85373992
7,0,2,1,2,2,1,2,2,1,3,2,2,3,2,3,2,1,3,3,0,0,0,0,2,2,2,2,2,1,3,2,2,3,2,3,3,1,2,2,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,1,2,2,2,2,.89297241,1.7746874,-.99547136,1.2893863,-.59237444,1.0817008,.25633797,1.0499284,.30880886,1.3606958,-1.9852479,-1.012532,-.7332114
8,0,2,1,3,2,3,1,1,3,3,1,3,3,2,3,1,3,2,1,2,1,1,0,2,1,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,2,0,1,3,1,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,.12734142,1.1680012,.54306769,.42391449,1.6678367,2.0837901,1.2910428,.84348106,.98427027,.9877252,.12732689,1.0891273,-.24440581
9,1,1,1,3,1,3,2,1,3,1,1,3,1,1,0,0,0,1,2,0,2,1,2,1,1,1,0,0,3,2,2,3,1,0,3,0,0,2,2,2,2,2,3,1,3,1,2,1,1,1,2,3,3,1,2,1,2,2,3,2,3,3,3,-.046749178,-.95758206,.67848825,.26141039,1.6678367,-1.3141685,.53251648,.84348106,1.1773404,.69796032,-.058889568,.61750084,.29332697
10,0,2,1,2,3,1,1,1,1,3,2,1,3,1,2,1,0,3,2,0,0,0,0,3,3,1,1,1,1,2,3,3,3,2,3,1,1,3,3,0,1,0,1,1,1,1,2,3,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,-.097380191,1.3001554,-.99547136,1.4567695,-.89935899,.30900553,.46590585,2.1275382,-.1484828,1.9080421,.31495366,1.3250932,-.24440581
