Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
1,0,3,1,1,1,0,2,1.3746766
2,0,2,1,0,1,0,1,1.1835277
3,1,1,1,0,0,0,0,-.38948628
4,1,3,1,0,1,0,1,1.1835277
5,1,2,1,0,1,1,2,1.4384145
6,1,2,1,0,1,1,2,1.4384145
7,0,2,1,0,0,0,0,-.38948628
8,0,2,1,0,0,0,0,-.38948628
9,1,1,1,1,0,0,1,.28402048
10,0,2,1,0,0,0,0,-.38948628
11,0,2,1,0,0,0,0,-.38948628
12,1,2,1,0,1,1,2,1.4384145
13,0,1,1,1,1,1,3,1.7910099
14,0,1,1,1,0,0,1,.28402048
15,1,2,1,1,0,0,1,.28402048
17,1,2,1,0,1,0,1,1.1835277
18,0,1,1,0,0,1,1,.38204196
19,1,2,1,0,0,0,0,-.38948628
20,0,2,1,1,1,0,2,1.3746766
21,0,2,1,0,0,0,0,-.38948628
22,0,1,1,0,0,0,0,-.38948628
23,0,2,1,0,0,0,0,-.38948628
24,0,2,1,0,0,1,1,.38204196
25,0,1,1,0,0,0,0,-.38948628
26,0,1,1,0,0,0,0,-.38948628
27,0,2,1,0,0,0,0,-.38948628
28,0,3,1,0,0,0,0,-.38948628
29,1,2,1,0,0,0,0,-.38948628
30,0,1,1,0,1,1,2,1.4384145
31,1,1,1,0,0,1,1,.38204196
32,1,3,1,0,1,1,2,1.4384145
33,0,2,1,0,0,0,0,-.38948628
34,1,2,1,0,1,1,2,1.4384145
35,0,2,1,0,1,1,2,1.4384145
36,0,3,1,0,0,0,0,-.38948628
37,0,1,1,1,1,1,3,1.7910099
38,0,1,1,0,0,0,0,-.38948628
39,0,1,1,0,0,0,0,-.38948628
40,0,2,1,0,0,1,1,.38204196
41,0,1,1,0,0,0,0,-.38948628
42,1,2,1,1,0,0,1,.28402048
43,0,3,1,0,1,0,1,1.1835277
44,0,2,1,0,0,0,0,-.38948628
45,0,2,1,0,0,0,0,-.38948628
46,0,1,1,1,1,1,3,1.7910099
47,0,1,1,0,0,0,0,-.38948628
48,1,2,1,0,0,0,0,-.38948628
49,1,1,1,0,0,0,0,-.38948628
50,0,2,1,0,0,0,0,-.38948628
51,0,2,1,0,0,0,0,-.38948628
52,1,2,1,0,0,0,0,-.38948628
53,0,1,1,0,0,0,0,-.38948628
54,0,1,1,0,1,1,2,1.4384145
55,0,1,1,0,0,0,0,-.38948628
56,0,2,1,0,0,0,0,-.38948628
57,0,2,1,0,0,0,0,-.38948628
58,0,2,1,0,0,0,0,-.38948628
59,1,3,1,1,1,1,3,1.7910099
60,0,2,1,0,0,0,0,-.38948628
61,1,2,1,0,0,1,1,.38204196
62,0,2,1,1,0,1,2,.64354634
63,1,2,1,0,0,0,0,-.38948628
64,0,2,1,0,0,0,0,-.38948628
65,1,2,1,0,1,0,1,1.1835277
66,0,3,1,0,0,0,0,-.38948628
67,1,2,1,0,1,1,2,1.4384145
68,0,1,1,0,0,0,0,-.38948628
69,0,1,1,0,1,1,2,1.4384145
70,0,3,1,0,1,1,2,1.4384145
71,1,2,1,0,0,0,0,-.38948628
72,0,1,1,0,0,0,0,-.38948628
73,1,1,1,0,0,0,0,-.38948628
74,0,1,1,0,0,0,0,-.38948628
75,0,2,1,0,0,0,0,-.38948628
76,0,2,1,0,0,0,0,-.38948628
77,1,2,1,1,1,0,2,1.3746766
78,0,2,1,0,0,0,0,-.38948628
79,0,2,1,0,0,0,0,-.38948628
80,1,2,1,0,1,0,1,1.1835277
81,0,2,1,0,0,0,0,-.38948628
82,1,2,1,1,1,1,3,1.7910099
83,0,2,1,1,1,1,3,1.7910099
84,0,2,1,0,0,0,0,-.38948628
85,1,3,1,0,1,1,2,1.4384145
86,0,2,1,1,1,1,3,1.7910099
87,1,1,1,1,1,1,3,1.7910099
88,0,1,1,1,0,1,2,.64354634
89,0,2,1,1,0,0,1,.28402048
90,1,2,1,0,0,0,0,-.38948628
91,0,1,1,0,0,0,0,-.38948628
92,1,2,1,1,1,1,3,1.7910099
93,0,1,1,1,0,0,1,.28402048
94,0,2,1,0,0,0,0,-.38948628
95,0,2,1,0,0,0,0,-.38948628
96,1,2,1,0,1,1,2,1.4384145
98,0,2,1,1,1,1,3,1.7910099
99,0,1,1,0,0,0,0,-.38948628
100,0,2,1,0,0,0,0,-.38948628
101,0,2,1,,1,0,,1.2625208
102,1,2,1,0,1,1,2,1.4384145
103,0,2,1,0,0,0,0,-.38948628
104,0,1,1,0,0,0,0,-.38948628
105,0,1,1,0,0,0,0,-.38948628
106,0,2,1,,0,0,,-.31361988
107,0,2,1,,,0,,-.17855354
108,0,2,1,0,0,0,0,-.38948628
109,0,2,1,0,0,0,0,-.38948628
110,0,2,1,0,0,0,0,-.38948628
112,0,2,1,1,1,1,3,1.7910099
113,1,1,1,0,0,0,0,-.38948628
114,1,2,1,0,0,0,0,-.38948628
115,1,2,1,0,0,0,0,-.38948628
117,0,1,1,0,1,0,1,1.1835277
118,0,1,1,0,0,0,0,-.38948628
119,0,2,1,0,0,1,1,.38204196
120,1,1,1,0,0,0,0,-.38948628
122,0,1,1,0,0,0,0,-.38948628
123,1,1,1,0,0,0,0,-.38948628
124,0,1,1,0,0,0,0,-.38948628
125,0,2,1,0,0,0,0,-.38948628
126,1,1,2,1,1,0,2,1.3746766
127,0,0,2,0,0,0,0,-.38948628
128,1,1,2,1,1,0,2,1.3746766
129,1,0,2,0,0,0,0,-.38948628
130,1,0,2,0,0,0,0,-.38948628
131,0,0,2,0,0,0,0,-.38948628
132,1,1,2,0,0,0,0,-.38948628
133,0,1,2,0,0,0,0,-.38948628
134,1,2,2,0,0,0,0,-.38948628
135,1,1,2,1,1,0,2,1.3746766
136,0,1,2,0,0,0,0,-.38948628
137,0,1,2,0,0,0,0,-.38948628
138,1,2,2,0,1,0,1,1.1835277
139,1,1,2,1,0,0,1,.28402048
140,1,1,2,0,1,0,1,1.1835277
141,0,1,2,0,0,0,0,-.38948628
142,1,0,2,,,,,
143,0,0,2,0,0,0,0,-.38948628
144,0,0,2,0,0,0,0,-.38948628
145,0,0,2,0,0,0,0,-.38948628
146,0,1,2,0,0,0,0,-.38948628
147,,,2,0,0,0,0,-.38948628
148,0,0,2,0,0,0,0,-.38948628
149,0,0,2,0,0,1,1,.38204196
150,0,1,2,0,0,,,-.33093736
151,0,1,2,0,0,0,0,-.38948628
152,1,1,2,0,0,0,0,-.38948628
153,1,1,2,0,0,0,0,-.38948628
154,1,0,2,0,0,0,0,-.38948628
155,1,0,2,0,0,0,0,-.38948628
156,0,1,2,0,0,0,0,-.38948628
157,1,0,2,0,0,0,0,-.38948628
158,1,1,2,0,0,0,0,-.38948628
159,1,1,2,0,0,0,0,-.38948628
160,0,0,2,0,0,0,0,-.38948628
161,1,3,2,0,0,0,0,-.38948628
162,1,1,2,0,1,0,1,1.1835277
163,0,2,2,0,0,0,0,-.38948628
