Folio,Escuela,Género,Edad,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,Ag17,Ag18,Ag19,Ag20,Ag21,Ag22,Ag23,Ag24A,Ag24B,Ag24C,Ag24D,Ag24E,Ag25,Ag26,Ag27,Ag28,Ag29,Ag30,Ag31,Ag32,Ag33,Ag34,Ag35,Ag36,Ag37,Ag38,Ag39,Ag40,Ag41,Ag42,Ag43,Ag44,Ag45,Ag46,Ag47,Ag48,Ag49,Ag50,Ag51,Ag52,Ag53,Ag54,Ag55,Ag56,AgrBer,AgrProv,AgrFuria,PrConsNegAgr,ImpConsNegAgr,ExpConsNegAgr
1,1,0,3,2,1,3,2,1,3,0,3,3,2,2,2,2,2,1,1,4,4,0,2,2,1,1,1,0,0,0,0,0,0,0,1,0,3,0,2,1,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-.2344677299261093,-.26885733,-.060695779,19,19,0
2,1,0,2,3,3,0,1,1,3,0,2,3,1,3,2,3,3,2,2,2,2,0,2,3,2,1,0,0,0,0,1,0,0,1,1,1,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-.2344677299261093,.0093125962,-.060695779,20,24,0
3,1,1,1,3,2,2,1,0,3,1,3,3,3,3,3,3,3,0,1,3,2,0,2,3,3,1,0,0,0,0,1,2,2,1,1,1,2,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,-.3742443025112152,1.3622154,.45364156,24,11,0
4,1,1,3,2,1,0,1,0,3,0,3,0,3,1,0,3,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,0,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,13,20,0
5,1,1,2,0,1,1,1,0,3,0,3,3,3,3,3,3,3,2,1,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,2,0,3,3,1,1,0,2,2,1,1.227182507514954,-.26885733,.97622341,24,10,2
6,1,1,2,3,1,0,1,1,3,0,3,3,3,3,1,3,3,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,22,1,0
7,1,0,2,1,1,0,1,1,2,1,2,2,1,2,2,2,2,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,.4094936847686768,-.92270309,-.72042376,15,14,0
8,1,0,2,0,0,0,1,2,3,0,3,3,3,3,2,2,3,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-.1512518376111984,-.92270309,.20945761,22,7,0
9,1,1,1,3,3,0,1,0,1,0,3,2,1,3,2,3,2,2,1,3,4,0,3,3,0,1,0,0,0,0,1,0,0,1,0,1,3,0,3,1,0,3,0,3,2,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,3,2,0,.0104876849800348,-.47517884,.62810987,17,15,2
10,1,0,2,0,1,1,2,2,3,0,3,3,2,3,3,2,3,1,1,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,22,9,0
