Folio,Género,Edad,Escuela,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55,PrConsPosTab,PrConsNegTab,ImpConsPosTab,ImpConsNegTab,ExpConsPosTab,ExpConsNegTab,CommitTab,TabIncid,PrConsPosTabCP,PrConsPosTabLP,ImpConsPosTabCP,ImpConsPosTabLP,ExpConsPosTabCP,ExpConsPosTabLP
1,0,3,1,1,3,0,0,2,2,1,3,1,2,0,0,3,3,1,2,2,3,1,3,3,0,3,2,2,4,3,2,5,1,0,1,3,1,0,0,0,1,3,3,4,5,2,3,8,4,4,0,0,0,1,0,0,0,2,4,4,3,2,2,3,7,10,10,10,5,5,.5712772,1.8713928,8,5,6,6,7,1
2,0,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,,.37359414,0,0,2,4,0,0
3,1,1,1,0,0,2,4,2,2,1,2,2,3,3,2,3,2,1,2,1,1,2,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,10,10,8,0,0,,-.3123751,6,6,4,6,0,0
4,1,3,1,0,1,2,4,3,0,0,3,0,3,0,0,3,3,3,0,0,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,6,12,0,0,,-.3123751,9,6,9,6,0,0
5,1,2,1,0,2,0,4,3,1,1,3,1,2,1,1,3,2,2,0,0,2,0,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,4,9,0,0,,.37359414,8,5,6,5,0,0
6,1,2,1,1,1,2,2,1,1,0,0,0,3,0,0,3,2,2,0,0,0,0,3,0,0,3,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,4,4,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,7,0,8,0,0,-1.1163465,1.0303559,3,6,2,6,0,0
7,0,2,1,0,2,0,4,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,6,8,0,0,,-.3123751,5,4,5,4,0,0
8,0,2,1,1,2,3,0,3,1,1,0,0,3,1,1,3,2,2,1,0,3,1,3,0,1,3,2,1,2,1,1,1,1,0,1,0,1,2,0,1,3,2,4,4,5,1,1,4,4,5,0,0,0,1,0,0,0,2,4,2,3,1,2,1,6,9,5,11,5,6,-.037545778,1.0303559,5,6,7,6,3,5
9,1,1,1,1,1,3,0,0,2,0,0,1,3,1,0,3,2,0,1,0,0,0,3,1,0,3,0,1,4,3,1,2,0,1,0,0,1,3,1,0,3,0,2,3,5,2,,,3,5,0,0,0,1,0,0,0,2,1,2,4,4,2,1,6,6,2,6,3,6,.1385701,1.3121043,2,6,0,6,0,6
10,0,2,1,0,1,2,4,2,1,2,3,2,3,1,2,3,2,3,1,2,3,2,3,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,11,9,12,0,0,,.37359414,7,6,8,6,0,0
11,0,2,1,0,1,0,4,2,1,1,3,1,3,1,1,3,2,2,1,1,3,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,6,11,0,0,,-.3123751,7,6,6,6,0,0
12,1,2,1,0,1,0,4,2,1,1,3,1,3,1,1,3,2,1,1,1,2,1,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,6,9,0,0,,-.3123751,7,6,5,6,0,0
13,0,1,1,1,2,2,0,3,2,2,1,2,3,1,0,2,0,3,1,0,2,1,3,1,0,3,3,2,3,2,1,1,0,2,0,0,0,0,0,0,1,0,2,3,3,2,2,5,3,4,0,0,0,1,0,0,0,3,2,4,3,4,3,4,7,9,6,11,2,1,.7779538,1.1884803,4,5,8,6,0,1
14,0,1,1,0,3,1,4,2,2,1,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,3,1,4,1,1,1,1,2,2,0,1,0,1,1,0,2,2,1,2,2,2,4,2,3,1,0,0,0,0,0,0,1,2,1,3,1,2,2,11,9,14,11,9,1,,.88144618,7,4,8,6,3,0
15,1,2,1,1,1,2,2,2,2,2,2,1,3,0,0,3,2,1,1,2,2,0,2,1,0,2,0,2,4,3,2,5,1,1,2,3,1,0,1,1,0,2,2,3,2,2,3,4,4,4,0,0,0,1,0,0,0,2,1,3,1,3,2,2,7,10,4,7,8,4,-.15637134,1.8713928,6,6,3,4,6,0
17,1,2,1,0,1,0,4,2,1,3,0,0,3,1,2,2,2,0,0,0,3,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,7,1,7,0,0,,.37359414,4,5,4,4,0,0
18,0,1,1,0,1,3,4,3,0,0,3,0,3,0,0,3,1,2,2,2,2,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,15,10,0,0,,-.3123751,7,6,7,6,0,0
19,1,2,1,0,0,0,4,0,0,0,0,0,2,0,0,3,0,1,1,0,3,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,10,0,0,,-.3123751,0,5,4,6,0,0
20,0,2,1,0,0,3,4,3,0,0,0,3,3,0,0,3,3,3,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,3,12,0,0,,-.3123751,6,6,6,6,0,0
21,0,2,1,0,0,0,4,2,2,2,3,1,3,1,2,3,3,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,2,4,0,2,,-.3123751,8,6,2,4,0,2
22,0,1,1,0,1,2,4,1,0,0,2,0,3,0,0,3,2,1,3,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,16,8,0,0,,-.3123751,5,6,5,6,0,0
23,0,2,1,0,1,0,4,2,0,2,3,0,3,0,1,3,3,3,3,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,11,12,12,0,0,,.37359414,8,6,7,6,0,0
24,0,2,1,0,1,2,4,1,1,0,0,1,3,1,1,3,2,1,1,1,3,1,3,1,1,3,1,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,3,1,5,3,5,0,0,0,1,0,0,0,2,1,1,1,1,0,0,6,7,6,10,3,0,,.6116206,3,6,5,6,0,0
25,0,1,1,0,1,2,4,2,0,0,3,0,3,0,0,3,2,0,0,0,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,1,8,0,8,,-.3123751,7,6,3,6,2,6
26,0,1,1,0,0,0,4,3,2,2,1,0,3,1,0,3,1,1,1,1,0,0,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,10,6,7,0,0,,-.3123751,5,6,2,6,0,0
27,0,2,1,0,1,1,4,2,1,1,2,1,3,1,1,2,2,2,1,1,1,2,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,9,7,9,0,0,,.37359414,6,5,4,6,0,0
28,0,3,1,1,1,1,2,2,2,2,2,2,3,2,2,3,3,1,2,2,2,2,3,2,2,3,3,2,4,1,1,3,1,2,2,2,2,2,2,1,2,3,2,4,3,2,3,3,4,5,0,0,0,1,0,0,0,1,4,4,2,3,4,3,13,10,13,9,12,7,.37198123,1.3289856,7,6,6,6,6,4
29,1,2,1,0,1,2,4,1,0,0,0,0,3,0,0,3,1,1,0,0,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,1,8,0,0,,.37359414,2,6,3,6,0,0
30,0,1,1,0,0,1,4,1,0,0,3,0,2,0,0,2,0,3,2,1,3,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,6,12,0,0,,-.3123751,4,4,7,6,0,0
31,1,1,1,0,0,0,4,3,2,1,2,2,3,1,2,3,2,2,2,1,3,2,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,11,12,11,0,0,,-.3123751,7,6,8,6,0,0
32,1,3,1,0,0,0,4,2,1,1,3,1,3,1,1,3,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,0,11,0,0,,-.3123751,7,6,5,6,0,0
33,0,2,1,0,0,2,4,3,2,1,0,2,2,2,0,2,3,3,2,2,3,2,3,2,0,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,7,10,12,0,0,,.6116206,6,4,8,6,0,0
34,1,2,1,0,1,2,4,1,0,0,0,0,3,0,0,3,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,11,0,0,,-.3123751,1,6,5,6,0,0
35,0,2,1,1,0,1,2,0,2,0,0,2,2,1,0,2,2,3,2,1,3,2,3,2,0,3,0,1,2,2,1,1,0,0,0,0,2,0,1,0,0,0,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,2,2,7,4,7,12,3,0,-.67663878,1.1447285,2,4,6,6,0,0
36,0,3,1,0,1,1,4,2,0,0,0,0,3,0,0,3,0,3,3,2,2,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,13,11,0,0,,-.3123751,2,6,7,6,0,0
37,0,1,1,0,0,3,4,3,0,0,0,0,3,0,0,3,2,2,0,0,2,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,1,10,0,0,,-.3123751,5,6,4,6,0,0
38,0,1,1,0,0,3,4,1,0,0,2,0,3,0,0,3,0,1,2,2,2,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,11,9,0,0,,-.3123751,3,6,4,6,0,0
39,0,1,1,0,0,1,4,2,1,1,2,1,2,0,2,2,2,2,1,1,2,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,8,10,0,0,,-.3123751,6,4,6,6,0,0
40,0,2,1,0,0,1,4,2,0,0,3,0,3,0,0,3,1,1,0,0,1,1,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,7,7,0,0,,-.3123751,6,6,3,5,0,0
41,0,1,1,0,1,0,4,0,1,3,0,0,0,0,0,0,0,3,2,2,3,2,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,12,12,0,6,,-.3123751,0,0,8,6,0,6
42,1,2,1,0,0,0,4,0,1,0,1,2,2,1,2,3,2,1,2,1,3,1,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,6,8,9,0,0,,-.3123751,3,5,7,5,0,0
43,0,3,1,1,1,0,0,1,1,1,0,2,2,2,0,2,2,1,2,2,0,2,3,2,2,3,2,1,4,1,1,2,0,1,1,0,2,0,2,0,0,2,1,2,1,1,2,1,3,1,1,0,0,0,0,0,0,1,1,1,3,1,1,3,8,5,12,7,8,0,-.81208146,1.2119801,3,4,3,6,2,0
44,0,2,1,0,0,3,4,1,0,0,3,0,3,0,0,3,2,1,0,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,1,10,0,0,,-.3123751,6,6,5,6,0,0
45,0,2,1,0,0,3,4,3,0,0,3,0,3,0,0,3,3,3,2,2,2,2,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,14,11,0,0,,-.3123751,9,6,8,6,0,0
46,0,1,1,0,0,3,4,3,2,1,3,1,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,12,18,12,0,0,,-.3123751,8,6,9,6,0,0
47,0,1,1,0,0,0,4,1,1,0,2,0,2,0,0,2,2,1,0,0,3,1,3,1,1,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,5,10,2,1,,-.3123751,5,4,6,6,1,0
48,1,2,1,0,1,0,4,2,1,2,3,0,3,0,0,3,0,1,1,2,3,1,3,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,8,10,0,0,,.37359414,5,6,6,6,0,0
49,1,1,1,1,0,2,2,1,2,1,0,1,2,1,2,2,0,0,1,0,2,1,2,1,1,2,2,1,3,1,1,1,0,2,0,0,1,0,0,0,0,0,1,3,1,1,3,1,3,1,1,0,0,0,0,0,0,2,3,3,3,2,3,2,7,5,6,6,3,0,.22275268,1.0303559,1,4,4,4,0,0
50,0,2,1,0,2,0,4,2,1,3,0,0,3,0,2,2,2,1,1,2,2,1,3,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,7,10,9,0,0,,.37359414,4,5,5,6,0,0
51,0,2,1,0,1,0,4,3,2,2,3,1,3,1,1,3,2,2,1,1,3,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,12,7,9,0,0,,-.3123751,8,6,7,4,0,0
52,1,2,1,0,0,1,4,3,0,0,3,0,3,0,0,3,0,2,0,1,3,2,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,4,11,0,0,,-.3123751,6,6,6,6,0,0
53,0,1,1,0,2,1,4,1,0,0,0,0,3,0,0,3,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,11,0,0,,-.3123751,1,6,5,6,0,0
54,0,1,1,0,1,0,4,1,0,0,2,0,2,0,0,2,1,2,1,1,2,1,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,7,10,0,0,,.37359414,4,4,6,6,0,0
55,0,1,1,0,0,0,4,2,1,1,3,1,3,1,0,2,3,2,0,2,2,1,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,7,10,0,0,,-.3123751,8,5,6,6,0,0
56,0,2,1,0,0,0,4,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,0,0,,-.3123751,2,4,0,4,0,0
57,0,2,1,0,1,3,4,3,2,1,3,1,2,2,2,3,1,2,1,0,2,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,11,4,10,0,0,,-.3123751,7,5,4,6,0,0
58,0,2,1,1,1,3,0,2,2,3,0,2,2,2,1,3,3,2,1,1,3,1,3,1,1,3,1,1,3,2,1,2,2,1,2,0,3,0,2,0,1,2,3,4,2,3,2,4,4,5,0,0,0,1,0,0,0,4,3,3,2,3,3,3,13,7,6,11,10,3,.45803401,1.2755461,5,5,6,6,4,1
59,1,3,1,1,1,1,0,3,1,1,2,1,3,1,0,2,1,2,1,1,2,1,2,1,0,1,1,1,4,1,2,5,1,0,1,1,1,0,1,0,1,1,2,2,3,2,2,7,3,3,0,0,0,1,0,0,0,2,1,3,4,2,1,3,5,10,5,7,4,3,.17087212,1.6487325,6,5,5,3,3,1
60,0,2,1,0,2,0,4,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,,-.3123751,1,4,0,1,0,0
61,1,2,1,0,1,1,4,2,1,2,3,0,3,0,0,3,1,2,0,1,3,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,4,11,0,0,,-.3123751,6,6,8,6,0,0
62,0,2,1,0,2,1,4,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,6,0,0,,.37359414,3,6,0,6,0,0
63,1,2,1,1,1,0,2,1,0,1,2,0,2,1,0,2,0,1,0,1,2,0,2,1,0,2,2,1,3,2,2,3,1,0,0,1,0,1,0,0,0,0,2,3,2,4,3,5,3,3,0,0,0,1,0,0,0,1,2,3,2,3,3,3,2,7,4,7,0,3,-.080287643,1.4594784,3,4,5,4,2,1
64,0,2,1,0,1,0,4,3,1,1,3,0,3,1,1,2,2,1,0,0,3,0,3,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,11,3,7,1,7,,-.3123751,8,5,7,3,4,4
65,1,2,1,0,2,0,4,1,0,0,2,0,2,0,0,2,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,6,0,0,,-.3123751,4,4,2,4,0,0
66,0,3,1,0,0,0,4,1,1,0,3,0,3,0,0,3,1,2,1,2,3,0,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,7,11,0,0,,-.3123751,5,6,7,6,0,0
67,1,2,1,0,2,2,4,1,0,1,3,0,2,1,0,2,2,0,0,0,3,0,3,0,0,3,2,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,2,9,0,8,,-.3123751,6,4,5,6,3,5
68,0,1,1,1,1,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,2,0,3,0,0,3,0,2,3,2,1,1,0,0,3,0,0,0,0,0,0,0,3,3,2,4,2,4,3,4,0,0,0,1,0,0,0,1,1,2,3,3,3,2,0,5,0,10,3,0,-.29086819,1.1884803,2,3,4,6,0,0
69,0,1,1,1,1,2,2,3,2,2,2,2,2,1,1,2,2,1,2,2,3,1,3,2,0,3,2,2,3,1,1,1,2,2,3,1,1,0,2,0,0,3,3,3,2,1,2,3,3,4,0,0,0,1,0,0,0,3,3,2,4,3,3,3,10,9,9,10,11,3,.46634576,1.0825573,7,4,6,6,6,0
70,0,3,1,0,2,0,4,0,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,2,0,0,,-.3123751,3,4,0,2,0,0
71,1,2,1,0,2,1,4,2,0,1,0,0,2,0,0,2,1,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1,5,3,4,,-.3123751,3,4,1,4,0,4
72,0,1,1,0,0,2,4,2,1,0,3,0,3,1,1,3,3,2,3,2,2,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,11,13,10,0,0,,-.3123751,8,6,6,6,0,0
73,1,1,1,0,0,1,4,2,1,2,3,1,3,1,2,3,1,2,2,3,3,2,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11,10,11,0,0,,-.3123751,6,6,6,6,0,0
74,0,1,1,0,0,2,4,1,1,2,3,1,3,1,1,3,3,1,1,3,1,1,3,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,8,8,0,0,,.54592091,7,6,3,6,0,0
75,0,2,1,0,0,3,4,3,1,0,2,0,3,0,0,3,3,3,1,0,3,1,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,6,12,0,0,,-.3123751,8,6,9,6,0,0
76,0,2,1,0,0,2,4,2,0,0,0,0,3,0,3,2,2,2,2,3,2,3,2,1,3,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,13,8,0,0,,-.054518394,4,5,5,4,0,0
77,1,2,1,0,0,1,4,3,1,1,2,2,3,1,1,3,2,2,1,1,2,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11,6,10,0,0,,-.3123751,7,6,5,6,0,0
78,0,2,1,0,0,1,4,2,1,1,3,1,3,1,1,3,1,1,1,1,3,1,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,11,6,10,0,0,,.37359414,6,6,5,6,0,0
79,0,2,1,0,0,2,4,1,0,0,1,0,2,0,0,2,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,0,0,,-.3123751,2,4,2,4,0,0
80,1,2,1,0,0,1,4,3,1,1,0,0,3,1,1,3,0,2,1,2,3,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,4,11,0,0,,.37359414,3,6,5,6,0,0
