"Estado","Grupos por estado","Suma grupos por sede"
"Aguascalientes","1","22"
"Baja California","3","63"
"Baja California Sur","3","16"
"Campeche","1","9"
"Coahuila","4","74"
"Colima","3","25"
"Chihuahua","6","100"
"CDMX","7","95"
"Durango","1","27"
"Guanajuato","8","90"
"Hidalgo","4","29"
"Jalisco","2","115"
"Edo. México","7","54"
"Michoacán","7","45"
"Morelos","4","29"
"Nayarit","2","19"
"Monterrey","1","63"
"Queretaro","5","35"
"Quintana Roo","3","8"
"San Luis Potosi","4","51"
"Sinaloa","6","67"
"Sonora","4","72"
"Tabasco","5","41"
"Tamaulipas","4","19"
"Tlaxcala","3","22"
"Veracruz","4","73"
"Yucatan","5","53"
"Zacatecas","2","33"
"Puebla","4","102"
"Guerrero","1","61"
"Chiapas","1","18"
