"Estado","Sede - Dirección","EB","EMS","Total Adscritos","Cantidad EB","Cantidad EMS","No. Docentes","No. TecDoc","No. ATP","No. Dir","No. Sup ","Fechas de aplicación","Mínimo","Máximo","Promedio","No. Docentes EB","No. TecDoc EB","No. ATP EB","No. Dir EB","No. Sup EBS","No. Docentes EMS","No. TecDoc EMS","No. ATP EMS","No. Dir EMS","No. Sup EMS","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","Fecha","Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EB Fecha","EB Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","EMS Fecha","EMS Contador","Min EB","Max EB","Mean EB","Min EMS","Max EMS","Mean EMS","No. Grupos"
"Aguascalientes","AV. LÓPEZ MATEOS ESQ. AV. TECNOLÓGICO, No. 1801, FRACC. BONA GENS, C.P. 20256","Sí","Sí","2589","2110","479","2034","154","40","244","117","8","116","367","324","1684","59","40","210","117","350","95","0","34","0","05/05/2018","367","13/05/2018","116","12/05/2018","363","19/05/2018","360","20/05/2018","363","26/05/2018","311","27/05/2018","346","02/06/2018","363","-","-","-","-","-","-","-","-","05/05/2018","367","13/05/2018","0","12/05/2018","0","19/05/2018","360","20/05/2018","363","26/05/2018","311","27/05/2018","346","02/06/2018","363","-","-","-","-","-","-","-","-","05/05/2018","0","13/05/2018","116","12/05/2018","363","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","0","367","264","0","363","60","15"
"Aguascalientes","BLVD. JUAN PABLO II, No. 1302, FRACC. EX-HACIENDA LA CANTERA, C.P. 20206","Sí","Sí","975","842","133","764","29","27","97","58","6","133","182","162","660","0","27","97","58","104","29","0","0","0","05/05/2018","182","13/05/2018","133","19/05/2018","138","20/05/2018","176","27/05/2018","175","02/06/2018","171","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","182","13/05/2018","0","19/05/2018","138","20/05/2018","176","27/05/2018","175","02/06/2018","171","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","13/05/2018","133","19/05/2018","0","20/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","0","182","140","0","133","22","7"
"Baja California","CALZ. CUAUHTÉMOC Y RÍO ELOTA, S/N, COL. SANTA MARÍA, C.P. 21240","Sí","Sí","353","258","95","217","27","5","66","38","4","55","102","88","157","0","5","58","38","60","27","0","8","0","05/05/2018","101","12/05/2018","95","19/05/2018","102","20/05/2018","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","101","12/05/2018","0","19/05/2018","102","20/05/2018","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","95","19/05/2018","0","20/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","102","64","0","95","24","3"
"Baja California","CARR. TRANSPENINSULAR KM 115, S/N, COL. EX-EJIDO CHAPULTEPEC, C.P. 22875","Sí","Sí","356","301","55","239","20","2","61","34","7","16","67","51","210","8","2","47","34","29","12","0","14","0","05/05/2018","67","06/05/2018","16","12/05/2018","55","26/05/2018","59","27/05/2018","62","02/06/2018","62","03/06/2018","35","-","-","-","-","-","-","-","-","-","-","05/05/2018","67","06/05/2018","16","12/05/2018","0","26/05/2018","59","27/05/2018","62","02/06/2018","62","03/06/2018","35","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","55","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","67","43","0","55","8","2"
"Baja California","CALLE H. COLEGIO MILITAR, S/N, COL. ORIZABA, C.P. 21179","Sí","Sí","646","567","79","538","14","5","62","27","7","79","98","92","478","2","5","55","27","60","12","0","7","0","05/05/2018","87","12/05/2018","79","19/05/2018","98","20/05/2018","98","26/05/2018","98","27/05/2018","98","02/06/2018","88","-","-","-","-","-","-","-","-","-","-","05/05/2018","87","12/05/2018","0","19/05/2018","98","20/05/2018","98","26/05/2018","98","27/05/2018","98","02/06/2018","88","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","79","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","-","-","-","-","-","-","-","-","-","-","0","98","81","0","79","11","2"
"Baja California","AV. ADOLFO LÓPEZ MATEOS, No. 1838, ZONA CENTRO, C.P. 22800","Sí","Sí","215","156","59","44","11","13","101","46","3","59","78","72","0","0","13","97","46","44","11","0","4","0","05/05/2018","78","06/05/2018","78","12/05/2018","59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","78","06/05/2018","78","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","78","52","0","59","20","2"
"Baja California","AV. ZARAGOZA, No. 2045, COL. NUEVA MEXICALI, C.P. 21100","Sí","Sí","448","386","62","358","10","6","59","15","6","62","79","75","306","4","6","55","15","52","6","0","4","0","05/05/2018","76","12/05/2018","62","19/05/2018","79","20/05/2018","76","26/05/2018","78","27/05/2018","77","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","76","12/05/2018","0","19/05/2018","79","20/05/2018","76","26/05/2018","78","27/05/2018","77","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","62","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","0","79","64","0","62","10","2"
"Baja California","CALZ. DE LOS PRESIDENTES, No. 1650, COL. RÍO NUEVO, C.P. 21356","Sí","Sí","333","267","66","245","13","2","43","30","5","27","88","67","194","4","2","37","30","51","9","0","6","0","05/05/2018","69","12/05/2018","66","19/05/2018","88","26/05/2018","83","27/05/2018","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","69","12/05/2018","0","19/05/2018","88","26/05/2018","83","27/05/2018","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","66","19/05/2018","0","26/05/2018","0","27/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","88","53","0","66","13","2"
"Baja California","BLVD. VALLES Y PASEO DEL RÍO, S/N, ZONA URBANA RÍO TIJUANA 3ra. ETAPA, C.P. 22150","Sí","Sí","197","98","99","69","9","6","82","31","2","98","99","98","0","0","6","61","31","69","9","0","21","0","05/05/2018","98","12/05/2018","99","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","98","12/05/2018","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","05/05/2018","0","12/05/2018","99","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","98","49","0","99","50","2"
"Baja California","AV. EMILIANO ZAPATA, S/N, COL. PLAN DE SAN LUIS Y AMPLIACIÓN REFORMA, C.P. 22710","Sí","Sí","336","310","26","247","7","4","57","21","9","26","39","37","230","4","4","51","21","17","3","0","6","0","05/05/2018","39","06/05/2018","37","12/05/2018","26","19/05/2018","39","20/05/2018","39","26/05/2018","39","27/05/2018","39","02/06/2018","39","03/06/2018","39","-","-","-","-","-","-","05/05/2018","39","06/05/2018","37","12/05/2018","0","19/05/2018","39","20/05/2018","39","26/05/2018","39","27/05/2018","39","02/06/2018","39","03/06/2018","39","-","-","-","-","-","-","05/05/2018","0","06/05/2018","0","12/05/2018","26","19/05/2018","0","20/05/2018","0","26/05/2018","0","27/05/2018","0","02/06/2018","0","03/06/2018","0","-","-","-","-","-","-","0","39","34","0","26","3","1"
