"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.188,0.008,0.0201385015064713
"PMA16","DINA",0.232,0.004,0.148,0.009,0.0106200432158373
"PMA17","DINA",0.215,0.003,0.182,0.009,0.0395731958075787
"PMA18","DINA",0.256,0.004,0.338,0.012,0.0214872590233898
"PMA19","DINA",0.428,0.005,0.065,0.003,0.0380203046427116
"PMA20","DINA",0.223,0.004,0.315,0.008,0.03417683367404
"PMA21","DINA",0.285,0.004,0.148,0.007,0.0320472759096586
"PMA22","DINA",0.394,0.004,0.001,0,0.0465540443157204
"PMA23","DINA",0.38,0.004,0.151,0.009,0.0588483932549609
"PMA24","DINA",0.347,0.004,0.139,0.009,0.0555371085368131
"PMA25","DINA",0.51,0.006,0.055,0.003,0.0451784757685633
"PMB15","DINA",0.157,0.004,0.402,0.008,0.0397239622391706
"PMB16","DINA",0.204,0.004,0.379,0.011,0.0696873021251623
"PMB17","DINA",0.22,0.004,0.15,0.014,0.0154961340081458
"PMB18","DINA",0.248,0.004,0.477,0.012,0.0398818438791158
"PMB19","DINA",0.196,0.003,0.257,0.012,0.0536361326485013
"PMB20","DINA",0.19,0.004,0.375,0.009,0.0576065550678663
"PMB21","DINA",0.351,0.004,0.198,0.011,0.0491884233937389
"PMB22","DINA",0.24,0.004,0.29,0.012,0.0422492983508468
"PMB23","DINA",0.296,0.004,0.314,0.011,0.0492596057405269
"PMB24","DINA",0.328,0.005,0.082,0.003,0.0257244264957338
"PMB25","DINA",0.267,0.006,0.07,0.002,0.021479721188858
