Item_San,Item_Ram,RCorr_Ram,RCorr_San
1,25,B,B
2,0,null,A
3,8,A,A
4,4,C,C
5,22,C,C
6,11,C,C
7,14,D,D
8,6,C,C
9,13,A,A
10,33,A,A
11,31,C,C
12,0,null,C
13,39,C,C
14,19,D,D
15,32,D,D
16,34,A,A
17,5,B,B
18,17,D,D
19,36,D,D
20,20,B,B
21,0,null,A
22,27,D,D
23,24,A,A
24,45,D,D
25,0,null,B
26,21,C,C
27,12,D,D
28,23,A,A
29,30,C,C
30,37,B,B
31,38,C,C
32,28,B,B
33,7,B,B
34,29,A,A
35,46,B,B
36,26,B,B
37,1,B,B
38,15,D,D
39,9,C,C
40,40,D,D
41,35,B,B
42,3,D,D
43,41,A,A
44,43,C,C
45,16,A,A
46,42,A,A
47,2,C,C
48,18,B,B
49,44,D,D
50,10,A,A
