ITEM,Clave item,Opción,Score,Frecuencia,% del total,Punto Biserial,t(p),PV1Avg:1,PV1 SD:1
item 1,PMA01,M,0,487,1.6,-0.01,-2.02(.043),-0.25,0.80
item 1,PMA01,a,0,15173,50.6,-0.31,-55.64(.000),-0.46,0.74
item 1,PMA01,b,1,6556,21.9,0.29,53.11(.000),0.27,1.04
item 1,PMA01,c,0,2798,9.3,0.04,7.51(.000),-0.11,0.88
item 1,PMA01,d,0,4986,16.6,0.06,9.62(.000),-0.10,0.85
item 2,PMA02,M,0,60,0.2,-0.01,-2.25(.024),-0.49,0.74
item 2,PMA02,a,0,14669,48.9,-0.26,-45.97(.000),-0.42,0.77
item 2,PMA02,b,0,1407,4.7,-0.12,-21.70(.000),-0.67,0.77
item 2,PMA02,c,1,11266,37.6,0.36,67.35(.000),0.19,0.94
item 2,PMA02,d,0,2598,8.7,-0.07,-12.61(.000),-0.41,0.80
item 3,PMA03,M,0,273,0.9,-0.03,-5.02(.000),-0.46,0.83
item 3,PMA03,a,0,16055,53.5,-0.31,-56.73(.000),-0.45,0.73
item 3,PMA03,b,0,2153,7.2,-0.19,-33.73(.000),-0.77,0.64
item 3,PMA03,c,0,1667,5.6,-0.11,-19.01(.000),-0.59,0.80
item 3,PMA03,d,1,9852,32.8,0.49,98.60(.000),0.39,0.91
item 4,PMA04,M,0,183,0.6,-0.02,-3.55(.000),-0.45,0.84
item 4,PMA04,a,0,3803,12.7,-0.15,-26.84(.000),-0.54,0.75
item 4,PMA04,b,0,5777,19.3,-0.18,-31.82(.000),-0.51,0.73
item 4,PMA04,c,1,16757,55.9,0.33,60.23(.000),0.04,0.92
item 4,PMA04,d,0,3480,11.6,-0.12,-21.41(.000),-0.49,0.82
item 5,PMA05,M,0,274,0.9,-0.06,-9.94(.000),-0.72,0.67
item 5,PMA05,a,0,2827,9.4,-0.24,-43.67(.000),-0.85,0.60
item 5,PMA05,b,1,20229,67.4,0.42,79.23(.000),0.04,0.89
item 5,PMA05,c,0,1485,5.0,-0.17,-29.30(.000),-0.82,0.68
item 5,PMA05,d,0,5185,17.3,-0.22,-38.42(.000),-0.59,0.68
item 6,PMA06,M,0,158,0.5,-0.03,-5.03(.000),-0.55,0.80
item 6,PMA06,a,0,4650,15.5,-0.2,-34.50(.000),-0.58,0.69
item 6,PMA06,b,0,4933,16.4,-0.15,-26.14(.000),-0.48,0.77
item 6,PMA06,c,1,17562,58.5,0.35,65.53(.000),0.05,0.92
item 6,PMA06,d,0,2697,9.0,-0.16,-28.36(.000),-0.64,0.71
item 7,PMA07,M,0,363,1.2,-0.04,-7.40(.000),-0.50,0.81
item 7,PMA07,a,0,3853,12.8,-0.1,-17.99(.000),-0.43,0.79
item 7,PMA07,b,1,13737,45.8,0.35,65.04(.000),0.12,0.93
item 7,PMA07,c,0,9239,30.8,-0.23,-40.49(.000),-0.49,0.75
item 7,PMA07,d,0,2808,9.4,-0.11,-18.44(.000),-0.47,0.78
item 8,PMA08,M,0,91,0.3,-0.04,-6.22(.000),-0.76,0.83
item 8,PMA08,a,1,21445,71.5,0.39,72.51(.000),0.00,0.89
item 8,PMA08,b,0,6173,20.6,-0.31,-56.73(.000),-0.71,0.67
item 8,PMA08,c,0,1410,4.7,-0.13,-21.93(.000),-0.68,0.72
item 8,PMA08,d,0,881,2.9,-0.12,-20.61(.000),-0.76,0.71
item9,PMA09,M,0,378,1.3,-0.03,-5.41(.000),-0.41,0.82
item9,PMA09,a,0,8883,29.6,-0.2,-35.47(.000),-0.46,0.74
item9,PMA09,b,0,8299,27.7,-0.13,-22.44(.000),-0.38,0.77
item9,PMA09,c,1,8907,29.7,0.38,70.08(.000),0.28,0.99
item9,PMA09,d,0,3533,11.8,-0.06,-10.13(.000),-0.35,0.82
item 10,PMA10,M,0,149,0.5,-0.01,-1.84(.066),-0.35,0.89
item 10,PMA10,a,1,11301,37.7,0.36,65.91(.000),0.18,0.94
item 10,PMA10,b,0,8385,28.0,-0.17,-29.61(.000),-0.43,0.76
item 10,PMA10,c,0,4502,15.0,-0.06,-11.04(.000),-0.33,0.82
item 10,PMA10,d,0,5663,18.9,-0.19,-33.01(.000),-0.53,0.76
item 11,PMA11,M,0,226,0.8,-0.04,-7.33(.000),-0.57,0.80
item 11,PMA11,a,0,6134,20.5,-0.25,-44.77(.000),-0.61,0.67
item 11,PMA11,b,0,2197,7.3,-0.14,-24.66(.000),-0.61,0.67
item 11,PMA11,c,1,17226,57.4,0.46,90.19(.000),0.13,0.89
item 11,PMA11,d,0,4217,14.1,-0.25,-44.81(.000),-0.72,0.69
item 12,PMA12,M,0,130,0.4,-0.03,-4.87(.000),-0.53,0.78
